# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.242
metadata : {}


# id : NWRW1800000044.242.1.1
경찰 “김수창 5번 음란행위”…김씨, 혐의 인정

경찰	경찰/NNG
“김수창	“/SS+김수창/NNP
5번	5/SN+번/NNB
음란행위”…김씨,	음란/NNG+행위/NNG+”/SS+…/SE+김/NNP+씨/NNB+,/SP
혐의	혐의/NNG
인정	인정/NNG


# id : NWRW1800000044.242.2.1
[한겨레] 국과수 분석 나오자 결과 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
국과수	국과수/NNP
분석	분석/NNG
나오자	나오/VV+자/EC
결과	결과/NNG
발표	발표/NNG


# id : NWRW1800000044.242.3.1
경찰, 기소의견으로 검찰 송치

경찰,	경찰/NNG+,/SP
기소의견으로	기소/NNG+의견/NNG+으로/JKB
검찰	검찰/NNG
송치	송치/NNG


# id : NWRW1800000044.242.4.1
김 “죽고싶은 심정…치료 받겠다”

김	김/NNP
“죽고싶은	“/SS+죽/VV+고/EC+싶/VX+은/ETM
심정…치료	심정/NNG+…/SE+치료/NNG
받겠다”	받/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000044.242.5.1
검찰 내부 “믿을 수 없다” 충격

검찰	검찰/NNG
내부	내부/NNG
“믿을	“/SS+믿/VV+을/ETM
수	수/NNB
없다”	없/VA+다/EF+”/SS
충격	충격/NNG


# id : NWRW1800000044.242.6.1
김수창(52) 전 제주지검장의 음란행위 의혹을 수사해온 제주지방경찰청은 22일 국립과학수사연구원(국과수)으로부터 폐회로텔레비전(CCTV)에 찍힌 남성이 김 전 지검장이라는 사실을 통보받았다고 밝혔다.

김수창(52)	김수창/NNP+(/SS+52/SN+)/SS
전	전/MMD
제주지검장의	제주지검장/NNG+의/JKG
음란행위	음란/NNG+행위/NNG
의혹을	의혹/NNG+을/JKO
수사해온	수사/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
제주지방경찰청은	제주지방경찰청/NNP+은/JX
22일	22/SN+일/NNB
국립과학수사연구원(국과수)으로부터	국립과학수사연구원/NNP+(/SS+국과수/NNP+)/SS+으로부터/JKB
폐회로텔레비전(CCTV)에	폐회로/NNG+텔레비전/NNG+(/SS+CCTV/SL+)/SS+에/JKB
찍힌	찍히/VV+ㄴ/ETM
남성이	남성/NNG+이/JKS
김	김/NNP
지검장이라는	지검장/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
통보받았다고	통보/NNG+받/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.242.6.2
김 전 지검장은 이날 변호인을 통해 “죽고 싶은 심정”이라며 혐의사실을 인정하고, “전문가와 상의해 정신 치료를 받겠다”고 말했다.

김	김/NNP
전	전/MMD
지검장은	지검장/NNG+은/JX
이날	이날/NNG
변호인을	변호인/NNG+을/JKO
통해	통하/VV+아/EC
“죽고	“/SS+죽/VV+고/EC
싶은	싶/VX+은/ETM
심정”이라며	심정/NNG+”/SS+이/VCP+라며/EC
혐의사실을	혐의/NNG+사실/NNG+을/JKO
인정하고,	인정/NNG+하/XSV+고/EC+,/SP
“전문가와	“/SS+전문가/NNG+와/JKB
상의해	상의/NNG+하/XSV+아/EC
정신	정신/NNG
치료를	치료/NNG+를/JKO
받겠다”고	받/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.7.1
국과수 분석 결과를 보면, 김 전 지검장은 12일 밤 11시32분께부터 같은 날 11시52분까지 20분 사이에 제주시 이도2동 왕복 7차선 도로 옆 등에서 5차례에 걸쳐 음란행위를 한 것으로 드러났다.

국과수	국과수/NNP
분석	분석/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
김	김/NNP
전	전/MMD
지검장은	지검장/NNG+은/JX
12일	12/SN+일/NNB
밤	밤/NNG
11시32분께부터	11/SN+시/NNB+32/SN+분/NNB+께/XSN+부터/JX
같은	같/VA+은/ETM
날	날/NNG
11시52분까지	11/SN+시/NNB+52/SN+분/NNB+까지/JX
20분	20/SN+분/NNB
사이에	사이/NNG+에/JKB
제주시	제주시/NNP
이도2동	이도2동/NNP
왕복	왕복/NNG
7차선	7/SN+차선/NNG
도로	도로/NNG
옆	옆/NNG
등에서	등/NNB+에서/JKB
5차례에	5/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
음란행위를	음란/NNG+행위/NNG+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.242.8.1
제주지방경찰청은 폐회로텔레비전에 나오는 인물이 김 전 지검장인지와 음란행위 여부를 확인하기 위해 범행 현장 주변 8곳 등 모두 10곳에서 폐회로텔레비전 영상을 확보해 국과수에 분석을 맡겼으며, 이날 동일인으로 확인됐다는 감정 결과를 통보받았다.

제주지방경찰청은	제주지방경찰청/NNP+은/JX
폐회로텔레비전에	폐회로/NNG+텔레비전/NNG+에/JKB
나오는	나오/VV+는/ETM
인물이	인물/NNG+이/JKS
김	김/NNP
전	전/MMD
지검장인지와	지검장/NNG+이/VCP+ㄴ지/EF+와/JC
