# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.182
metadata : {}


# id : NWRW1800000021.182.1.1
“한국 위한 마지막 충고는 이것”

“한국	“/SS+한국/NNP
위한	위하/VV+ㄴ/ETM
마지막	마지막/NNG
충고는	충고/NNG+는/JX
이것”	이것/NP+”/SS


# id : NWRW1800000021.182.2.1
“한국의 미래를 위해 제가 마지막으로 남기고 싶은 메시지는 바로 이것입니다.”

“한국의	“/SS+한국/NNP+의/JKG
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
제가	제/NP+가/JKS
마지막으로	마지막/NNG+으로/JKB
남기고	남기/VV+고/EC
싶은	싶/VX+은/ETM
메시지는	메시지/NNG+는/JX
바로	바로/MAG
이것입니다.”	이것/NP+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000021.182.3.1
태미 오버비 주한미국상공회의소(AMCHAM·암참) 대표는 간담회 도중 갑자기 신문 1면을 들어 보였다.

태미	태미/NNP
오버비	오버비/NNP
주한미국상공회의소(AMCHAM·암참)	주한미국상공회의소/NNP+(/SS+AMCHAM/SL+·/SP+암참/NNP+)/SS
대표는	대표/NNG+는/JX
간담회	간담회/NNG
도중	도중/NNG
갑자기	갑자기/MAG
신문	신문/NNG
1면을	1/SN+면/NNG+을/JKO
들어	들/VV+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.182.3.2
거기에는 한국 노조의 과격 투쟁 사진이 실려 있었다.

거기에는	거기/NP+에/JKB+는/JX
한국	한국/NNP
노조의	노조/NNG+의/JKG
과격	과격/NNG
투쟁	투쟁/NNG
사진이	사진/NNG+이/JKS
실려	실리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.182.3.3
21년간의 한국 생활을 마치고 11일 미국으로 돌아가는 그가 한국을 위해 던진 진심어린 충고는 ‘과격한 노동쟁의 문화 개선’이었다.

21년간의	21/SN+년/NNB+간/XSN+의/JKG
한국	한국/NNP
생활을	생활/NNG+을/JKO
마치고	마치/VV+고/EC
11일	11/SN+일/NNB
미국으로	미국/NNP+으로/JKB
돌아가는	돌아가/VV+는/ETM
그가	그/NP+가/JKS
한국을	한국/NNP+을/JKO
위해	위하/VV+아/EC
던진	던지/VV+ㄴ/ETM
진심어린	진심/NNG+어리/VV+ㄴ/ETM
충고는	충고/NNG+는/JX
‘과격한	‘/SS+과격/NNG+하/XSA+ㄴ/ETM
노동쟁의	노동/NNG+쟁의/NNG
문화	문화/NNG
개선’이었다.	개선/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.182.4.1
8일 오전 서울 강남구 삼성동 그랜드인터컨티넨탈호텔에서는 다음 달부터 워싱턴 미국 상공회의소에서 아시아 담당 부회장으로 일하게 된 오버비 대표 환송 기자간담회가 열렸다.

8일	8/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
강남구	강남구/NNP
삼성동	삼성동/NNP
그랜드인터컨티넨탈호텔에서는	그랜드인터컨티넨탈호텔/NNP+에서/JKB+는/JX
다음	다음/NNG
달부터	달/NNG+부터/JX
워싱턴	워싱턴/NNP
미국	미국/NNP
