# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.179
metadata : {}


# id : NWRW1800000025.179.1.1
[책의 향기]惡의 塔에 갇혀 훔쳐야 사는 세상

[책의	[/SS+책/NNG+의/JKG
향기]惡의	향기/NNG+]/SS+惡/SH+의/JKG
塔에	塔/SH+에/JKB
갇혀	갇히/VV+어/EC
훔쳐야	훔치/VV+어야/EC
사는	살/VV+는/ETM
세상	세상/NNG


# id : NWRW1800000025.179.2.1
◇ 쓰리 나카무라 후미노리 지음·양윤옥 옮김·247쪽·1만2000원·자음과모음

◇	◇/SW
쓰리	쓰리/NNG
나카무라	나카무라/NNP
후미노리	후미노리/NNP
지음·양윤옥	짓/VV+음/ETN+·/SP+양윤옥/NNP
옮김·247쪽·1만2000원·자음과모음	옮기/VV+ㅁ/ETN+·/SP+247/SN+쪽/NNG+·/SP+1/SN+만/NR+2000/SN+원/NNB+·/SP+자음과모음/NNP


# id : NWRW1800000025.179.3.1
이쪽 방면으로는 확실히 소질을 타고난 듯한 젊은 소매치기꾼이 등장하는 이 소설은 얼핏 이외수 작가의 ‘황금비늘’과 겹쳐진다.

이쪽	이쪽/NP
방면으로는	방면/NNG+으로/JKB+는/JX
확실히	확실히/MAG
소질을	소질/NNG+을/JKO
타고난	타고나/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
젊은	젊/VA+은/ETM
소매치기꾼이	소매치기/NNG+꾼/XSN+이/JKS
등장하는	등장/NNG+하/XSV+는/ETM
이	이/MMD
소설은	소설/NNG+은/JX
얼핏	얼핏/MAG
이외수	이외수/NNP
작가의	작가/NNG+의/JKG
‘황금비늘’과	‘/SS+황금/NNG+비늘/NNG+’/SS+과/JKB
겹쳐진다.	겹쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.179.3.2
부자들의 돈만 노린다는 나름의 원칙, 귀신같은 솜씨로 지갑을 빼내고 현금만 챙긴 뒤 태연히 다시 지갑을 원래 자리에 되돌려놓는 기술, 가난하고 오갈 데 없는 아이에게 비법을 전수해주는 과정 등이 그렇다.

부자들의	부자/NNG+들/XSN+의/JKG
돈만	돈/NNG+만/JX
노린다는	노리/VV+ㄴ다는/ETM
나름의	나름/NNB+의/JKG
원칙,	원칙/NNG+,/SP
귀신같은	귀신/NNG+같/VA+은/ETM
솜씨로	솜씨/NNG+로/JKB
지갑을	지갑/NNG+을/JKO
