# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.397
metadata : {}


# id : NWRW1800000045.397.1.1
‘만능통장’ 비과세 250만원으로 확대

‘만능통장’	‘/SS+만능/NNG+통장/NNG+’/SS
비과세	비/XPN+과세/NNG
250만원으로	250/SN+만/NR+원/NNB+으로/JKB
확대	확대/NNG


# id : NWRW1800000045.397.2.1
연소득 5000만원 이하 혜택 늘려… 농어민들도 가입 가능해져 부모 10년 봉양 집상속세 80%만 면제

연소득	연/NNG+소득/NNG
5000만원	5000/SN+만/NR+원/NNB
이하	이하/NNG
혜택	혜택/NNG
늘려…	늘리/VV+어/EF+…/SE
농어민들도	농어민/NNG+들/XSN+도/JX
가입	가입/NNG
가능해져	가능/NNG+하/XSA+아/EC+지/VX+어/EC
부모	부모/NNG
10년	10/SN+년/NNB
봉양	봉양/NNG
집상속세	집/NNG+상속세/NNG
80%만	80/SN+%/SW+만/JX
면제	면제/NNG


# id : NWRW1800000045.397.3.1
내년에 도입되는 개인종합자산관리계좌(ISA)의 가입 대상에 농어민이 추가된다.

내년에	내년/NNG+에/JKB
도입되는	도입/NNG+되/XSV+는/ETM
개인종합자산관리계좌(ISA)의	개인/NNG+종합/NNG+자산/NNG+관리/NNG+계좌/NNG+(/SS+ISA/SL+)/SS+의/JKG
가입	가입/NNG
대상에	대상/NNG+에/JKB
농어민이	농어민/NNG+이/JKS
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.397.3.2
연소득 5000만 원 이하 가입자의 비과세 혜택이 200만 원에서 250만 원으로 늘어나고 의무 가입 기간은 5년에서 3년으로 단축된다.

연소득	연/NNG+소득/NNG
5000만	5000/SN+만/NR
원	원/NNB
이하	이하/NNG
가입자의	가입자/NNG+의/JKG
비과세	비/XPN+과세/NNG
혜택이	혜택/NNG+이/JKS
200만	200/SN+만/NR
원에서	원/NNB+에서/JKB
250만	250/SN+만/NR
원으로	원/NNB+으로/JKB
늘어나고	늘어나/VV+고/EC
의무	의무/NNG
가입	가입/NNG
기간은	기간/NNG+은/JX
5년에서	5/SN+년/NNB+에서/JKB
3년으로	3/SN+년/NNB+으로/JKB
단축된다.	단축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.397.4.1
국회 기획재정위원회 조세소위원회 여야 간사인 강석훈 새누리당 의원과 김관영 새정치민주연합 의원은 1일 ISA 도입을 위한 조세특례제한법 수정안에 이같이 합의했다고 밝혔다.

국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
조세소위원회	조세/NNG+소/XPN+위원회/NNG
여야	여야/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
강석훈	강석훈/NNP
새누리당	새누리당/NNP
의원과	의원/NNG+과/JC
김관영	김관영/NNP
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
1일	1/SN+일/NNB
ISA	ISA/SL
도입을	도입/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조세특례제한법	조세/NNG+특례/NNG+제한법/NNG
수정안에	수정안/NNG+에/JKB
이같이	이같이/MAG
합의했다고	합의/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.397.5.1
ISA는 예·적금과 펀드 등 여러 금융상품을 한 계좌에 넣어 운용하면서 얻은 수익에 비과세 혜택을 주는 일명 ‘만능통장’이다.

ISA는	ISA/SL+는/JX
예·적금과	예·적금/NNG+과/JC
펀드	펀드/NNG
등	등/NNB
여러	여러/MMN
금융상품을	금융/NNG+상품/NNG+을/JKO
한	한/MMN
계좌에	계좌/NNG+에/JKB
넣어	넣/VV+어/EC
운용하면서	운용/NNG+하/XSV+면서/EC
얻은	얻/VV+은/ETM
수익에	수익/NNG+에/JKB
비과세	비/XPN+과세/NNG
혜택을	혜택/NNG+을/JKO
주는	주/VV+는/ETM
일명	일명/NNG
‘만능통장’이다.	‘/SS+만능/NNG+통장/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.397.5.2
정부 원안에 따르면 연소득 제한 없이 모든 근로소득자 또는 자영업자들이 연 2000만 원까지 납입해 순이익 200만 원까지 세금을 물지 않아도 된다.

정부	정부/NNG
원안에	원안/NNG+에/JKB
따르면	따르/VV+면/EC
연소득	연/NNG+소득/NNG
제한	제한/NNG
없이	없이/MAG
모든	모든/MMN
근로소득자	근로/NNG+소득자/NNG
또는	또는/MAG
자영업자들이	자영업자/NNG+들/XSN+이/JKS
연	연/NNG
2000만	2000/SN+만/NR
원까지	원/NNB+까지/JX
납입해	납입/NNG+하/XSV+아/EC
순이익	순이익/NNG
200만	200/SN+만/NR
세금을	세금/NNG+을/JKO
물지	물/VV+지/EC
않아도	않/VX+아도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.397.5.3
하지만 근로·사업소득이 있는 사람만 가입할 수 있어 주부, 농민 등은 혜택을 보기 어렵고 세제 혜택의 규모도 지나치게 작다는 지적이 제기됐다.

하지만	하지만/MAJ
근로·사업소득이	근로/NNG+·/SP+사업/NNG+소득/NNG+이/JKS
있는	있/VA+는/ETM
사람만	사람/NNG+만/JX
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
주부,	주부/NNG+,/SP
농민	농민/NNG
등은	등/NNB+은/JX
혜택을	혜택/NNG+을/JKO
