# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.283
metadata : {}


# id : NWRW1800000052.283.1.1
레오나르도 전북 현대 살렸다

레오나르도	레오나르도/NNP
전북	전북/NNP
현대	현대/NNP
살렸다	살리/VV+었/EP+다/EF


# id : NWRW1800000052.283.2.1
K리그 클래식, 후반 28분 프리킥 동점골

K리그	K/SL+리그/NNG
클래식,	클래식/NNG+,/SP
후반	후반/NNG
28분	28/SN+분/NNB
프리킥	프리킥/NNG
동점골	동점/NNG+골/NNG


# id : NWRW1800000052.283.3.1
전북 개막 후 무패행진 30경기로 늘려

전북	전북/NNP
개막	개막/NNG
후	후/NNG
무패행진	무패/NNG+행진/NNG
30경기로	30/SN+경기/NNG+로/JKB
늘려	늘리/VV+어/EF


# id : NWRW1800000052.283.4.1
울산 김병지 은퇴식 “그라운드여 아듀!”

울산	울산/NNP
김병지	김병지/NNP
은퇴식	은퇴식/NNG
“그라운드여	“/SS+그라운드/NNG+여/JKV
아듀!”	아듀/NNG+!/SF+”/SS


# id : NWRW1800000052.283.5.1
삼바특급 레오나르도가 전북 현대를 패배 위기에서 구해냈다.

삼바특급	삼바/NNG+특급/NNG
레오나르도가	레오나르도/NNP+가/JKS
전북	전북/NNP
현대를	현대/NNP+를/JKO
패배	패배/NNG
위기에서	위기/NNG+에서/JKB
구해냈다.	구하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.283.6.1
전북은 18일 저녁 전주월드컵경기장에서 열린 현대오일뱅크 2016 K리그 클래식 30라운드에서 수원 삼성에 0-1로 뒤졌으나, 후반 28분 레오나르도가 프리킥 동점골을 터뜨린 데 힘입어 1-1로 비겼다.

전북은	전북/NNP+은/JX
18일	18/SN+일/NNB
저녁	저녁/NNG
전주월드컵경기장에서	전주월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
현대오일뱅크	현대오일뱅크/NNP
2016	2016/SN
K리그	K/SL+리그/NNG
클래식	클래식/NNG
30라운드에서	30/SN+라운드/NNG+에서/JKB
수원	수원/NNP
삼성에	삼성/NNP+에/JKB
0-1로	0/SN+-/SO+1/SN+로/JKB
뒤졌으나,	뒤지/VV+었/EP+으나/EC+,/SP
후반	후반/NNG
28분	28/SN+분/NNB
레오나르도가	레오나르도/NNP+가/JKS
