# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.407
metadata : {}


# id : NWRW1800000038.407.1.1
憲裁·大法 대립에… 법조계 일각 "두 기관 합쳐 갈등소지 없애자"

憲裁·大法	憲裁/SH+·/SP+大法/SH
대립에…	대립/NNG+에/JKB+…/SE
법조계	법조/NNG+계/XSN
일각	일각/NNG
"두	"/SS+두/MMN
기관	기관/NNG
합쳐	합치/VV+어/EC
갈등소지	갈등/NNG+소지/NNG
없애자"	없애/VV+자/EF+"/SS


# id : NWRW1800000038.407.2.1
대법원 "헌법재판관 추천은 인사 청문회 거쳐 문제 없다"

대법원	대/XPN+법원/NNG
"헌법재판관	"/SS+헌법/NNG+재판관/NNG
추천은	추천/NNG+은/JX
인사	인사/NNG
청문회	청문회/NNG
거쳐	거치/VV+어/EC
문제	문제/NNG
없다"	없/VA+다/EF+"/SS


# id : NWRW1800000038.407.3.1
헌법재판소가 법원 재판을 심사하는 결정을 몇 차례 내려 대법원과 갈등이 첨예화되면서 법조계 일각에는 '대법원과 헌재를 통합해 갈등 요소를 아예 없애자'는 의견도 있다.

헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
법원	법원/NNG
재판을	재판/NNG+을/JKO
심사하는	심사/NNG+하/XSV+는/ETM
결정을	결정/NNG+을/JKO
몇	몇/NR
차례	차례/NNG
내려	내리/VV+어/EC
대법원과	대/XPN+법원/NNG+과/JKB
갈등이	갈등/NNG+이/JKS
첨예화되면서	첨예/NNG+화/XSN+되/XSV+면서/EC
법조계	법조/NNG+계/XSN
일각에는	일각/NNG+에/JKB+는/JX
'대법원과	'/SS+대/XPN+법원/NNG+과/JC
헌재를	헌재/NNG+를/JKO
통합해	통합/NNG+하/XSV+아/EC
갈등	갈등/NNG
요소를	요소/NNG+를/JKO
아예	아예/MAG
없애자'는	없애/VV+자/EF+'/SS+는/ETM
의견도	의견/NNG+도/JX
있다.	있/VV+다/EF+./SF


# id : NWRW1800000038.407.4.1
이 의견은 양 기관 갈등이 결국 국가적·사회적으로 심각한 손해를 끼친다는 문제의식에서 출발한다.

이	이/MMD
의견은	의견/NNG+은/JX
양	양/MMN
기관	기관/NNG
갈등이	갈등/NNG+이/JKS
결국	결국/NNG
국가적·사회적으로	국가/NNG+적/XSN+·/SP+사회/NNG+적/XSN+으로/JKB
심각한	심각하/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
끼친다는	끼치/VV+ㄴ다는/ETM
문제의식에서	문제의식/NNG+에서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.407.4.2
우리나라 사법체계는 3심제인데 헌재가 재판소원을 인정하자는 것은 결국 '4심' 역할을 하겠다는 의사라는 것이다.

우리나라	우리나라/NNG
사법체계는	사법/NNG+체계/NNG+는/JX
3심제인데	3심/NNG+제/XSN+이/VCP+ㄴ데/EC
헌재가	헌재/NNG+가/JKS
재판소원을	재판/NNG+소원/NNG+을/JKO
인정하자는	인정/NNG+하/XSV+자는/ETM
것은	것/NNB+은/JX
결국	결국/NNG
'4심'	'/SS+4심/NNG+'/SS
역할을	역할/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
의사라는	의사/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.407.4.3
특히 대법원 일부에서는 "차라리 두 기관을 하나로 합쳐 제대로 된 3심제를 하면 분열과 손실을 막을 수 있다"고 말하기도 한다.

특히	특히/MAG
대법원	대/XPN+법원/NNG
일부에서는	일부/NNG+에서/JKB+는/JX
"차라리	"/SS+차라리/MAG
두	두/MMN
기관을	기관/NNG+을/JKO
하나로	하나/NR+로/JKB
합쳐	합치/VV+어/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
3심제를	3심/NNG+제/XSN+를/JKO
하면	하/VV+면/EC
분열과	분열/NNG+과/JC
손실을	손실/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.407.4.4
이 논란은 1988년 헌재가 창립될 때부터 시작됐다.

이	이/MMD
논란은	논란/NNG+은/JX
1988년	1988/SN+년/NNB
헌재가	헌재/NNG+가/JKS
창립될	창립/NNG+되/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.407.4.5
세계적으로 헌법재판소가 대법원과 분리되어 있는 나라가 많지 않다는 점도 거론된다.

세계적으로	세계/NNG+적/XSN+으로/JKB
