# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.72
metadata : {}


# id : NWRW1800000028.72.1.1
니들이 ‘자유민주주의’를 알아?

니들이	니/NP+들/XSN+이/JKS
‘자유민주주의’를	‘/SS+자유/NNG+민주주의/NNG+’/SS+를/JKO
알아?	알/VV+아/EF+?/SF


# id : NWRW1800000028.72.2.1
약자가 강자를 이기는 법 안병길 지음/동녘·1만4000원 ‘엉터리’ 자유민주주의가 판치고 있다.

약자가	약자/NNG+가/JKS
강자를	강자/NNG+를/JKO
이기는	이기/VV+는/ETM
법	법/NNB
안병길	안병길/NNP
지음/동녘·1만4000원	짓/VV+음/ETN+//SP+동녘/NNP+·/SP+1/SN+만/NR+4000/SN+원/NNB
‘엉터리’	‘/SS+엉터리/NNG+’/SS
자유민주주의가	자유/NNG+민주주의/NNG+가/JKS
판치고	판치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.72.3.1
학교에서는 자유민주주의를 제대로 가르치지 않고, 정당의 정강도 ‘엉터리’ 자유민주주의를 지향한다.

학교에서는	학교/NNG+에서/JKB+는/JX
자유민주주의를	자유/NNG+민주주의/NNG+를/JKO
제대로	제대로/MAG
가르치지	가르치/VV+지/EC
않고,	않/VX+고/EC+,/SP
정당의	정당/NNG+의/JKG
정강도	정강/NNG+도/JX
‘엉터리’	‘/SS+엉터리/NNG+’/SS
지향한다.	지향/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.3.2
공동사회이기보다는 이익사회에 가까운 정당이 의미가 불분명한 ‘공동체’를 강조한다.

공동사회이기보다는	공동/NNG+사회/NNG+이/VCP+기/ETN+보다/JKB+는/JX
이익사회에	이익/NNG+사회/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
정당이	정당/NNG+이/JKS
의미가	의미/NNG+가/JKS
불분명한	불분명하/VA+ㄴ/ETM
‘공동체’를	‘/SS+공동체/NNG+’/SS+를/JKO
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.3.3
누리꾼들은 욕설, 인신공격, 명예훼손을 일삼으면서 자유라고 떠벌린다.

누리꾼들은	누리/NNG+꾼/XSN+들/XSN+은/JX
욕설,	욕설/NNG+,/SP
인신공격,	인신공격/NNG+,/SP
명예훼손을	명예/NNG+훼손/NNG+을/JKO
일삼으면서	일삼/VV+으면서/EC
자유라고	자유/NNG+이/VCP+라고/EC
떠벌린다.	떠벌리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.3.4
최근에는 법원에서 민주노동당 강기갑 대표에게 무죄 판결이 났다.

최근에는	최근/NNG+에/JKB+는/JX
법원에서	법원/NNG+에서/JKB
민주노동당	민주노동당/NNP
강기갑	강기갑/NNP
대표에게	대표/NNG+에게/JKB
무죄	무죄/NNG
판결이	판결/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.72.3.5
보수우익 단체는 법원이 ‘자유민주주의 체제를 부정했다’며 극렬하게 항의했다.

보수우익	보수/NNG+우익/NNG
단체는	단체/NNG+는/JX
법원이	법원/NNG+이/JKS
‘자유민주주의	‘/SS+자유/NNG+민주주의/NNG
체제를	체제/NNG+를/JKO
부정했다’며	부정/NNG+하/XSV+았/EP+다/EF+’/SS+며/EC
극렬하게	극렬/NNG+하/XSA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.72.3.6
또 촛불시위나 각종 반정부 시위가 열릴 때마다 ‘자유민주주의’와 ‘대한민국 정통성’을 들먹이며 비판의 날을 세웠다.

또	또/MAG
촛불시위나	촛불/NNG+시위/NNG+나/JC
각종	각종/NNG
반정부	반/XPN+정부/NNG
시위가	시위/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
‘자유민주주의’와	‘/SS+자유/NNG+민주주의/NNG+’/SS+와/JC
‘대한민국	‘/SS+대한민국/NNP
정통성’을	정통/NNG+성/XSN+’/SS+을/JKO
들먹이며	들먹이/VV+며/EC
비판의	비판/NNG+의/JKG
날을	날/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.72.3.7
이들은 과연 ‘자유민주주의’라는 말을 제대로 사용하고 있는 것일까?

이들은	이/NP+들/XSN+은/JX
과연	과연/MAG
‘자유민주주의’라는	‘/SS+자유/NNG+민주주의/NNG+’/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
제대로	제대로/MAG
사용하고	사용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000028.72.3.8
<약자가 강자를 이기는 법>은 이들이 말하는 자유민주주의는 ‘엉터리’이며 자유민주주의의 탈을 쓴 권위주의에 불과하다고 말한다.

<약자가	</SS+약자/NNG+가/JKS
강자를	강자/NNG+를/JKO
이기는	이기/VV+는/ETM
법>은	법/NNB+>/SS+은/JX
이들이	이/NP+들/XSN+이/JKS
말하는	말/NNG+하/XSV+는/ETM
자유민주주의는	자유/NNG+민주주의/NNG+는/JX
‘엉터리’이며	‘/SS+엉터리/NNG+’/SS+이/VCP+며/EC
자유민주주의의	자유/NNG+민주주의/NNG+의/JKG
탈을	탈/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
권위주의에	권위주의/NNG+에/JKB
불과하다고	불과/MAG+하/XSA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.72.3.9
10여년간 대학 강단에서 정치학을 강의해온 안병길씨는 이 책에서 보수주의자들이 자신들의 이익을 위해 ‘자유민주주의’에 씌워놓은 권위주의의 가면을 벗겨낸다.

10여년간	10/SN+여/XSN+년/NNB+간/XSN
대학	대학/NNG
강단에서	강단/NNG+에서/JKB
정치학을	정치학/NNG+을/JKO
강의해온	강의/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
안병길씨는	안병길/NNP+씨/NNB+는/JX
이	이/MMD
책에서	책/NNG+에서/JKB
보수주의자들이	보수주의자/NNG+들/XSN+이/JKS
자신들의	자신/NNG+들/XSN+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+아/EC
‘자유민주주의’에	‘/SS+자유/NNG+민주주의/NNG+’/SS+에/JKB
씌워놓은	씌우/VV+어/EC+놓/VX+은/ETM
권위주의의	권위주의/NNG+의/JKG
가면을	가면/NNG+을/JKO
