# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.159
metadata : {}


# id : NWRW1800000046.159.1.1
[메르스와의 전쟁] 메르스 고의로 퍼뜨리고 다니면 상해罪에 해당

[메르스와의	[/SS+메르스/NNG+와/JKB+의/JKG
전쟁]	전쟁/NNG+]/SS
메르스	메르스/NNG
고의로	고의/NNG+로/JKB
퍼뜨리고	퍼뜨리/VV+고/EC
다니면	다니/VV+면/EC
상해罪에	상해/NNG+罪/SH+에/JKB
해당	해당/NNG


# id : NWRW1800000046.159.2.1
"다 퍼뜨리겠다"는 환자의 독단행동을 통해 살펴보니…

"다	"/SS+다/MAG
퍼뜨리겠다"는	퍼뜨리/VV+겠/EP+다/EF+"/SS+는/ETM
환자의	환자/NNG+의/JKG
독단행동을	독단/NNG+행동/NNG+을/JKO
통해	통하/VV+아/EC
살펴보니…	살펴보/VV+니/EC+…/SE


# id : NWRW1800000046.159.3.1
메르스(MERS·중동호흡기증후군)에 걸린 사람이 자신의 감염 사실을 알면서도 계속해 외부로 돌아다니면 형사처벌을 받을까.

메르스(MERS·중동호흡기증후군)에	메르스/NNG+(/SS+MERS/SL+·/SP+중동/NNP+호흡기/NNG+증후군/NNG+)/SS+에/JKB
걸린	걸리/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
자신의	자신/NNG+의/JKG
감염	감염/NNG
사실을	사실/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
계속해	계속/NNG+하/XSV+아/EC
외부로	외부/NNG+로/JKB
돌아다니면	돌아다니/VV+면/EC
형사처벌을	형사/NNG+처벌/NNG+을/JKO
받을까.	받/VV+을까/EF+./SF


# id : NWRW1800000046.159.3.2
법조계 관계자들은 "고의로 메르스를 퍼뜨리기 위해 돌아다녔다는 점이 확인되면 상해죄로 처벌받을 수 있다"고 말했다.

법조계	법조/NNG+계/XSN
관계자들은	관계자/NNG+들/XSN+은/JX
"고의로	"/SS+고의/NNG+로/JKB
메르스를	메르스/NNG+를/JKO
퍼뜨리기	퍼뜨리/VV+기/ETN
위해	위하/VV+아/EC
돌아다녔다는	돌아다니/VV+었/EP+다는/ETM
점이	점/NNG+이/JKS
확인되면	확인/NNG+되/XSV+면/EC
상해죄로	상해죄/NNG+로/JKB
처벌받을	처벌/NNG+받/XSV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.159.4.1
지난 12일 141번 환자 A(42)씨는 메르스 검사 결과를 기다리던 중 "메르스를 다 퍼트리겠다"며 의료진에게 막말을 퍼붓고 병원을 뛰쳐나왔다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
141번	141/SN+번/NNB
환자	환자/NNG
A(42)씨는	A/SL+(/SS+42/SN+)/SS+씨/NNB+는/JX
메르스	메르스/NNG
검사	검사/NNG
결과를	결과/NNG+를/JKO
기다리던	기다리/VV+던/ETM
중	중/NNB
"메르스를	"/SS+메르스/NNG+를/JKO
다	다/MAG
퍼트리겠다"며	퍼트리/VV+겠/EP+다/EF+"/SS+며/EC
의료진에게	의료진/NNG+에게/JKB
막말을	막말/NNG+을/JKO
퍼붓고	퍼붓/VV+고/EC
병원을	병원/NNG+을/JKO
