# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.311
metadata : {}


# id : NWRW1800000046.311.1.1
金실장 '한시적 유임'… 세 비서관(이재만·정호성·안봉근) 교체 없다

金실장	金/SH+실장/NNG
'한시적	'/SS+한시/NNG+적/XSN
유임'…	유임/NNG+'/SS+…/SE
세	세/MMN
비서관(이재만·정호성·안봉근)	비서관/NNG+(/SS+이재만/NNP+·/SP+정호성/NNP+·/SP+안봉근/NNP+)/SS
교체	교체/NNG
없다	없/VA+다/EF


# id : NWRW1800000046.311.2.1
朴대통령 신년회견

朴대통령	朴/SH+대통령/NNG
신년회견	신년/NNG+회견/NNG


# id : NWRW1800000046.311.3.1
박근혜 대통령은 12일 청와대에서 신년 기자회견을 갖고 "청와대 조직 개편안을 마련 중"이라고 밝혔다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
12일	12/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
신년	신년/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"청와대	"/SS+청와대/NNP
조직	조직/NNG
개편안을	개편안/NNG+을/JKO
마련	마련/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.311.3.2
김기춘 청와대 비서실장의 거취와 관련해서는 "당면한 현안이 많이 있어서 그 문제들을 먼저 수습해야 되지 않겠나. 그래서 그 일들이 끝나고 결정할 문제"라고 말했다.

김기춘	김기춘/NNP
청와대	청와대/NNP
비서실장의	비서실장/NNG+의/JKG
거취와	거취/NNG+와/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
"당면한	"/SS+당면/NNG+하/XSV+ㄴ/ETM
현안이	현안/NNG+이/JKS
많이	많이/MAG
있어서	있/VA+어서/EC
그	그/MMD
문제들을	문제/NNG+들/XSN+을/JKO
먼저	먼저/MAG
수습해야	수습/NNG+하/XSV+아야/EC
되지	되/VV+지/EC
않겠나.	않/VX+겠/EP+나/EF+./SF
그래서	그래서/MAJ
일들이	일/NNG+들/XSN+이/JKS
끝나고	끝나/VV+고/EC
결정할	결정/NNG+하/XSV+ㄹ/ETM
문제"라고	문제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.4.1
박 대통령은 또 '비선(秘線) 실세와 연결돼 있다'는 의혹이 제기됐던 이재만 총무, 정호성 제1부속, 안봉근 제2부속 비서관에 대해서는 "세 비서관은 교체할 이유가 없다"고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
또	또/MAG
'비선(秘線)	'/SS+비선/NNG+(/SS+秘線/SH+)/SS
실세와	실세/NNG+와/JKB
연결돼	연결/NNG+되/XSV+어/EC
있다'는	있/VX+다/EF+'/SS+는/ETM
의혹이	의혹/NNG+이/JKS
제기됐던	제기/NNG+되/XSV+었/EP+던/ETM
이재만	이재만/NNP
총무,	총무/NNG+,/SP
정호성	정호성/NNP
제1부속,	제/XPN+1/SN+부속/NNG+,/SP
안봉근	안봉근/NNP
제2부속	제/XPN+2/SN+부속/NNG
비서관에	비서관/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"세	"/SS+세/MMN
비서관은	비서관/NNG+은/JX
교체할	교체/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.311.4.2
다만 박 대통령은 청와대 쇄신이 필요하다는 안팎의 지적을 수용하는 차원에서 "특보단을 구성해서 국회나 당·청 간에 좀 더 긴밀하게 소통하면서 정책도 협의해 나가는 그런 구도를 만들고, 청와대에서 뭘 알리는 부분에 있어 부족한 부분을 조직 개편으로 (보완)해야 되지 않을까"라면서 "그러다 보면 인사이동도 될 수 있을 것"이라고 했다.

다만	다만/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
청와대	청와대/NNP
쇄신이	쇄신/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
안팎의	안팎/NNG+의/JKG
