# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.221
metadata : {}


# id : NWRW1800000053.221.1.1
류현진 ‘3승-복수’ 기회 오나

류현진	류현진/NNP
‘3승-복수’	‘/SS+3/SN+승/NNB+-/SO+복수/NNG+’/SS
기회	기회/NNG
오나	오/VV+나/EF


# id : NWRW1800000053.221.2.1
9일 쉰 28일 안방 컵스전 등판 유력… 지난달 홈런 2개 맞고 4실점 패전 관건은 ‘가장 약한 1회’ 잘 넘기기

9일	9/SN+일/NNB
쉰	쉬/VV+ㄴ/ETM
28일	28/SN+일/NNB
안방	안방/NNG
컵스전	컵스전/NNG
등판	등판/NNG
유력…	유력/NNG+…/SE
지난달	지난달/NNG
홈런	홈런/NNG
2개	2/SN+개/NNB
맞고	맞/VV+고/EC
4실점	4/SN+실점/NNG
패전	패전/NNG
관건은	관건/NNG+은/JX
‘가장	‘/SS+가장/MAG
약한	약하/VA+ㄴ/ETM
1회’	1/SN+회/NNB+’/SS
잘	잘/MAG
넘기기	넘기/VV+기/ETN


# id : NWRW1800000053.221.3.1
‘더 몬스터’ 류현진(30·LA 다저스·사진)의 메이저리그 시즌 3승 도전 상대는 시카고 컵스가 될 확률이 높다.

‘더	‘/SS+더/NNG
몬스터’	몬스터/NNG+’/SS
류현진(30·LA	류현진/NNP+(/SS+30/SN+·/SP+LA/SL
다저스·사진)의	다저스/NNP+·/SP+사진/NNG+)/SS+의/JKG
메이저리그	메이저리그/NNG
시즌	시즌/NNG
3승	3/SN+승/NNB
도전	도전/NNG
상대는	상대/NNG+는/JX
시카고	시카고/NNP
컵스가	컵스/NNP+가/JKC
될	되/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000053.221.3.2
등판 날짜는 28일이 유력하다.

등판	등판/NNG
날짜는	날짜/NNG+는/JX
28일이	28/SN+일/NNB+이/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.221.4.1
다저스는 24일부터 안방 다저스타디움으로 세인트루이스와 시카고 컵스를 불러들여 각 3연전을 치른다.

다저스는	다저스/NNP+는/JX
24일부터	24/SN+일/NNB+부터/JX
안방	안방/NNG
다저스타디움으로	다저스타디움/NNP+으로/JKB
세인트루이스와	세인트루이스/NNP+와/JC
시카고	시카고/NNP
컵스를	컵스/NNP+를/JKO
불러들여	불러들이/VV+어/EC
각	각/MMD
3연전을	3/SN+연전/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.221.4.2
다저스는 세인트루이스를 상대로는 클레이턴 커쇼(29), 리치 힐(37), 마에다 겐타(29)가 선발 등판한다고 밝혔다.

다저스는	다저스/NNP+는/JX
세인트루이스를	세인트루이스/NNP+를/JKO
상대로는	상대/NNG+로/JKB+는/JX
클레이턴	클레이턴/NNP
커쇼(29),	커쇼/NNP+(/SS+29/SN+)/SS+,/SP
리치	리치/NNP
힐(37),	힐/NNP+(/SS+37/SN+)/SS+,/SP
마에다	마에다/NNP
겐타(29)가	겐타/NNP+(/SS+29/SN+)/SS+가/JKS
선발	선발/NNG
등판한다고	등판/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.221.4.3
