# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.93
metadata : {}


# id : NWRW1800000056.93.1.1
거액 거래 챙긴 트럼프 “중국 비난 안한다”

거액	거액/NNG
거래	거래/NNG
챙긴	챙기/VV+ㄴ/ETM
트럼프	트럼프/NNP
“중국	“/SS+중국/NNP
비난	비난/NNG
안한다”	안/MAG+하/VV+ㄴ다/EF+”/SS


# id : NWRW1800000056.93.2.1
[한겨레] 중국의 “불공정 무역” 맹비난해온 태도 바꿔 칭찬

[한겨레]	[/SS+한겨레/NNP+]/SS
중국의	중국/NNP+의/JKG
“불공정	“/SS+불/XPN+공정/NNG
무역”	무역/NNG+”/SS
맹비난해온	맹비난/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
태도	태도/NNG
바꿔	바꾸/VV+어/EC
칭찬	칭찬/NNG


# id : NWRW1800000056.93.3.1
“중국을 비난하지 않겠다.”

“중국을	“/SS+중국/NNP+을/JKO
비난하지	비난/NNG+하/XSV+지/EC
않겠다.”	않/VX+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000056.93.4.1
중국을 방문중인 도널드 트럼프 미국 대통령은 9일 베이징 인민대회당에서 시진핑 중국 국가주석과의 정상회담 뒤 공동 기자회견에서 “미국과 중국의 무역 관계는 일방적이고 불공정하다”면서도, 곧바로 “나는 중국을 비난하지 않겠다.

중국을	중국/NNP+을/JKO
방문중인	방문/NNG+중/NNB+이/VCP+ㄴ/ETM
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
9일	9/SN+일/NNB
베이징	베이징/NNP
인민대회당에서	인민대회당/NNP+에서/JKB
시진핑	시진핑/NNP
중국	중국/NNP
국가주석과의	국가주석/NNG+과/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
뒤	뒤/NNG
공동	공동/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“미국과	“/SS+미국/NNP+과/JC
중국의	중국/NNP+의/JKG
무역	무역/NNG
관계는	관계/NNG+는/JX
일방적이고	일방/NNG+적/XSN+이/VCP+고/EC
불공정하다”면서도,	불/XPN+공정/NNG+하/XSA+다/EF+”/SS+면서/EC+도/JX+,/SP
곧바로	곧바로/MAG
“나는	“/SS+나/NP+는/JX
비난하지	비난/NNG+하/XSV+지/EC
않겠다.	않/VX+겠/EP+다/EF+./SF


# id : NWRW1800000056.93.4.2
국민들의 이익을 위해 다른 나라를 이용할 능력이 있는 국가를 누가 비난할 수 있겠는가?

국민들의	국민/NNG+들/XSN+의/JKG
이익을	이익/NNG+을/JKO
위해	위하/VV+아/EC
다른	다른/MMD
나라를	나라/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
국가를	국가/NNG+를/JKO
누가	누구/NP+가/JKS
비난할	비난/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠는가?	있/VA+겠/EP+는가/EF+?/SF


# id : NWRW1800000056.93.4.3
나는 중국을 칭찬한다”고 말했다.

나는	나/NP+는/JX
중국을	중국/NNP+을/JKO
칭찬한다”고	칭찬/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.93.5.1
지난 대선 기간부터 중국을 “환율 조작국” 등으로 부르며 ‘미국의 일자리를 빼앗아 가고, 불공정 무역을 한다’고 맹렬히 비난해온 트럼프 대통령의 달라진 태도가 관심을 끌고 있다.

지난	지나/VV+ㄴ/ETM
대선	대선/NNG
기간부터	기간/NNG+부터/JX
중국을	중국/NNP+을/JKO
“환율	“/SS+환율/NNG
조작국”	조작국/NNG+”/SS
등으로	등/NNB+으로/JKB
부르며	부르/VV+며/EC
‘미국의	‘/SS+미국/NNP+의/JKG
일자리를	일자리/NNG+를/JKO
빼앗아	빼앗/VV+아/EC
가고,	가/VX+고/EC+,/SP
불공정	불/XPN+공정/NNG
무역을	무역/NNG+을/JKO
한다’고	하/VV+ㄴ다/EF+’/SS+고/JKQ
맹렬히	맹렬히/MAG
비난해온	비난/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
달라진	달라지/VV+ㄴ/ETM
태도가	태도/NNG+가/JKS
관심을	관심/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.93.6.1
트럼프 대통령은 “우리는 중국, 그리고 솔직히 말해 다른 많은 국가들과의 무역에서 많이 뒤처져 있다”고 말하기도 했다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
“우리는	“/SS+우리/NP+는/JX
중국,	중국/NNP+,/SP
그리고	그리고/MAJ
솔직히	솔직히/MAG
말해	말/NNG+하/XSV+아/EC
다른	다른/MMD
많은	많/VA+은/ETM
국가들과의	국가/NNG+들/XSN+과/JKB+의/JKG
무역에서	무역/NNG+에서/JKB
많이	많이/MAG
뒤처져	뒤처지/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.93.6.2
이어 “과거 행정부들이 (무역 문제를) 엉망이 되도록 방치한 것”을 비난한다며 무역적자 책임을 묻는 화살을 중국 대신, 미국의 전임 행정부 탓으로 돌렸다.

이어	이어/MAG
“과거	“/SS+과거/NNG
행정부들이	행정부/NNG+들/XSN+이/JKS
(무역	(/SS+무역/NNG
문제를)	문제/NNG+를/JKO+)/SS
엉망이	엉망/NNG+이/JKC
되도록	되/VV+도록/EC
방치한	방치/NNG+하/XSV+ㄴ/ETM
것”을	것/NNB+”/SS+을/JKO
비난한다며	비난/NNG+하/XSV+ㄴ다며/EC
무역적자	무역/NNG+적자/NNG
책임을	책임/NNG+을/JKO
묻는	묻/VV+는/ETM
화살을	화살/NNG+을/JKO
중국	중국/NNP
대신,	대신/NNG+,/SP
미국의	미국/NNP+의/JKG
전임	전임/NNG
행정부	행정부/NNG
탓으로	탓/NNG+으로/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.93.7.1
이어 “우리는 이것을 공정하게 만들 것이다.

이어	이어/MAG
“우리는	“/SS+우리/NP+는/JX
이것을	이것/NP+을/JKO
공정하게	공정/NNG+하/XSA+게/EC
만들	만들/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.93.7.2
나의 당신(시진핑 주석)에 대한 감정은 믿을 수 없을 만큼 따뜻하다.

나의	나/NP+의/JKG
당신(시진핑	당신/NP+(/SS+시진핑/NNP
주석)에	주석/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
감정은	감정/NNG+은/JX
믿을	믿/VV+을/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
따뜻하다.	따뜻하/VA+다/EF+./SF


# id : NWRW1800000056.93.7.3
우리는 정말 대단히 케미가 좋다”며 시진핑 주석을 개인적으로 추어올렸다.

우리는	우리/NP+는/JX
정말	정말/MAG
대단히	대단히/MAG
케미가	케미/NNG+가/JKS
좋다”며	좋/VA+다/EF+”/SS+며/EC
시진핑	시진핑/NNP
주석을	주석/NNG+을/JKO
개인적으로	개인/NNG+적/XSN+으로/JKB
추어올렸다.	추어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.93.8.1
중국을 방문해 자금성 등에서 ‘황제 대접’을 받고, 양국 무역을 2530억달러 늘린다는 양해각서를 발표하며 경제적 이익을 챙긴 것이 영향을 미친 것으로 보인다.

중국을	중국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
자금성	자금성/NNP
등에서	등/NNB+에서/JKB
‘황제	‘/SS+황제/NNG
대접’을	대접/NNG+’/SS+을/JKO
받고,	받/VV+고/EC+,/SP
양국	양국/NNG
무역을	무역/NNG+을/JKO
2530억달러	2530/SN+억/NR+달러/NNB
늘린다는	늘리/VV+ㄴ다는/ETM
양해각서를	양해/NNG+각서/NNG+를/JKO
발표하며	발표/NNG+하/XSV+며/EC
경제적	경제/NNG+적/XSN
이익을	이익/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
것이	것/NNB+이/JKS
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.93.9.1
아울러 이번 미-중 정상외교에선 최근 당대회를 통해 권력을 확고히 장악하고 국제무대를 향해서도 세계 최강대국을 향한 목표를 선언한 시진핑 주석이 국내 지지율 추락, 러시아 대선 개입 특검수사 등으로 위기에 빠진 트럼프 대통령을 압도하고 있다는 평가가 많다.

아울러	아울러/MAG
이번	이번/NNG
미-중	미/NNP+-/SO+중/NNP
정상외교에선	정상/NNG+외교/NNG+에서/JKB+ㄴ/JX
최근	최근/MAG
당대회를	당/NNG+대회/NNG+를/JKO
통해	통하/VV+아/EC
권력을	권력/NNG+을/JKO
확고히	확고히/MAG
장악하고	장악/NNG+하/XSV+고/EC
국제무대를	국제/NNG+무대/NNG+를/JKO
향해서도	향하/VV+아서/EC+도/JX
세계	세계/NNG
최강대국을	최/XPN+강대국/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
목표를	목표/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
시진핑	시진핑/NNP
주석이	주석/NNG+이/JKS
국내	국내/NNG
지지율	지지/NNG+율/XSN
추락,	추락/NNG+,/SP
러시아	러시아/NNP
대선	대선/NNG
개입	개입/NNG
특검수사	특검/NNG+수사/NNG
등으로	등/NNB+으로/JKB
위기에	위기/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
트럼프	트럼프/NNP
대통령을	대통령/NNG+을/JKO
압도하고	압도/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
