# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.78
metadata : {}


# id : NWRW1800000025.78.1.1
中企 파트타임 고용해도 1인당 150만원 세액공제

中企	中企/SH
파트타임	파트타임/NNG
고용해도	고용/NNG+하/XSV+아도/EC
1인당	1/SN+인/NNG+당/XSN
150만원	150/SN+만/NR+원/NNB
세액공제	세액/NNG+공제/NNG


# id : NWRW1800000025.78.2.1
이달 말부터 중소기업들이 상시근로자 외에 파트타임(단시간) 근로자를 채용해도 1인당 150만 원의 세액공제를 받을 수 있게 된다.

이달	이달/NNG
말부터	말/NNB+부터/JX
중소기업들이	중소기업/NNG+들/XSN+이/JKS
상시근로자	상시/NNG+근로자/NNG
외에	외/NNB+에/JKB
파트타임(단시간)	파트타임/NNG+(/SS+단시간/NNG+)/SS
근로자를	근로자/NNG+를/JKO
채용해도	채용/NNG+하/XSV+아도/EC
1인당	1/SN+인/NNG+당/XSN
150만	150/SN+만/NR
원의	원/NNB+의/JKG
세액공제를	세액/NNG+공제/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.78.3.1
기획재정부는 23일 국무회의에서 단시간 근로 확산을 위해 이런 내용을 담은 조세특례제한법 시행령을 개정한 뒤 26일 공포할 예정이라고 22일 밝혔다.

기획재정부는	기획/NNG+재정부/NNG+는/JX
23일	23/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
단시간	단시간/NNG
근로	근로/NNG
확산을	확산/NNG+을/JKO
위해	위하/VV+아/EC
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
조세특례제한법	조세/NNG+특례/NNG+제한법/NNG
시행령을	시행령/NNG+을/JKO
개정한	개정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
26일	26/SN+일/NNB
공포할	공포/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.78.4.1
정부는 이번 달부터 중소기업이 전년도보다 상시근로자를 늘린 경우 증가 인원 1인당 300만 원을 세액공제해주는 제도를 시행하고 있으며 이번에 그 적용 대상을 단시간 근로자로 확대한 것이다.

정부는	정부/NNG+는/JX
이번	이번/NNG
달부터	달/NNG+부터/JX
중소기업이	중소기업/NNG+이/JKS
전년도보다	전년도/NNG+보다/JKB
상시근로자를	상시/NNG+근로자/NNG+를/JKO
늘린	늘리/VV+ㄴ/ETM
경우	경우/NNG
증가	증가/NNG
인원	인원/NNG
1인당	1/SN+인/NNG+당/XSN
300만	300/SN+만/NR
원을	원/NNB+을/JKO
세액공제해주는	세액/NNG+공제/NNG+하/XSV+아/EC+주/VX+는/ETM
제도를	제도/NNG+를/JKO
시행하고	시행/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
이번에	이번/NNG+에/JKB
그	그/MMD
적용	적용/NNG
대상을	대상/NNG+을/JKO
단시간	단시간/NNG
근로자로	근로자/NNG+로/JKB
확대한	확대/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.78.4.2
다만 모든 단시간 근로자가 아니라 주당 15시간 이상, 월 60시간 이상 근무하는 근로자를 고용한 중소기업에 한해 지원할 방침이다.

다만	다만/MAG
모든	모든/MMN
단시간	단시간/NNG
근로자가	근로자/NNG+가/JKC
아니라	아니/VCN+라/EC
주당	주/NNG+당/XSN
15시간	15/SN+시간/NNB
이상,	이상/NNG+,/SP
월	월/NNG
60시간	60/SN+시간/NNB
이상	이상/NNG
근무하는	근무/NNG+하/XSV+는/ETM
근로자를	근로자/NNG+를/JKO
고용한	고용/NNG+하/XSV+ㄴ/ETM
중소기업에	중소기업/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
지원할	지원/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.78.5.1
재정부 관계자는 “단시간 근로자에 대한 세액공제 혜택으로 유연근무제가 활성화되면서 고용을 증대시키는 효과가 있을 것으로 기대한다”고 말했다.

재정부	재정부/NNG
관계자는	관계자/NNG+는/JX
“단시간	“/SS+단시간/NNG
근로자에	근로자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세액공제	세액/NNG+공제/NNG
혜택으로	혜택/NNG+으로/JKB
유연근무제가	유연/XR+근무/NNG+제/XSN+가/JKS
활성화되면서	활성/NNG+화/XSN+되/XSV+면서/EC
고용을	고용/NNG+을/JKO
증대시키는	증대/NNG+시키/XSV+는/ETM
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


