# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.417
metadata : {}


# id : NWRW1800000048.417.1.1
청와대·친박, 유승민 업무 배제…2단계 작전 나선 듯

청와대·친박,	청와대/NNP+·/SP+친/XPN+박/NNP+,/SP
유승민	유승민/NNP
업무	업무/NNG
배제…2단계	배제/NNG+…/SE+2/SN+단계/NNG
작전	작전/NNG
나선	나서/VV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000048.417.2.1
최경환 “추경 당정협의 안 나오게”

최경환	최경환/NNP
“추경	“/SS+추경/NNG
당정협의	당정/NNG+협의/NNG
안	안/MAG
나오게”	나오/VV+게/EC+”/SS


# id : NWRW1800000048.417.3.1
김무성 대표 요구로 운영위도 무산

김무성	김무성/NNP
대표	대표/NNG
요구로	요구/NNG+로/JKB
운영위도	운영위/NNG+도/JX
무산	무산/NNG


# id : NWRW1800000048.417.4.1
유승민 “전혀 압박 느끼지 않는다”

유승민	유승민/NNP
“전혀	“/SS+전혀/MAG
압박	압박/NNG
느끼지	느끼/VV+지/EC
않는다”	않/VX+는다/EF+”/SS


# id : NWRW1800000048.417.5.1
청와대와 친박근혜계가 유승민 새누리당 원내대표를 당정 협의 등 주요 공식업무에서 배제하며 노골적인 ‘유승민 고사작전’에 들어갔다.

청와대와	청와대/NNP+와/JC
친박근혜계가	친/XPN+박근혜/NNP+계/XSN+가/JKS
유승민	유승민/NNP
새누리당	새누리당/NNP
원내대표를	원내/NNG+대표/NNG+를/JKO
당정	당정/NNG
협의	협의/NNG
등	등/NNB
주요	주요/NNG
공식업무에서	공식/NNG+업무/NNG+에서/JKB
배제하며	배제/NNG+하/XSV+며/EC
노골적인	노골/NNG+적/XSN+이/VCP+ㄴ/ETM
‘유승민	‘/SS+유승민/NNP
고사작전’에	고사/NNG+작전/NNG+’/SS+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.417.5.2
김무성 대표도 이에 동조하면서, 유 원내대표가 갈수록 고립되는 모습이다.

김무성	김무성/NNP
대표도	대표/NNG+도/JX
이에	이/NP+에/JKB
동조하면서,	동조/NNG+하/XSV+면서/EC+,/SP
유	유/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
갈수록	갈수록/MAG
고립되는	고립/NNG+되/XSV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.417.6.1
유 원내대표는 1일 국회에서 열린 중동호흡기증후군(메르스) 추가경정예산 편성에 관한 당정 협의에 애초 참석할 예정이었으나, 원유철 정책위의장에게 맡기고 불참했다.

유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
1일	1/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
중동호흡기증후군(메르스)	중동/NNP+호흡기/NNG+증후군/NNG+(/SS+메르스/NNG+)/SS
추가경정예산	추가/NNG+경정/NNG+예산/NNG
편성에	편성/NNG+에/JKB
