# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.373
metadata : {}


# id : NWRW1800000053.373.1.1
[단독]국토부, 朴정부때 ‘한반도 통합철도망 마스터플랜’ 마련

[단독]국토부,	[/SS+단독/NNG+]/SS+국토부/NNG+,/SP
朴정부때	朴/SH+정부/NNG+때/NNG
‘한반도	‘/SS+한반도/NNP
통합철도망	통합/NNG+철도망/NNG
마스터플랜’	마스터플랜/NNG+’/SS
마련	마련/NNG


# id : NWRW1800000053.373.2.1
서울~평양, 시속 350km 고속철로 38분만에 달린다

서울~평양,	서울/NNP+~/SO+평양/NNP+,/SP
시속	시속/NNG
350km	350/SN+km/SW
고속철로	고속철/NNG+로/JKB
38분만에	38/SN+분/NNB+만/NNB+에/JKB
달린다	달리/VV+ㄴ다/EF


# id : NWRW1800000053.373.3.1
서울∼평양을 38분에 주파하는 고속철도(KTX)가 놓인다.

서울∼평양을	서울/NNP+∼/SO+평양/NNP+을/JKO
38분에	38/SN+분/NNB+에/JKB
주파하는	주파/NNG+하/XSV+는/ETM
고속철도(KTX)가	고속/NNG+철도/NNG+(/SS+KTX/SL+)/SS+가/JKS
놓인다.	놓이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.3.2
평양에서 한반도 최동단 두만강역까지 최고 시속 250km로 달리는 ‘준고속철’도 깔린다.

평양에서	평양/NNP+에서/JKB
한반도	한반도/NNP
최동단	최/XPN+동단/NNG
두만강역까지	두만강역/NNP+까지/JX
최고	최고/NNG
시속	시속/NNG
250km로	250/SN+km/SW+로/JKB
달리는	달리/VV+는/ETM
‘준고속철’도	‘/SS+준/XPN+고속철/NNG+’/SS+도/JX
깔린다.	깔리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.4.1
국토교통부 등 정부 부처들이 이런 내용을 담은 ‘한반도 통합철도망 마스터플랜’을 마련했던 것으로 확인됐다.

국토교통부	국토/NNG+교통부/NNG
등	등/NNB
정부	정부/NNG
부처들이	부처/NNG+들/XSN+이/JKS
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘한반도	‘/SS+한반도/NNP
통합철도망	통합/NNG+철도망/NNG
마스터플랜’을	마스터플랜/NNG+’/SS+을/JKO
마련했던	마련/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.373.4.2
10일 국회 국토교통위원회 전현희 의원(더불어민주당)의 국정감사 자료에 따르면 국토부는 박근혜 정부 시절인 2015년 7월∼올해 1월 수행한 연구용역을 통해 이러한 계획을 수립했다.

10일	10/SN+일/NNB
국회	국회/NNG
국토교통위원회	국토/NNG+교통/NNG+위원회/NNG
전현희	전현희/NNP
의원(더불어민주당)의	의원/NNG+(/SS+더불어민주당/NNP+)/SS+의/JKG
국정감사	국정/NNG+감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
국토부는	국토부/NNG+는/JX
박근혜	박근혜/NNP
정부	정부/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
2015년	2015/SN+년/NNB
7월∼올해	7/SN+월/NNB+∼/SO+올해/NNG
1월	1/SN+월/NNB
수행한	수행/NNG+하/XSV+ㄴ/ETM
연구용역을	연구/NNG+용역/NNG+을/JKO
통해	통하/VV+아/EC
이러한	이러하/VA+ㄴ/ETM
계획을	계획/NNG+을/JKO
수립했다.	수립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.373.4.3
당시 이런 마스터플랜이 마련된다는 사실은 알려졌지만 구체적인 결과가 확인된 것은 처음이다.

당시	당시/NNG
이런	이런/MMD
마스터플랜이	마스터플랜/NNG+이/JKS
마련된다는	마련/NNG+되/XSV+ㄴ다는/ETM
사실은	사실/NNG+은/JX
알려졌지만	알려지/VV+었/EP+지만/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
결과가	결과/NNG+가/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.373.5.1
○ ‘경의선 고속철도’와 ‘평라선 고속화전철’

○	○/SW
‘경의선	‘/SS+경의선/NNP
고속철도’와	고속/NNG+철도/NNG+’/SS+와/JC
‘평라선	‘/SS+평라선/NNP
고속화전철’	고속/NNG+화/XSN+전철/NNG+’/SS


# id : NWRW1800000053.373.6.1
마스터플랜에 따르면 사업은 크게 통일 전후로 나뉘어 계획됐다.

마스터플랜에	마스터플랜/NNG+에/JKB
따르면	따르/VV+면/EC
사업은	사업/NNG+은/JX
크게	크/VA+게/EC
통일	통일/NNG
전후로	전후/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
계획됐다.	계획/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.373.6.2
총 160조 원의 사업비를 들여 경의선 등 북한 내 22개 철도 노선을 신설, 개량하는 게 골자다.

총	총/MMA
160조	160/SN+조/NR
원의	원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
들여	들이/VV+어/EC
경의선	경의선/NNP
등	등/NNB
북한	북한/NNP
내	내/NNB
22개	22/SN+개/NNB
철도	철도/NNG
노선을	노선/NNG+을/JKO
신설,	신설/NNG+,/SP
개량하는	개량/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
골자다.	골자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.373.7.1
우선 통일 이전 10년 동안 서울∼평양∼신의주를 잇는 고속철이 신설된다.

우선	우선/MAG
통일	통일/NNG
이전	이전/NNG
10년	10/SN+년/NNB
동안	동안/NNG
서울∼평양∼신의주를	서울/NNP+∼/SO+평양/NNP+∼/SO+신의주/NNP+를/JKO
잇는	잇/VV+는/ETM
고속철이	고속철/NNG+이/JKS
신설된다.	신설/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.7.2
만포선 등 노후 노선 7곳은 남한 전원·신호체계 등에 맞춰 복원된다.

만포선	만포선/NNP
등	등/NNB
노후	노후/NNG
노선	노선/NNG
7곳은	7/SN+곳/NNG+은/JX
남한	남한/NNP
전원·신호체계	전원/NNG+·/SP+신호/NNG+체계/NNG
등에	등/NNB+에/JKB
맞춰	맞추/VV+어/EC
복원된다.	복원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.7.3
고속철의 최고 운행 속도는 시속 350km로 현재의 KTX(시속 300km)보다 빠르게 설계된다.

고속철의	고속철/NNG+의/JKG
최고	최고/NNG
운행	운행/NNG
속도는	속도/NNG+는/JX
시속	시속/NNG
350km로	350/SN+km/SW+로/JKB
현재의	현재/NNG+의/JKG
KTX(시속	KTX/SL+(/SS+시속/NNG
300km)보다	300/SN+km/SW+)/SS+보다/JKB
빠르게	빠르/VA+게/EC
설계된다.	설계/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.8.1
통일 후 한반도 고속철도망의 골격을 이룰 경의선은 서울 수색역에서 출발하도록 계획됐다.

통일	통일/NNG
후	후/NNG
한반도	한반도/NNP
고속철도망의	고속/NNG+철도망/NNG+의/JKG
골격을	골격/NNG+을/JKO
이룰	이루/VV+ㄹ/ETM
경의선은	경의선/NNP+은/JX
서울	서울/NNP
수색역에서	수색역/NNP+에서/JKB
출발하도록	출발/NNG+하/XSV+도록/EC
계획됐다.	계획/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.373.8.2
선로가 자유로와 나란히 달리다 경기 김포시를 지난 뒤 판문점역 등을 통해 북한으로 연결되는 형태의 노선이다.

선로가	선로/NNG+가/JKS
자유로와	자유/NNG+롭/XSA+아/EC
나란히	나란히/MAG
달리다	달리/VV+다/EC
경기	경기/NNP
김포시를	김포시/NNP+를/JKO
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
판문점역	판문점역/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
북한으로	북한/NNP+으로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
형태의	형태/NNG+의/JKG
노선이다.	노선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.373.9.1
중장기 계획으로는 강원선 등 5개 노선을 최고 시속 250km의 고속화노선으로 개량하는 사업이 구상됐다.

중장기	중장기/NNG
계획으로는	계획/NNG+으로/JKB+는/JX
강원선	강원선/NNP
등	등/NNB
5개	5/SN+개/NNB
노선을	노선/NNG+을/JKO
최고	최고/NNG
시속	시속/NNG
250km의	250/SN+km/SW+의/JKG
고속화노선으로	고속/NNG+화/XSN+노선/NNG+으로/JKB
개량하는	개량/NNG+하/XSV+는/ETM
사업이	사업/NNG+이/JKS
구상됐다.	구상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.373.9.2
평양과 국경지대의 라선시를 잇는 평라선도 고속화돼 중국 러시아의 대륙철도와 연결된다.

평양과	평양/NNP+과/JC
국경지대의	국경/NNG+지대/NNG+의/JKG
라선시를	라선시/NNP+를/JKO
잇는	잇/VV+는/ETM
평라선도	평라선/NNP+도/JX
고속화돼	고속/NNG+화/XSN+되/XSV+어/EC
중국	중국/NNP
러시아의	러시아/NNP+의/JKG
대륙철도와	대륙/NNG+철도/NNG+와/JKB
연결된다.	연결/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.10.1
통일 이후에도 강원·평라선 고속철 등 총사업비 79조 원 규모의 철도 신설·고속화 사업이 이어진다.

통일	통일/NNG
이후에도	이후/NNG+에/JKB+도/JX
강원·평라선	강원/NNP+·/SP+평라선/NNP
고속철	고속철/NNG
등	등/NNB
총사업비	총/MMA+사업비/NNG
79조	79/SN+조/NR
원	원/NNB
규모의	규모/NNG+의/JKG
철도	철도/NNG
신설·고속화	신설/NNG+·/SP+고속/NNG+화/XSN
사업이	사업/NNG+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.373.11.1
○ 재원 미비 등으로 실현 가능성은 미지수

○	○/SW
재원	재원/NNG
미비	미비/NNG
