# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.169
metadata : {}


# id : NWRW1800000028.169.1.1
‘30년 라이벌’ 전-현직 시장 맞대결 /“청렴 인물 가리자”…2%p 차 접전

‘30년	‘/SS+30/SN+년/NNB
라이벌’	라이벌/NNG+’/SS
전-현직	전-현직/NNG
시장	시장/NNG
맞대결	맞대결/NNG
/“청렴	//SP+“/SS+청렴/NNG
인물	인물/NNG
가리자”…2%p	가리/VV+자/EF+”/SS+…/SE+2/SN+%p/SW
차	차/NNG
접전	접전/NNG


# id : NWRW1800000028.169.2.1
충남 보령시장 선거는 한나라당 신준희(72) 현 시장과 자유선진당 이시우(61) 전 시장, 민주당 김기호(48) 후보와 무소속 김동일(61)·임세빈(45)·양창용(42) 후보 등 모두 6명이 출마했다.

충남	충남/NNP
보령시장	보령시장/NNG
선거는	선거/NNG+는/JX
한나라당	한나라당/NNP
신준희(72)	신준희/NNP+(/SS+72/SN+)/SS
현	현/MMD
시장과	시장/NNG+과/JC
자유선진당	자유선진당/NNP
이시우(61)	이시우/NNP+(/SS+61/SN+)/SS
전	전/MMD
시장,	시장/NNG+,/SP
민주당	민주당/NNP
김기호(48)	김기호/NNP+(/SS+48/SN+)/SS
후보와	후보/NNG+와/JC
무소속	무/XPN+소속/NNG
김동일(61)·임세빈(45)·양창용(42)	김동일/NNP+(/SS+61/SN+)/SS+·/SP+임세빈/NNP+(/SS+45/SN+)/SS+·/SP+양창용/NNP+(/SS+42/SN+)/SS
후보	후보/NNG
등	등/NNB
모두	모두/MAG
6명이	6/SN+명/NNB+이/JKS
출마했다.	출마/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.169.2.2
판세는 2강 구도로, 30년 정치 라이벌인 신 시장과 이 전 시장이 맞대결을 펼치고 있다.

판세는	판세/NNG+는/JX
2강	2/SN+강/NNB
구도로,	구도/NNG+로/JKB+,/SP
30년	30/SN+년/NNB
정치	정치/NNG
라이벌인	라이벌/NNG+이/VCP+ㄴ/ETM
신	신/NNP
시장과	시장/NNG+과/JC
이	이/NNP
전	전/MMD
시장이	시장/NNG+이/JKS
맞대결을	맞대결/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.169.3.1
지난 9일치 <중도일보> 여론조사를 보면, 신 시장 29.8%, 이 전 시장 27.3%로 오차범위(4%) 안에서 혼전을 벌이고 있고, 김기호(9.6%), 김동일(8.9%), 임세빈(3.5%), 양창용(0.0%) 후보가 추격하고 있다.

지난	지나/VV+ㄴ/ETM
9일치	9/SN+일/NNB+치/NNB
<중도일보>	</SS+중도일보/NNP+>/SS
여론조사를	여론/NNG+조사/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
신	신/NNP
시장	시장/NNG
29.8%,	29/SN+./SP+8/SN+%/SW+,/SP
이	이/NNP
전	전/MMD
27.3%로	27/SN+./SP+3/SN+%/SW+로/JKB
오차범위(4%)	오차/NNG+범위/NNG+(/SS+4/SN+%/SW+)/SS
안에서	안/NNG+에서/JKB
혼전을	혼전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있고,	있/VX+고/EC+,/SP
김기호(9.6%),	김기호/NNP+(/SS+9/SN+./SP+6/SN+%/SW+)/SS+,/SP
김동일(8.9%),	김동일/NNP+(/SS+8/SN+./SP+9/SN+%/SW+)/SS+,/SP
임세빈(3.5%),	임세빈/NNP+(/SS+3/SN+./SP+5/SN+%/SW+)/SS+,/SP
양창용(0.0%)	양창용/NNP+(/SS+0/SN+./SP+0/SN+%/SW+)/SS
후보가	후보/NNG+가/JKS
추격하고	추격/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.169.4.1
세종시 이슈에도 한나라당 소속 신 시장 지지율이 강세인 것은 ‘박근혜’ 효과 때문이다.

세종시	세종시/NNP
이슈에도	이슈/NNG+에/JKB+도/JX
한나라당	한나라당/NNP
소속	소속/NNG
신	신/NNP
시장	시장/NNG
지지율이	지지/NNG+율/XSN+이/JKS
강세인	강세/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
‘박근혜’	‘/SS+박근혜/NNP+’/SS
효과	효과/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.169.4.2
‘세종시는 원안이 당론’이라는 박 의원의 일관된 주장의 영향으로 ‘한나라당=박근혜’라는 밑바닥 정서가 강하다.

‘세종시는	‘/SS+세종시/NNP+는/JX
원안이	원안/NNG+이/JKS
당론’이라는	당론/NNG+’/SS+이/VCP+라는/ETM
박	박/NNP
의원의	의원/NNG+의/JKG
일관된	일관/NNG+되/XSV+ㄴ/ETM
주장의	주장/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
‘한나라당=박근혜’라는	‘/SS+한나라당/NNP+=/SW+박근혜/NNP+’/SS+이/VCP+라는/ETM
밑바닥	밑바닥/NNG
정서가	정서/NNG+가/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000028.169.5.1
이 지역 한나라당 출마자들은 거의가 박근혜 전 대표 사진을 내걸었고, 민주당과 선진당 역시 세종시 문제를 주된 이슈로 언급하지 않는 분위기다.

이	이/MMD
지역	지역/NNG
한나라당	한나라당/NNP
출마자들은	출마자/NNG+들/XSN+은/JX
거의가	거의/NNG+가/JKS
박근혜	박근혜/NNP
전	전/MMD
대표	대표/NNG
사진을	사진/NNG+을/JKO
내걸었고,	내걸/VV+었/EP+고/EC+,/SP
민주당과	민주당/NNP+과/JC
선진당	선진당/NNP
역시	역시/MAG
세종시	세종시/NNP
문제를	문제/NNG+를/JKO
주된	주/NNG+되/XSV+ㄴ/ETM
이슈로	이슈/NNG+로/JKB
언급하지	언급/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.169.6.1
세종시 이슈가 무디어지면서, 보령시장 선거에서는 청렴한 인물론이 주요 이슈로 부각되고 있다.

세종시	세종시/NNP
이슈가	이슈/NNG+가/JKS
무디어지면서,	무디어지/VV+면서/EC+,/SP
보령시장	보령시장/NNG
선거에서는	선거/NNG+에서/JKB+는/JX
청렴한	청렴/NNG+하/XSA+ㄴ/ETM
인물론이	인물/NNG+론/XSN+이/JKS
주요	주요/NNG
이슈로	이슈/NNG+로/JKB
부각되고	부각/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.169.6.2
공무원들의 잇단 구속으로 확산된 공직사회 불신 풍조를 개선할 수 있는, 지역의 대표선수가 누구인지가 선택의 기준이 될 것으로 보인다.

공무원들의	공무원/NNG+들/XSN+의/JKG
잇단	잇달/VV+ㄴ/ETM
구속으로	구속/NNG+으로/JKB
확산된	확산/NNG+되/XSV+ㄴ/ETM
공직사회	공직/NNG+사회/NNG
불신	불신/NNG
풍조를	풍조/NNG+를/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는,	있/VA+는/ETM+,/SP
지역의	지역/NNG+의/JKG
대표선수가	대표/NNG+선수/NNG+가/JKS
누구인지가	누구/NP+이/VCP+ㄴ지/EF+가/JKS
선택의	선택/NNG+의/JKG
기준이	기준/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.169.7.1
신 시장은 도청이전 관련 유관기관 유치, 100개 기업 유치, 대천천 하류지 공원조성, 명문 초·중·고 육성을 공약했다.

신	신/NNP
시장은	시장/NNG+은/JX
도청이전	도청/NNG+이전/NNG
관련	관련/NNG
유관기관	유관/NNG+기관/NNG
유치,	유치/NNG+,/SP
100개	100/SN+개/NNB
기업	기업/NNG
대천천	대천천/NNP
하류지	하류지/NNG
공원조성,	공원/NNG+조성/NNG+,/SP
명문	명문/NNG
초·중·고	초·중·고/NNG
육성을	육성/NNG+을/JKO
공약했다.	공약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.169.7.2
이 전 시장은 유명무실한 관창공단 대안 마련 및 기업 유치, 사회적 약자에 대한 무상의료 서비스 등 복지공동체 건설, 시민배심원제 도입, 여성 및 어르신 경제활동 지원 등을 내걸었다.

이	이/NNP
전	전/MMD
시장은	시장/NNG+은/JX
유명무실한	유명무실/NNG+하/XSA+ㄴ/ETM
관창공단	관창공단/NNP
대안	대안/NNG
마련	마련/NNG
및	및/MAG
기업	기업/NNG
유치,	유치/NNG+,/SP
사회적	사회/NNG+적/XSN
약자에	약자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무상의료	무상/NNG+의료/NNG
서비스	서비스/NNG
등	등/NNB
복지공동체	복지/NNG+공동체/NNG
건설,	건설/NNG+,/SP
시민배심원제	시민/NNG+배심원/NNG+제/XSN
도입,	도입/NNG+,/SP
여성	여성/NNG
어르신	어르신/NNG
경제활동	경제/NNG+활동/NNG
지원	지원/NNG
등을	등/NNB+을/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.169.7.3
이아무개(46·의사)씨는 “미세한 접전이 계속되고 있어 지역 바람의 정도에 따라 승패가 갈릴 것으로 예상한다”고 말했다.

이아무개(46·의사)씨는	이/NNP+아무개/NP+(/SS+46/SN+·/SP+의사/NNG+)/SS+씨/NNB+는/JX
“미세한	“/SS+미세/NNG+하/XSA+ㄴ/ETM
접전이	접전/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있어	있/VX+어/EC
지역	지역/NNG
바람의	바람/NNG+의/JKG
정도에	정도/NNG+에/JKB
따라	따르/VV+아/EC
승패가	승패/NNG+가/JKS
갈릴	갈리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상한다”고	예상/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


