# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.374
metadata : {}


# id : NWRW1800000021.374.1.1
“파르완州, 바그람 미군기지 있어 안전”

“파르완州,	“/SS+파르완/NNP+州/SH+,/SP
바그람	바그람/NNP
미군기지	미군/NNG+기지/NNG
있어	있/VX+어/EC
안전”	안전/NNG+”/SS


# id : NWRW1800000021.374.2.1
정부가 독자적인 아프가니스탄 지방재건팀(PRT) 설치 지역을 결정하는 데 가장 중요하게 고려하는 요소는 안전 문제다.

정부가	정부/NNG+가/JKS
독자적인	독자/NNG+적/XSN+이/VCP+ㄴ/ETM
아프가니스탄	아프가니스탄/NNP
지방재건팀(PRT)	지방/NNG+재건/NNG+팀/NNG+(/SS+PRT/SL+)/SS
설치	설치/NNG
지역을	지역/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
데	데/NNB
가장	가장/MAG
중요하게	중요/NNG+하/XSA+게/EC
고려하는	고려/NNG+하/XSV+는/ETM
요소는	요소/NNG+는/JX
안전	안전/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.374.2.2
유명환 외교통상부 장관은 17일 △전투행위가 적은 안전한 지역을 찾는 것이 제일 중요하며 △한국 병원시설이 설치될 바그람 기지 인근에서 시너지 효과를 내고 △현지 한국 기업과 연계될 수 있어야 한다고 PRT 설치 기준을 제시했다.

유명환	유명환/NNP
외교통상부	외교/NNG+통상부/NNG
장관은	장관/NNG+은/JX
17일	17/SN+일/NNB
△전투행위가	△/SW+전투/NNG+행위/NNG+가/JKS
적은	적/VA+은/ETM
안전한	안전/NNG+하/XSA+ㄴ/ETM
지역을	지역/NNG+을/JKO
찾는	찾/VV+는/ETM
것이	것/NNB+이/JKS
제일	제일/MAG
중요하며	중요/NNG+하/XSA+며/EC
△한국	△/SW+한국/NNP
병원시설이	병원/NNG+시설/NNG+이/JKS
설치될	설치/NNG+되/XSV+ㄹ/ETM
바그람	바그람/NNP
기지	기지/NNG
인근에서	인근/NNG+에서/JKB
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
내고	내/VV+고/EC
△현지	△/SW+현지/NNG
한국	한국/NNP
기업과	기업/NNG+과/JKB
연계될	연계/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다고	하/VX+ㄴ다고/EC
PRT	PRT/SL
설치	설치/NNG
기준을	기준/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.374.3.1
○ “가장 안전한 곳이 파르완 주”

○	○/SW
“가장	“/SS+가장/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
곳이	곳/NNG+이/JKS
파르완	파르완/NNP
주”	주/NNG+”/SS


# id : NWRW1800000021.374.4.1
이런 기준에 비춰볼 때 파르완 주는 여러 면에서 가장 적절한 후보지라는 평가를 받는다.

이런	이런/MMD
기준에	기준/NNG+에/JKB
비춰볼	비추/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
파르완	파르완/NNP
주는	주/NNG+는/JX
여러	여러/MMN
면에서	면/NNG+에서/JKB
가장	가장/MAG
적절한	적절하/VA+ㄴ/ETM
후보지라는	후보지/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000021.374.4.2
정부합동실사단은 파르완 주 외에 보조적인 대안으로 검토하고 있는 바미안 주 등도 방문해 PRT 설치가 적합한지 검토했다.

정부합동실사단은	정부/NNG+합동/NNG+실사단/NNG+은/JX
파르완	파르완/NNP
주	주/NNG
외에	외/NNB+에/JKB
보조적인	보조/NNG+적/XSN+이/VCP+ㄴ/ETM
대안으로	대안/NNG+으로/JKB
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
바미안	바미안/NNP
등도	등/NNB+도/JX
방문해	방문/NNG+하/XSV+아/EC
PRT	PRT/SL
설치가	설치/NNG+가/JKS
적합한지	적합/NNG+하/XSA+ㄴ지/EC
검토했다.	검토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.374.5.1
파르완 주에는 바그람 미 공군기지가 있다.

파르완	파르완/NNP
주에는	주/NNG+에/JKB+는/JX
바그람	바그람/NNP
미	미/NNP
공군기지가	공군/NNG+기지/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.374.5.2
또 바그람 기지 내에 북대서양조약기구(NATO) 국제안보지원군(ISAF) 동부사령부도 자리 잡고 있다.

또	또/MAG
바그람	바그람/NNP
기지	기지/NNG
내에	내/NNB+에/JKB
북대서양조약기구(NATO)	북대서양조약기구/NNP+(/SS+NATO/SL+)/SS
국제안보지원군(ISAF)	국제안보지원군/NNP+(/SS+ISAF/SL+)/SS
동부사령부도	동부/NNG+사령부/NNG+도/JX
자리	자리/NNG
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.374.5.3
미군뿐 아니라 독일, 프랑스 등 다국적군 2만여 명이 배치돼 상대적으로 가장 안전한 지역인 셈이다.

미군뿐	미군/NNG+뿐/JX
아니라	아니/VCN+라/EC
독일,	독일/NNP+,/SP
프랑스	프랑스/NNP
등	등/NNB
다국적군	다국적군/NNG
2만여	2/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
배치돼	배치/NNG+되/XSV+어/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
가장	가장/MAG
안전한	안전/NNG+하/XSA+ㄴ/ETM
지역인	지역/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.374.5.4
한국이 신축 중인 병원도 바그람 기지 안에 있어 이곳에서 활동 중인 한국 PRT 요원들과의 연계성을 높일 수 있는 장점도 있다.

한국이	한국/NNP+이/JKS
신축	신축/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
병원도	병원/NNG+도/JX
바그람	바그람/NNP
기지	기지/NNG
안에	안/NNG+에/JKB
있어	있/VA+어/EC
이곳에서	이곳/NP+에서/JKB
활동	활동/NNG
한국	한국/NNP
PRT	PRT/SL
요원들과의	요원/NNG+들/XSN+과/JKB+의/JKG
연계성을	연계/NNG+성/XSN+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장점도	장점/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.374.6.1
○ “교민 안전도 주요 고려사항”

○	○/SW
“교민	“/SS+교민/NNG
안전도	안전/NNG+도/JX
주요	주요/NNG
고려사항”	고려/NNG+사항/NNG+”/SS


# id : NWRW1800000021.374.7.1
정부는 파르완 주에서 PRT를 운영하는 미국 외에 아프간 중앙정부, 지방정부와의 토지 매입 등에 관한 협의를 거쳐 최종적으로 PRT 설치 장소를 결정할 방침이다.

정부는	정부/NNG+는/JX
파르완	파르완/NNP
주에서	주/NNG+에서/JKB
PRT를	PRT/SL+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
미국	미국/NNP
외에	외/NNB+에/JKB
아프간	아프간/NNP
중앙정부,	중앙/NNG+정부/NNG+,/SP
지방정부와의	지방/NNG+정부/NNG+와/JKB+의/JKG
토지	토지/NNG
매입	매입/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
최종적으로	최종/NNG+적/XSN+으로/JKB
PRT	PRT/SL
설치	설치/NNG
장소를	장소/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.374.7.2
터 선정을 위해 ISAF와 별도의 협정을 체결해야 하며, NATO 외교장관회의의 승인 절차를 거쳐야 한다.

터	터/NNG
선정을	선정/NNG+을/JKO
위해	위하/VV+아/EC
ISAF와	ISAF/SL+와/JKB
별도의	별도/NNG+의/JKG
협정을	협정/NNG+을/JKO
체결해야	체결/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
NATO	NATO/SL
외교장관회의의	외교/NNG+장관/NNG+회의/NNG+의/JKG
승인	승인/NNG
절차를	절차/NNG+를/JKO
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.374.7.3
이 과정에 4, 5개월이 소요될 것으로 보인다.

이	이/MMD
과정에	과정/NNG+에/JKB
4,	4/SN+,/SP
5개월이	5/SN+개월/NNB+이/JKS
소요될	소요/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.374.8.1
정부의 파병동의안 국회 제출은 내년 초에나 가능할 것으로 보인다.

정부의	정부/NNG+의/JKG
파병동의안	파병/NNG+동의안/NNG
국회	국회/NNG
제출은	제출/NNG+은/JX
내년	내년/NNG
초에나	초/NNB+에/JKB+나/JX
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.374.8.2
정부는 현재 PRT 요원을 130∼150명으로 늘리고 특전사를 중심으로 한 보호병력 270∼280명을 파견할 방침이다.

정부는	정부/NNG+는/JX
현재	현재/MAG
PRT	PRT/SL
요원을	요원/NNG+을/JKO
130∼150명으로	130/SN+∼/SO+150/SN+명/NNB+으로/JKB
늘리고	늘리/VV+고/EC
특전사를	특전사/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
보호병력	보호/NNG+병력/NNG
270∼280명을	270/SN+∼/SO+280/SN+명/NNB+을/JKO
파견할	파견/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.374.8.3
정부는 이르면 내년 3, 4월경에 병력을 파견할 수 있을 것으로 예상하고 있지만 늦춰질 가능성도 있다.

정부는	정부/NNG+는/JX
이르면	이르/VA+면/EC
내년	내년/NNG
3,	3/SN+,/SP
4월경에	4/SN+월/NNB+경/XSN+에/JKB
병력을	병력/NNG+을/JKO
파견할	파견/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
늦춰질	늦춰지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.374.9.1
유 장관은 파병 결정 이후 현지 교민의 안전 대책에 대해 “PRT가 설치되면 민간요원과 서비스 용역이 필요하므로 (교민들을) 한국 PRT 안으로 전부 흡수하면 큰 문제가 없을 것”이라고 말했다.

유	유/NNP
장관은	장관/NNG+은/JX
파병	파병/NNG
결정	결정/NNG
이후	이후/NNG
현지	현지/NNG
교민의	교민/NNG+의/JKG
안전	안전/NNG
대책에	대책/NNG+에/JKB
대해	대하/VV+아/EC
“PRT가	“/SS+PRT/SL+가/JKS
설치되면	설치/NNG+되/XSV+면/EC
민간요원과	민간/NNG+요원/NNG+과/JC
서비스	서비스/NNG
용역이	용역/NNG+이/JKS
필요하므로	필요/NNG+하/XSA+므로/EC
(교민들을)	(/SS+교민/NNG+들/XSN+을/JKO+)/SS
한국	한국/NNP
PRT	PRT/SL
안으로	안/NNG+으로/JKB
전부	전부/MAG
흡수하면	흡수/NNG+하/XSV+면/EC
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.374.10.1
◇ 파르완 주는

◇	◇/SW
파르완	파르완/NNP
주는	주/NNG+는/JX


# id : NWRW1800000021.374.11.1
인구 72만6000명의 전형적인 농촌 지역으로 주도는 차리카르다.

인구	인구/NNG
72만6000명의	72/SN+만/NR+6000/SN+명/NNB+의/JKG
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
농촌	농촌/NNG
지역으로	지역/NNG+으로/JKB
주도는	주도/NNG+는/JX
차리카르다.	차리카르/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000021.374.11.2
소련의 아프간 침공 당시 치열한 전투가 벌어졌던 곳이며 1990년대 후반 탈레반 정권에 맞서던 반군 사령관 아마드 마수드의 핵심거점이기도 하다.

소련의	소련/NNP+의/JKG
아프간	아프간/NNP
침공	침공/NNG
당시	당시/NNG
치열한	치열/NNG+하/XSA+ㄴ/ETM
전투가	전투/NNG+가/JKS
벌어졌던	벌어지/VV+었/EP+던/ETM
곳이며	곳/NNG+이/VCP+며/EC
1990년대	1990/SN+년대/NNB
후반	후반/NNG
탈레반	탈레반/NNP
정권에	정권/NNG+에/JKB
맞서던	맞서/VV+던/ETM
반군	반군/NNG
사령관	사령관/NNG
아마드	아마드/NNP
마수드의	마수드/NNP+의/JKG
핵심거점이기도	핵심/NNG+거점/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000021.374.11.3
한국국제협력단(KOICA)은 2003∼2004년 농촌개발 지원사업의 일환으로 파르완 주에 학교 건립을 추진하기도 했다.

한국국제협력단(KOICA)은	한국국제협력단/NNP+(/SS+KOICA/SL+)/SS+은/JX
2003∼2004년	2003/SN+∼/SO+2004/SN+년/NNB
농촌개발	농촌/NNG+개발/NNG
지원사업의	지원/NNG+사업/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
파르완	파르완/NNP
주에	주/NNG+에/JKB
학교	학교/NNG
건립을	건립/NNG+을/JKO
추진하기도	추진/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.374.12.1
■ 국방부 “재파병 않겠다는 약속 탈레반에 한 적 없다”

■	■/SW
국방부	국방부/NNG
“재파병	“/SS+재/XPN+파병/NNG
않겠다는	않/VX+겠/EP+다는/ETM
약속	약속/NNG
탈레반에	탈레반/NNP+에/JKB
한	하/VV+ㄴ/ETM
적	적/NNB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000021.374.13.1
국방부는 2007년 아프가니스탄에서 한국인들이 납치됐던 사건과 관련해 “아프간 무장단체인 탈레반에 한국군을 재파병하지 않겠다는 약속을 한 적이 없다”고 17일 밝혔다.

국방부는	국방부/NNG+는/JX
2007년	2007/SN+년/NNB
아프가니스탄에서	아프가니스탄/NNP+에서/JKB
한국인들이	한국인/NNG+들/XSN+이/JKS
납치됐던	납치/NNG+되/XSV+었/EP+던/ETM
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“아프간	“/SS+아프간/NNP
무장단체인	무장/NNG+단체/NNG+이/VCP+ㄴ/ETM
탈레반에	탈레반/NNP+에/JKB
한국군을	한국군/NNG+을/JKO
재파병하지	재/XPN+파병/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.374.14.1
국방부 고위 관계자는 이날 “2007년 7월 탈레반에 납치된 한국인들의 석방 협상에 관여했던 부서에 확인한 결과 재파병을 하지 않겠다는 약속을 한 적이 없다”며 “일부 언론에서 탈레반에 재파병하지 않겠다고 약속했다는 보도가 있었지만 이는 사실이 아니다”고 말했다.

국방부	국방부/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
“2007년	“/SS+2007/SN+년/NNB
7월	7/SN+월/NNB
탈레반에	탈레반/NNP+에/JKB
납치된	납치/NNG+되/XSV+ㄴ/ETM
한국인들의	한국인/NNG+들/XSN+의/JKG
석방	석방/NNG
협상에	협상/NNG+에/JKB
관여했던	관여/NNG+하/XSV+았/EP+던/ETM
부서에	부서/NNG+에/JKB
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
재파병을	재/XPN+파병/NNG+을/JKO
하지	하/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“일부	“/SS+일부/NNG
언론에서	언론/NNG+에서/JKB
재파병하지	재/XPN+파병/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
약속했다는	약속/NNG+하/XSV+았/EP+다는/ETM
보도가	보도/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
이는	이/NP+는/JX
사실이	사실/NNG+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.374.15.1
국방부가 이런 공식 견해를 밝힌 것은 김태영 국방부 장관이 16일 국회 국방위원회에서 ‘납치된 한국인들이 풀려날 때 정부가 탈레반에 재파병을 않겠다고 약속했느냐’는 한나라당 유승민 의원의 질의에 “협상을 담당한 분이 그렇게 얘기한 걸로 안다”고 답변한 데 대한 해명 차원으로 보인다.

국방부가	국방부/NNG+가/JKS
이런	이런/MMD
공식	공식/NNG
견해를	견해/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
김태영	김태영/NNP
국방부	국방부/NNG
장관이	장관/NNG+이/JKS
16일	16/SN+일/NNB
국회	국회/NNG
국방위원회에서	국방/NNG+위원회/NNG+에서/JKB
‘납치된	‘/SS+납치/NNG+되/XSV+ㄴ/ETM
한국인들이	한국인/NNG+들/XSN+이/JKS
풀려날	풀려나/VV+ㄹ/ETM
때	때/NNG
정부가	정부/NNG+가/JKS
탈레반에	탈레반/NNP+에/JKB
재파병을	재/XPN+파병/NNG+을/JKO
않겠다고	않/VV+겠/EP+다고/EC
약속했느냐’는	약속/NNG+하/XSV+았/EP+느냐/EF+’/SS+는/ETM
한나라당	한나라당/NNP
유승민	유승민/NNP
의원의	의원/NNG+의/JKG
질의에	질의/NNG+에/JKB
“협상을	“/SS+협상/NNG+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
분이	분/NNB+이/JKS
그렇게	그렇/VA+게/EC
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
걸로	거/NNB+ㄹ로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
답변한	답변/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
해명	해명/NNG
차원으로	차원/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


