# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.106
metadata : {}


# id : NWRW1800000038.106.1.1
"北의료진 결핵퇴치 의지 강해… 끝까지 함께할 것"

"北의료진	"/SS+北/SH+의료진/NNG
결핵퇴치	결핵/NNG+퇴치/NNG
의지	의지/NNG
강해…	강하/VA+아/EC+…/SE
끝까지	끝/NNG+까지/JX
함께할	함께/MAG+하/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.106.2.1
북한 결핵의료진 교육하고 온 캐서린 잉글랜드 스탠퍼드大 교수

북한	북한/NNP
결핵의료진	결핵/NNG+의료진/NNG
교육하고	교육/NNG+하/XSV+고/EC
온	오/VV+ㄴ/ETM
캐서린	캐서린/NNP
잉글랜드	잉글랜드/NNP
스탠퍼드大	스탠퍼드/NNP+大/SH
교수	교수/NNG


# id : NWRW1800000038.106.3.1
"결핵약 보급이요?

"결핵약	"/SS+결핵/NNG+약/NNG
보급이요?	보급/NNG+이요/JX+?/SF


# id : NWRW1800000038.106.3.2
지금 북한은 결핵 환자들을 진단할 의료진도 부족합니다."

지금	지금/MAG
북한은	북한/NNP+은/JX
결핵	결핵/NNG
환자들을	환자/NNG+들/XSN+을/JKO
진단할	진단/NNG+하/XSV+ㄹ/ETM
의료진도	의료진/NNG+도/JX
부족합니다."	부족/NNG+하/XSA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.106.4.1
지난달 31일 북한 결핵 의료진 연수(5월 15일~30일)를 마치고 서울에 온 캐서린 잉글랜드(49) 미국 스탠퍼드대 의대 교수는 북한이 결핵 진단·관리·치료 전 과정에서 열악한 상황이라고 강조했다.

지난달	지난달/NNG
31일	31/SN+일/NNB
북한	북한/NNP
결핵	결핵/NNG
의료진	의료진/NNG
연수(5월	연수/NNG+(/SS+5/SN+월/NNB
15일~30일)를	15/SN+일/NNB+~/SO+30/SN+일/NNB+)/SS+를/JKO
마치고	마치/VV+고/EC
서울에	서울/NNP+에/JKB
온	오/VV+ㄴ/ETM
캐서린	캐서린/NNP
잉글랜드(49)	잉글랜드/NNP+(/SS+49/SN+)/SS
미국	미국/NNP
스탠퍼드대	스탠퍼드대/NNP
의대	의대/NNG
교수는	교수/NNG+는/JX
북한이	북한/NNP+이/JKS
진단·관리·치료	진단/NNG+·/SP+관리/NNG+·/SP+치료/NNG
전	전/MMN
과정에서	과정/NNG+에서/JKB
열악한	열악하/VA+ㄴ/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.4.2
북한은 세계에서 결핵 발병률이 가장 높은 나라로 알려져 있다.

북한은	북한/NNP+은/JX
세계에서	세계/NNG+에서/JKB
결핵	결핵/NNG
발병률이	발병/NNG+률/XSN+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
나라로	나라/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.106.4.3
결핵퇴치운동 단체들은 북한의 환자 수를 120만명으로 추산하지만, 잉글랜드 교수는 "체계적인 조사가 불가능한 북한에서 실제 환자 수는 추정하기도 어렵다"고 했다.

결핵퇴치운동	결핵/NNG+퇴치/NNG+운동/NNG
단체들은	단체/NNG+들/XSN+은/JX
북한의	북한/NNP+의/JKG
환자	환자/NNG
수를	수/NNG+를/JKO
120만명으로	120/SN+만/NR+명/NNB+으로/JKB
추산하지만,	추산/NNG+하/XSV+지만/EC+,/SP
잉글랜드	잉글랜드/NNP
교수는	교수/NNG+는/JX
"체계적인	"/SS+체계/NNG+적/XSN+이/VCP+ㄴ/ETM
조사가	조사/NNG+가/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
북한에서	북한/NNP+에서/JKB
실제	실제/NNG
수는	수/NNG+는/JX
추정하기도	추정/NNG+하/XSV+기/ETN+도/JX
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.106.5.1
몽골 울란바토르, 중국 후난(湖南)성 등지에서 결핵 임상 연구를 진행했던 그는 2010년부터 본격적으로 북한 결핵 퇴치를 위한 활동을 벌이고 있다.

몽골	몽골/NNP
울란바토르,	울란바토르/NNP+,/SP
중국	중국/NNP
후난(湖南)성	후난/NNP+(/SS+湖南/SH+)/SS+성/NNG
등지에서	등지/NNB+에서/JKB
결핵	결핵/NNG
임상	임상/NNG
연구를	연구/NNG+를/JKO
진행했던	진행/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
북한	북한/NNP
퇴치를	퇴치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
활동을	활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.106.5.2
2007년 북한 보건부 대표단이 미국 스탠퍼드대를 방문, 북한 결핵 상황의 심각성을 설명한 것이 계기가 됐다.

2007년	2007/SN+년/NNB
북한	북한/NNP
보건부	보건부/NNG
대표단이	대표단/NNG+이/JKS
미국	미국/NNP
스탠퍼드대를	스탠퍼드대/NNP+를/JKO
방문,	방문/NNG+,/SP
결핵	결핵/NNG
상황의	상황/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
설명한	설명/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
계기가	계기/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


