# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.182
metadata : {}


# id : NWRW1800000054.182.1.1
"안아키(약 안쓰고 아이 키우기) 한의사 최소 12명 더 있다"

"안아키(약	"/SS+안아키/NNG+(/SS+약/NNG
안쓰고	안/MAG+쓰/VV+고/EC
아이	아이/NNG
키우기)	키우/VV+기/ETN+)/SS
한의사	한의사/NNG
최소	최소/NNG
12명	12/SN+명/NNB
더	더/MAG
있다"	있/VA+다/EF+"/SS


# id : NWRW1800000054.182.2.1
한의학계 종사자, 시민단체 제보… 최근에도 극단적 자연치료 계속

한의학계	한의학/NNG+계/XSN
종사자,	종사자/NNG+,/SP
시민단체	시민/NNG+단체/NNG
제보…	제보/NNG+…/SE
최근에도	최근/NNG+에/JKB+도/JX
극단적	극단/NNG+적/XSN
자연치료	자연치료/NNG
계속	계속/NNG


# id : NWRW1800000054.182.3.1
최소 12명의 한의사가 아동 학대 논란을 빚고 있는 '약 안 쓰고 아이 키우기'(안아키) 인터넷 카페에 동조해 '극단적 자연주의' 치료 활동을 계속하는 것으로 나타났다.

최소	최소/NNG
12명의	12/SN+명/NNB+의/JKG
한의사가	한의사/NNG+가/JKS
아동	아동/NNG
학대	학대/NNG
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
'약	'/SS+약/NNG
안	안/MAG
쓰고	쓰/VV+고/EC
아이	아이/NNG
키우기'(안아키)	키우/VV+기/ETN+'/SS+(/SS+안아키/NNG+)/SS
인터넷	인터넷/NNG
카페에	카페/NNG+에/JKB
동조해	동조/NNG+하/XSV+아/EC
'극단적	'/SS+극단/NNG+적/XSN
자연주의'	자연주의/NNG+'/SS
치료	치료/NNG
활동을	활동/NNG+을/JKO
계속하는	계속/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.182.3.2
시민단체 아동학대방지시민모임은 "안아키가 주장하는 왜곡된 치료법으로 아이들을 진료하고 약을 처방하는 '안아키 한의사' 12명의 명단을 확보했다"고 4일 밝혔다.

시민단체	시민/NNG+단체/NNG
아동학대방지시민모임은	아동/NNG+학대/NNG+방지/NNG+시민/NNG+모임/NNG+은/JX
"안아키가	"/SS+안아키/NNG+가/JKS
주장하는	주장/NNG+하/XSV+는/ETM
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
치료법으로	치료법/NNG+으로/JKB
아이들을	아이/NNG+들/XSN+을/JKO
진료하고	진료/NNG+하/XSV+고/EC
약을	약/NNG+을/JKO
처방하는	처방/NNG+하/XSV+는/ETM
'안아키	'/SS+안아키/NNG
한의사'	한의사/NNG+'/SS
12명의	12/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
확보했다"고	확보/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.182.3.3
시민모임은 최근 안아키 카페 운영자인 대구 살림한의원 김효진 한의사를 아동 학대 혐의 등으로 경찰에 고발한 단체다.

