# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.375
metadata : {}


# id : NWRW1800000024.375.1.1
(21) 엘지디스플레이 /“외모보다 긍정적 의지·균형된 시각 보여달라”

(21)	(/SS+21/SN+)/SS
엘지디스플레이	엘지디스플레이/NNP
/“외모보다	//SP+“/SS+외모/NNG+보다/JKB
긍정적	긍정/NNG+적/XSN
의지·균형된	의지/NNG+·/SP+균형/NNG+되/XSV+ㄴ/ETM
시각	시각/NNG
보여달라”	보이/VV+어/EC+달/VX+라/EF+”/SS


# id : NWRW1800000024.375.2.1
이병욱(27)씨는 엘지(LG)디스플레이에 입사하고자 지난해 4학년 때 졸업을 한 해 미뤘다.

이병욱(27)씨는	이병욱/NNP+(/SS+27/SN+)/SS+씨/NNB+는/JX
엘지(LG)디스플레이에	엘지/NNP+(/SS+LG/SL+)/SS+디스플레이/NNG+에/JKB
입사하고자	입사/NNG+하/XSV+고자/EC
지난해	지난해/NNG
4학년	4/SN+학년/NNG
때	때/NNG
졸업을	졸업/NNG+을/JKO
한	하/VV+ㄴ/ETM
해	해/NNG
미뤘다.	미루/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.375.2.2
그는 이미 3번의 실패 경험이 있다.

그는	그/NP+는/JX
이미	이미/MAG
3번의	3/SN+번/NNB+의/JKG
실패	실패/NNG
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.2.3
지난해 하반기 공채에 이어 올해도 2번 고배를 마셨다.

지난해	지난해/NNG
하반기	하반기/NNG
공채에	공채/NNG+에/JKB
이어	잇/VV+어/EC
올해도	올해/NNG+도/JX
2번	2/SN+번/NNB
고배를	고배/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.375.2.4
4번째로 도전중인 그가 조미진 인사담당 상무를 만났다.

4번째로	4/SN+번/NNB+째/XSN+로/JKB
도전중인	도전/NNG+중/NNB+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
조미진	조미진/NNP
인사담당	인사/NNG+담당/NNG
상무를	상무/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.375.2.5
조 상무는 때론 이씨의 질문에 되물으면서 많은 질문에 답을 했다.

조	조/NNP
상무는	상무/NNG+는/JX
때론	때로/MAG+ㄴ/JX
이씨의	이/NNP+씨/NNB+의/JKG
질문에	질문/NNG+에/JKB
되물으면서	되묻/VV+으면서/EC
많은	많/VA+은/ETM
답을	답/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.375.2.6
이씨는 “4번째 도전하면서 많은 것을 준비했다고 생각했는데 아직도 모자란 구석이 있었다”며 “조 상무를 만난 것 자체가 좋은 경험이었고 소신 지원에 대한 자신감을 불어넣어줬다”고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
“4번째	“/SS+4/SN+번/NNB+째/XSN
도전하면서	도전/NNG+하/XSV+면서/EC
많은	많/VA+은/ETM
것을	것/NNB+을/JKO
준비했다고	준비/NNG+하/XSV+았/EP+다고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
아직도	아직/MAG+도/JX
모자란	모자라/VV+ㄴ/ETM
구석이	구석/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“조	“/SS+조/NNP
상무를	상무/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
좋은	좋/VA+은/ETM
경험이었고	경험/NNG+이/VCP+었/EP+고/EC
소신	소신/NNG
지원에	지원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자신감을	자신감/NNG+을/JKO
불어넣어줬다”고	불어넣/VV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.375.2.7
-엘지디스플레이의 인재상은 열정, 전문성, 팀워크다.

-엘지디스플레이의	-/SO+엘지디스플레이/NNP+의/JKG
인재상은	인재상/NNG+은/JX
열정,	열정/NNG+,/SP
전문성,	전문/NNG+성/XSN+,/SP
팀워크다.	팀워크/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.375.2.8
이 가운데 열정이 가장 모호하다.

이	이/MMD
가운데	가운데/NNG
열정이	열정/NNG+이/JKS
가장	가장/MAG
모호하다.	모호하/VA+다/EF+./SF


# id : NWRW1800000024.375.3.1
“스스로가 얻고자 하는 결과를 위해 바라는 것만이 아니라 행동으로 옮기는 의지를 열정이라고 생각한다.

“스스로가	“/SS+스스로/NNG+가/JKS
얻고자	얻/VV+고자/EC
하는	하/VX+는/ETM
결과를	결과/NNG+를/JKO
위해	위하/VV+아/EC
바라는	바라/VV+는/ETM
것만이	것/NNB+만/JX+이/JKC
아니라	아니/VCN+라/EC
행동으로	행동/NNG+으로/JKB
옮기는	옮기/VV+는/ETM
의지를	의지/NNG+를/JKO
열정이라고	열정/NNG+이/VCP+라고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.375.3.2
하고 싶다는 것이 아니라 실제로 행동으로 옮길 수 있는 의지와 이를 위해 스스로를 단련하는 것이 될 수 있다.

하고	하/VV+고/EC
싶다는	싶/VX+다는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
실제로	실제로/MAG
행동으로	행동/NNG+으로/JKB
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
의지와	의지/NNG+와/JC
이를	이/NP+를/JKO
위해	위하/VV+아/EC
스스로를	스스로/NNG+를/JKO
단련하는	단련/NNG+하/XSV+는/ETM
될	되/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.375.3.3
기업에 국한하면 입사하고픈 마음뿐만 아니라 입사해서 진짜 원하는 결과와 이를 실행할 수 있는 것이라고 할 수 있다.”

기업에	기업/NNG+에/JKB
국한하면	국한/NNG+하/XSV+면/EC
입사하고픈	입사/NNG+하/XSV+고/EC+프/VX+ㄴ/ETM
마음뿐만	마음/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
입사해서	입사/NNG+하/XSV+아서/EC
진짜	진짜/MAG
원하는	원/NNG+하/XSV+는/ETM
결과와	결과/NNG+와/JC
이를	이/NP+를/JKO
실행할	실행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.375.4.1
-‘묻지마 지원’ 하는 구직자들이 많다.

-‘묻지마	-/SO+‘/SS+묻/VV+지/EC+말/VX+아/EF
지원’	지원/NNG+’/SS
하는	하/VV+는/ETM
구직자들이	구직자/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.375.4.2
서류전형에서 어떻게 구분하나?

서류전형에서	서류/NNG+전형/NNG+에서/JKB
어떻게	어떻/VA+게/EC
구분하나?	구분/NNG+하/XSV+나/EF+?/SF


# id : NWRW1800000024.375.5.1
