# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.181
metadata : {}


# id : NWRW1800000032.181.1.1
“MB 정부의 지배방식은 전쟁정치”

“MB	“/SS+MB/SL
정부의	정부/NNG+의/JKG
지배방식은	지배/NNG+방식/NNG+은/JX
전쟁정치”	전쟁/NNG+정치/NNG+”/SS


# id : NWRW1800000032.181.2.1
‘비판사회학대회’ 김동춘 교수 발표

‘비판사회학대회’	‘/SS+비판/NNG+사회학/NNG+대회/NNG+’/SS
김동춘	김동춘/NNP
교수	교수/NNG
발표	발표/NNG


# id : NWRW1800000032.181.3.1
반대세력을 ‘적’으로 간주

반대세력을	반대/NNG+세력/NNG+을/JKO
‘적’으로	‘/SS+적/NNG+’/SS+으로/JKB
간주	간주/NNG


# id : NWRW1800000032.181.4.1
검찰·일부 언론 동원 진압해

검찰·일부	검찰/NNG+·/SP+일부/NNG
언론	언론/NNG
동원	동원/NNG
진압해	진압/NNG+하/XSV+아/EF


# id : NWRW1800000032.181.5.1
“개발독재 방식 신자유주의”

“개발독재	“/SS+개발/NNG+독재/NNG
방식	방식/NNG
신자유주의”	신/XPN+자유주의/NNG+”/SS


# id : NWRW1800000032.181.6.1
이명박 정부는 처음엔 주로 경제 자유화에 충실한 신자유주의 정권이라고 평가받았다.

이명박	이명박/NNP
정부는	정부/NNG+는/JX
처음엔	처음/NNG+에/JKB+ㄴ/JX
주로	주로/MAG
경제	경제/NNG
자유화에	자유/NNG+화/XSN+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
신자유주의	신/XPN+자유주의/NNG
정권이라고	정권/NNG+이/VCP+라고/EC
평가받았다.	평가/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.181.6.2
그러나 독단적인 국정운영과 민간인 사찰, 과도한 개입주의적 경제정책 등으로 그 성격에 대해 갖가지 논란이 일었다.

그러나	그러나/MAJ
독단적인	독단/NNG+적/XSN+이/VCP+ㄴ/ETM
국정운영과	국정/NNG+운영/NNG+과/JC
민간인	민간인/NNG
사찰,	사찰/NNG+,/SP
과도한	과도/NNG+하/XSA+ㄴ/ETM
개입주의적	개입/NNG+주의/NNG+적/XSN
경제정책	경제/NNG+정책/NNG
등으로	등/NNB+으로/JKB
그	그/MMD
성격에	성격/NNG+에/JKB
대해	대하/VV+아/EC
갖가지	갖가지/NNG
논란이	논란/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.181.6.3
곧 민주주의 절차로 집권했지만 사실상 30년 전 권위주의 정권과 다름없는 독재 정권이라거나 파시즘 정권이라는 평가까지 나왔다.

곧	곧/MAG
민주주의	민주주의/NNG
절차로	절차/NNG+로/JKB
집권했지만	집권/NNG+하/XSV+았/EP+지만/EC
사실상	사실/NNG+상/XSN
30년	30/SN+년/NNB
전	전/NNG
권위주의	권위주의/NNG
정권과	정권/NNG+과/JKB
다름없는	다름없/VA+는/ETM
독재	독재/NNG
정권이라거나	정권/NNG+이/VCP+라거나/EC
파시즘	파시즘/NNG
정권이라는	정권/NNG+이/VCP+라는/ETM
평가까지	평가/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.181.7.1
이런 진단에 더해 김동춘(사진) 성공회대 교수는 21일 열린 제14회 비판사회학대회에서 엠비 정부의 성격을 ‘전쟁정치’란 개념으로 설명해 관심을 끌었다.

이런	이런/MMD
진단에	진단/NNG+에/JKB
더해	더/MAG+하/XSV+아/EC
김동춘(사진)	김동춘/NNP+(/SS+사진/NNG+)/SS
성공회대	성공회대/NNP
교수는	교수/NNG+는/JX
21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
제14회	제/XPN+14/SN+회/NNB
비판사회학대회에서	비판/NNG+사회학/NNG+대회/NNG+에서/JKB
엠비	엠비/NNP
정부의	정부/NNG+의/JKG
성격을	성격/NNG+을/JKO
‘전쟁정치’란	‘/SS+전쟁/NNG+정치/NNG+’/SS+이/VCP+란/ETM
개념으로	개념/NNG+으로/JKB
설명해	설명/NNG+하/XSV+아/EC
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.181.7.2
그는 ‘이명박 정권의 지배 방식’이라는 제목의 발표를 통해 이명박 정부의 정책기조의 근저엔 “지배 집단의 위기의식과 기득권 상실의 불안감 속에서 주로 나타나는 ‘전쟁정치’, 곧 민주주의 아래에서의 ‘제도적 쿠데타’”가 자리하고 있다고 풀이했다.

그는	그/NP+는/JX
‘이명박	‘/SS+이명박/NNP
정권의	정권/NNG+의/JKG
지배	지배/NNG
방식’이라는	방식/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
정책기조의	정책/NNG+기조/NNG+의/JKG
근저엔	근저/NNG+에/JKB+ㄴ/JX
“지배	“/SS+지배/NNG
집단의	집단/NNG+의/JKG
위기의식과	위기의식/NNG+과/JC
기득권	기득/NNG+권/XSN
상실의	상실/NNG+의/JKG
불안감	불안감/NNG
속에서	속/NNG+에서/JKB
주로	주로/MAG
나타나는	나타나/VV+는/ETM
‘전쟁정치’,	‘/SS+전쟁/NNG+정치/NNG+’/SS+,/SP
곧	곧/MAG
민주주의	민주주의/NNG
아래에서의	아래/NNG+에서/JKB+의/JKG
‘제도적	‘/SS+제도/NNG+적/XSN
쿠데타’”가	쿠데타/NNG+’/SS+”/SS+가/JKS
자리하고	자리/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.181.7.3
전쟁정치란 국가가 전쟁상황에 있다는 전제 아래 국가의 유지, 곧 안팎의 적으로부터 국가를 보호하는 것을 가장 일차적인 목표로 삼고, 국내 정치를 전쟁 수행하듯이 운영하는 것을 말한다.

전쟁정치란	전쟁/NNG+정치/NNG+란/JX
국가가	국가/NNG+가/JKS
전쟁상황에	전쟁/NNG+상황/NNG+에/JKB
있다는	있/VA+다는/ETM
전제	전제/NNG
아래	아래/NNG
국가의	국가/NNG+의/JKG
유지,	유지/NNG+,/SP
곧	곧/MAG
안팎의	안팎/NNG+의/JKG
적으로부터	적/NNG+으로부터/JKB
국가를	국가/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
가장	가장/MAG
일차적인	일차/NNG+적/XSN+이/VCP+ㄴ/ETM
목표로	목표/NNG+로/JKB
삼고,	삼/VV+고/EC+,/SP
국내	국내/NNG
정치를	정치/NNG+를/JKO
전쟁	전쟁/NNG
수행하듯이	수행/NNG+하/XSV+듯이/EC
운영하는	운영/NNG+하/XSV+는/ETM
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.181.7.4
곧 반대세력을 ‘좌파’나 ‘적’으로 간주한 뒤 수단과 방법을 가리지 않고 진압하는 방식의 국정운영을 일관되게 계속해왔다는 지적이다.

곧	곧/MAG
반대세력을	반대/NNG+세력/NNG+을/JKO
‘좌파’나	‘/SS+좌파/NNG+’/SS+나/JC
‘적’으로	‘/SS+적/NNG+’/SS+으로/JKB
간주한	간주/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수단과	수단/NNG+과/JC
방법을	방법/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
진압하는	진압/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
국정운영을	국정/NNG+운영/NNG+을/JKO
일관되게	일관/NNG+되/XSV+게/EC
계속해왔다는	계속/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


