# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.57
metadata : {}


# id : NWRW1800000024.57.1.1
한은, 기준금리 0.5%p 또 인하

한은,	한은/NNP+,/SP
기준금리	기준/NNG+금리/NNG
0.5%p	0/SN+./SP+5/SN+%p/SW
또	또/MAG
인하	인하/NNG


# id : NWRW1800000024.57.2.1
한국은행은 12일 금융통화위원회를 열어 연 2.5%인 기준금리를 2%로 0.5%포인트 내린다고 발표했다.

한국은행은	한국은행/NNP+은/JX
12일	12/SN+일/NNB
금융통화위원회를	금융/NNG+통화/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
연	연/NNG
2.5%인	2/SN+./SP+5/SN+%/SW+이/VCP+ㄴ/ETM
기준금리를	기준/NNG+금리/NNG+를/JKO
2%로	2/SN+%/SW+로/JKB
0.5%포인트	0/SN+./SP+5/SN+%포인트/NNG
내린다고	내리/VV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.57.2.2
이로써 기준금리는 지난해 10월 5.25%에서 넉 달 만에 3.25%포인트나 낮아지게 됐다.

이로써	이/NP+로써/JKB
기준금리는	기준/NNG+금리/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
5.25%에서	5/SN+./SP+25/SN+%/SW+에서/JKB
넉	넉/MMN
달	달/NNB
만에	만/NNB+에/JKB
3.25%포인트나	3/SN+./SP+25/SN+%포인트/NNG+나/JX
낮아지게	낮/VA+아/EC+지/VX+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.57.2.3
기준금리 2%는 사상 최저 수준이다.

기준금리	기준/NNG+금리/NNG
2%는	2/SN+%/SW+는/JX
사상	사상/NNG
최저	최저/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.57.2.4
▶관련기사 6면

▶관련기사	▶/SW+관련/NNG+기사/NNG
6면	6/SN+면/NNG


# id : NWRW1800000024.57.3.1
이성태 한은 총재는 이날 기자간담회에서 “국내 경기의 하강속도가 빨라지고 있고 세계경제 침체 심화 및 신용경색 지속 가능성 등으로 향후 성장의 하향 위험이 매우 크다”고 금리인하 배경을 설명했다.

이성태	이성태/NNP
한은	한은/NNP
총재는	총재/NNG+는/JX
이날	이날/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“국내	“/SS+국내/NNG
경기의	경기/NNG+의/JKG
하강속도가	하강/NNG+속도/NNG+가/JKS
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있고	있/VX+고/EC
세계경제	세계/NNG+경제/NNG
침체	침체/NNG
심화	심화/NNG
및	및/MAG
신용경색	신용/NNG+경색/NNG
지속	지속/NNG
가능성	가능/NNG+성/XSN
등으로	등/NNB+으로/JKB
향후	향후/NNG
성장의	성장/NNG+의/JKG
하향	하향/NNG
위험이	위험/NNG+이/JKS
매우	매우/MAG
크다”고	크/VA+다/EF+”/SS+고/JKQ
금리인하	금리/NNG+인하/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.57.4.1
이 총재는 추가 금리인하 가능성에 대해 “금리조정 여부는 여전히 열려 있다”고 말해, 기준금리를 1%대로 내릴 가능성까지 내비쳤다.

이	이/NNP
총재는	총재/NNG+는/JX
추가	추가/NNG
금리인하	금리/NNG+인하/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
“금리조정	“/SS+금리/NNG+조정/NNG
여부는	여부/NNG+는/JX
여전히	여전히/MAG
열려	열리/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말해,	말/NNG+하/XSV+아/EC+,/SP
기준금리를	기준/NNG+금리/NNG+를/JKO
1%대로	1/SN+%/SW+대/XSN+로/JKB
내릴	내리/VV+ㄹ/ETM
가능성까지	가능/NNG+성/XSN+까지/JX
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.57.4.2
그러나 “금리조정이 짧은 기간에 이뤄졌기 때문에 앞으로 추가 조정 여부는 정책금리가 금융시장에 어떻게 반응되느냐를 살펴볼 필요가 있다”며 속도조절에 나설 뜻을 시사했다.

그러나	그러나/MAJ
“금리조정이	“/SS+금리/NNG+조정/NNG+이/JKS
짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
이뤄졌기	이뤄지/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
추가	추가/NNG
조정	조정/NNG
여부는	여부/NNG+는/JX
정책금리가	정책/NNG+금리/NNG+가/JKS
금융시장에	금융/NNG+시장/NNG+에/JKB
어떻게	어떻/VA+게/EC
반응되느냐를	반응/NNG+되/XSV+느냐/EF+를/JKO
살펴볼	살펴보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
