# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.250
metadata : {}


# id : NWRW1800000034.250.1.1
데얀, 아쉬울게 없어라

데얀,	데얀/NNP+,/SP
아쉬울게	아쉽/VA+ㄹ/ETM+거/NNB+이/JKS
없어라	없/VA+어라/EF


# id : NWRW1800000034.250.2.1
K리그 시즌 마지막 날… 31호골 쏘며 사상 첫 2년 연속 득점왕, 소속팀 서울은 역대 최다 승점으로 우승

K리그	K/SL+리그/NNG
시즌	시즌/NNG
마지막	마지막/NNG
날…	날/NNG+…/SE
31호골	31/SN+호/NNB+골/NNG
쏘며	쏘/VV+며/EC
사상	사상/NNG
첫	첫/MMN
2년	2/SN+년/NNB
연속	연속/NNG
득점왕,	득점왕/NNG+,/SP
소속팀	소속/NNG+팀/NNG
서울은	서울/NNP+은/JX
역대	역대/NNG
최다	최다/NNG
승점으로	승점/NNG+으로/JKB
우승	우승/NNG


# id : NWRW1800000034.250.3.1
9개월간의 열전이 막을 내렸다.

9개월간의	9/SN+개월/NNB+간/XSN+의/JKG
열전이	열전/NNG+이/JKS
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.250.4.1
2일 올 시즌 프로축구 K리그 마지막 경기였던 44라운드에서 FC서울이 부산 아이파크를 상대로 2대1 승리를 거두면서 '유종의 미'를 거뒀다.

2일	2/SN+일/NNB
올	올/NNG
시즌	시즌/NNG
프로축구	프로/NNG+축구/NNG
K리그	K/SL+리그/NNG
마지막	마지막/NNG
경기였던	경기/NNG+이/VCP+었/EP+던/ETM
44라운드에서	44/SN+라운드/NNG+에서/JKB
FC서울이	FC서울/NNP+이/JKS
부산	부산/NNP
아이파크를	아이파크/NNP+를/JKO
상대로	상대/NNG+로/JKB
2대1	2/SN+대/NNB+1/SN
승리를	승리/NNG+를/JKO
거두면서	거두/VV+면서/EC
'유종의	'/SS+유종/NNG+의/JKG
미'를	미/NNG+'/SS+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.250.4.2
포항 스틸러스는 수원 삼성을 3대0으로 꺾고 리그 3위에 올랐고, 울산 현대는 경남FC를 3대1로 눌렀다.

포항	포항/NNP
스틸러스는	스틸러스/NNP+는/JX
수원	수원/NNP
삼성을	삼성/NNP+을/JKO
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
리그	리그/NNG
3위에	3/SN+위/NNB+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
울산	울산/NNP
현대는	현대/NNP+는/JX
경남FC를	경남FC/NNP+를/JKO
3대1로	3/SN+대/NNB+1/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.250.4.3
전북 현대는 제주 유나이티드와 0대0 무승부로 시즌을 마쳤다.

전북	전북/NNP
현대는	현대/NNP+는/JX
제주	제주/NNP
유나이티드와	유나이티드/NNP+와/JKB
0대0	0/SN+대/NNB+0/SN
무승부로	무/XPN+승부/NNG+로/JKB
시즌을	시즌/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.250.5.1
◇괴력의 '데몰리션 콤비'

◇괴력의	◇/SW+괴력/NNG+의/JKG
'데몰리션	'/SS+데몰리션/NNG
콤비'	콤비/NNG+'/SS


# id : NWRW1800000034.250.6.1
2012년 현대오일뱅크 K리그에서 최고의 활약을 펼친 건 서울의 두 외국인 선수 데얀(31·몬테네그로)과 몰리나(32·콜롬비아)였다.

2012년	2012/SN+년/NNB
현대오일뱅크	현대오일뱅크/NNP
K리그에서	K/SL+리그/NNG+에서/JKB
최고의	최고/NNG+의/JKG
활약을	활약/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
서울의	서울/NNP+의/JKG
두	두/MMN
외국인	외국인/NNG
선수	선수/NNG
데얀(31·몬테네그로)과	데얀/NNP+(/SS+31/SN+·/SP+몬테네그로/NNP+)/SS+과/JC
몰리나(32·콜롬비아)였다.	몰리나/NNP+(/SS+32/SN+·/SP+콜롬비아/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.250.6.2
상대 수비를 무너뜨리는 강력한 파괴력으로 '데몰리션(demolition) 콤비'라고 불리는 둘은 K리그의 역사를 새로 썼다.

상대	상대/NNG
수비를	수비/NNG+를/JKO
무너뜨리는	무너뜨리/VV+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
파괴력으로	파괴력/NNG+으로/JKB
'데몰리션(demolition)	'/SS+데몰리션/NNG+(/SS+demolition/SL+)/SS
콤비'라고	콤비/NNG+'/SS+라고/JKQ
불리는	불리/VV+는/ETM
둘은	둘/NR+은/JX
K리그의	K/SL+리그/NNG+의/JKG
역사를	역사/NNG+를/JKO
새로	새로/MAG
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.250.6.3
데얀은 31골을 뽑아내면서 지난 2003년 김도훈(현 성남 코치)이 세운 한 시즌 최다 골(28골) 기록을 갈아치웠다.

데얀은	데얀/NNP+은/JX
31골을	31/SN+골/NNG+을/JKO
뽑아내면서	뽑/VV+아/EC+내/VX+면서/EC
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
김도훈(현	김도훈/NNP+(/SS+현/MMD
성남	성남/NNP
코치)이	코치/NNG+)/SS+이/JKS
세운	세우/VV+ㄴ/ETM
한	한/MMN
시즌	시즌/NNG
최다	최다/NNG
골(28골)	골/NNG+(/SS+28/SN+골/NNG+)/SS
기록을	기록/NNG+을/JKO
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000034.250.6.4
또 지난해에 이어 사상 처음으로 득점왕 2연패를 차지했다.

또	또/MAG
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
득점왕	득점왕/NNG
2연패를	2/SN+연패/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.250.6.5
몰리나는 19도움으로 라데가 가진 한 시즌 최다 도움 기록(16도움)을 넘어섰다.

몰리나는	몰리나/NNP+는/JX
