# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.67
metadata : {}


# id : NWRW1800000021.67.1.1
병원서 무료로 주차대행 해준다

병원서	병원/NNG+서/JKB
무료로	무료/NNG+로/JKB
주차대행	주차/NNG+대행/NNG
해준다	하/VV+아/EC+주/VX+ㄴ다/EF


# id : NWRW1800000021.67.2.1
“병원에서 무료 주차대행을 해드립니다.”

“병원에서	“/SS+병원/NNG+에서/JKB
무료	무료/NNG
주차대행을	주차/NNG+대행/NNG+을/JKO
해드립니다.”	하/VV+아/EC+드리/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000021.67.3.1
연세대 영동세브란스병원이 ‘강남세브란스병원’(사진)으로 이름을 바꾸고 1일부터 새출발하면서 다양한 서비스를 제공하고 있다.

연세대	연세대/NNP
영동세브란스병원이	영동세브란스병원/NNP+이/JKS
‘강남세브란스병원’(사진)으로	‘/SS+강남세브란스병원/NNP+’/SS+(/SS+사진/NNG+)/SS+으로/JKB
이름을	이름/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
1일부터	1/SN+일/NNB+부터/JX
새출발하면서	새/MMA+출발/NNG+하/XSV+면서/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.67.3.2
영동세브란스병원은 ‘원조 의료 1번지 회복’이라는 슬로건을 내세우며 최근 2년간 260억 원을 들여 리모델링 작업을 완료했다.

영동세브란스병원은	영동세브란스병원/NNP+은/JX
‘원조	‘/SS+원조/NNG
의료	의료/NNG
1번지	1/SN+번지/NNG
회복’이라는	회복/NNG+’/SS+이/VCP+라는/ETM
슬로건을	슬로건/NNG+을/JKO
내세우며	내세우/VV+며/EC
최근	최근/MAG
2년간	2/SN+년/NNB+간/XSN
260억	260/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
리모델링	리모델링/NNG
작업을	작업/NNG+을/JKO
완료했다.	완료/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.67.4.1
강남세브란스병원의 서비스 중 가장 눈에 띄는 것은 ‘무료 주차대행(발레파킹).’ 환자나 환자 가족이 병원에 들어와 주차할 공간을 찾아 여기저기 돌아다니며 시간을 낭비하지 않도록 주차요원이 대신 주차해 주는 것이다.

강남세브란스병원의	강남세브란스병원/NNP+의/JKG
서비스	서비스/NNG
중	중/NNB
가장	가장/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
것은	것/NNB+은/JX
‘무료	‘/SS+무료/NNG
주차대행(발레파킹).’	주차/NNG+대행/NNG+(/SS+발레파킹/NNG+)/SS+./SF+’/SS
환자나	환자/NNG+나/JC
환자	환자/NNG
가족이	가족/NNG+이/JKS
병원에	병원/NNG+에/JKB
들어와	들어오/VV+아/EC
주차할	주차/NNG+하/XSV+ㄹ/ETM
공간을	공간/NNG+을/JKO
찾아	찾/VV+아/EC
여기저기	여기저기/NNG
돌아다니며	돌아다니/VV+며/EC
시간을	시간/NNG+을/JKO
낭비하지	낭비/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
주차요원이	주차/NNG+요원/NNG+이/JKS
대신	대신/NNG
주차해	주차/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.67.5.1
병원 측은 “무료 발레파킹을 하려면 한 달에 수천만 원이 더 들지만 ‘명품 병원’으로 거듭나기 위해 필요한 서비스”라며 “21명의 주차대행 요원을 배치했다”고 밝혔다.

병원	병원/NNG
측은	측/NNB+은/JX
“무료	“/SS+무료/NNG
발레파킹을	발레파킹/NNG+을/JKO
하려면	하/VV+려면/EC
한	한/MMN
달에	달/NNB+에/JKB
수천만	수천만/NR
원이	원/NNB+이/JKS
더	더/MAG
들지만	들/VV+지만/EC
‘명품	‘/SS+명품/NNG
병원’으로	병원/NNG+’/SS+으로/JKB
거듭나기	거듭나/VV+기/ETN
위해	위하/VV+아/EC
