# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.350
metadata : {}


# id : NWRW1800000037.350.1.1
한류홍보… 투자설명회… 국정목표 맞춤형 행보

한류홍보…	한류/NNG+홍보/NNG+…/SE
투자설명회…	투자/NNG+설명회/NNG+…/SE
국정목표	국정/NNG+목표/NNG
맞춤형	맞춤/NNG+형/XSN
행보	행보/NNG


# id : NWRW1800000037.350.2.1
경제부흥-국민행복-문화융성-통일… 방미 행사서 4대 국정기조 부각

경제부흥-국민행복-문화융성-통일…	경제/NNG+부흥/NNG+-/SO+국민/NNG+행복/NNG+-/SO+문화/NNG+융성/NNG+-/SO+통일/NNG+…/SE
방미	방미/NNG
행사서	행사/NNG+서/JKB
4대	4/SN+대/NNG
국정기조	국정/NNG+기조/NNG
부각	부각/NNG


# id : NWRW1800000037.350.3.1
청와대 안팎에서는 박근혜 대통령의 미국 현지 행보를 두고 ‘4대 국정기조에 철저하게 맞춘 것’이란 평가가 나온다.

청와대	청와대/NNP
안팎에서는	안팎/NNG+에서/JKB+는/JX
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
미국	미국/NNP
현지	현지/NNG
행보를	행보/NNG+를/JKO
두고	두/VV+고/EC
‘4대	‘/SS+4/SN+대/NNG
국정기조에	국정/NNG+기조/NNG+에/JKB
철저하게	철저/NNG+하/XSA+게/EC
맞춘	맞추/VV+ㄴ/ETM
것’이란	것/NNB+’/SS+이/VCP+란/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.350.3.2
대부분의 일정과 발언이 △경제부흥 △국민행복 △문화융성 △한반도 평화통일 기반 구축이라는 박근혜정부의 국정기조를 부각시키기 위한 것이기 때문이다.

대부분의	대/XPN+부분/NNG+의/JKG
일정과	일정/NNG+과/JC
발언이	발언/NNG+이/JKS
△경제부흥	△/SW+경제/NNG+부흥/NNG
△국민행복	△/SW+국민/NNG+행복/NNG
△문화융성	△/SW+문화/NNG+융성/NNG
△한반도	△/SW+한반도/NNP
평화통일	평화/NNG+통일/NNG
기반	기반/NNG
구축이라는	구축/NNG+이/VCP+라는/ETM
박근혜정부의	박근혜/NNP+정부/NNG+의/JKG
국정기조를	국정/NNG+기조/NNG+를/JKO
부각시키기	부각/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.350.4.1
8일(현지 시간) 열린 미국 상공회의소 주최 오찬은 ‘경제부흥’을 위한 박 대통령의 투자설명회(IR) 자리였다.

8일(현지	8/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
열린	열리/VV+ㄴ/ETM
미국	미국/NNP
상공회의소	상공/NNG+회의소/NNG
주최	주최/NNG
오찬은	오찬/NNG+은/JX
‘경제부흥’을	‘/SS+경제/NNG+부흥/NNG+’/SS+을/JKO
위한	위하/VV+ㄴ/ETM
박	박/NNP
대통령의	대통령/NNG+의/JKG
투자설명회(IR)	투자/NNG+설명회/NNG+(/SS+IR/SL+)/SS
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.350.4.2
박 대통령은 이 자리에서 영어로 한국에 투자해 줄 것을 해외 기업인들에게 요청했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
영어로	영어/NNP+로/JKB
한국에	한국/NNP+에/JKB
투자해	투자/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
해외	해외/NNG
기업인들에게	기업인/NNG+들/XSN+에게/JKB
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.4.3
같은 날 열린 경제인 조찬간담회에서는 국내 대기업 총수들에게 경제민주화 동참과 투자 확대를 촉구했다.

같은	같/VA+은/ETM
날	날/NNG
열린	열리/VV+ㄴ/ETM
경제인	경제인/NNG
조찬간담회에서는	조찬/NNG+간담회/NNG+에서/JKB+는/JX
국내	국내/NNG
대기업	대/XPN+기업/NNG
총수들에게	총수/NNG+들/XSN+에게/JKB
경제민주화	경제/NNG+민주/NNG+화/XSN
동참과	동참/NNG+과/JC
투자	투자/NNG
확대를	확대/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.350.5.1
‘국민행복’에 대해 박 대통령은 그동안 “크지 않더라도 현장의 목소리를 들어 국민에게 실질적으로 도움을 주는 것”이라고 말해 왔다.

‘국민행복’에	‘/SS+국민/NNG+행복/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
박	박/NNP
대통령은	대통령/NNG+은/JX
그동안	그동안/NNG
“크지	“/SS+크/VA+지/EC
않더라도	않/VX+더라도/EC
현장의	현장/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
들어	듣/VV+어/EC
국민에게	국민/NNG+에게/JKB
실질적으로	실질/NNG+적/XSN+으로/JKB
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.350.6.1
박 대통령이 동포간담회에서 ‘재외국민용 주민등록증 발급’을 약속한 것, 정상회담과 상·하원 합동연설에서 ‘전문직 비자쿼터 1만5000개 확대’를 요청한 것은 해당 사안이 당사자들에게 ‘실질적인 도움’이 될 수 있다는 판단에 따른 것이다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
동포간담회에서	동포/NNG+간담회/NNG+에서/JKB
‘재외국민용	‘/SS+재외/NNG+국민/NNG+용/XSN
주민등록증	주민/NNG+등록증/NNG
발급’을	발급/NNG+’/SS+을/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
것,	것/NNB+,/SP
정상회담과	정상/NNG+회담/NNG+과/JC
상·하원	상·하원/NNG
