# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.116
metadata : {}


# id : NWRW1800000036.116.1.1
시대와 호흡하는 다큐의 실험! 진보! 대화!

시대와	시대/NNG+와/JKB
호흡하는	호흡/NNG+하/XSV+는/ETM
다큐의	다큐/NNG+의/JKG
실험!	실험/NNG+!/SF
진보!	진보/NNG+!/SF
대화!	대화/NNG+!/SF


# id : NWRW1800000036.116.2.1
[한겨레] [토요판] 최성진의 오프라인 TV

[한겨레]	[/SS+한겨레/NNP+]/SS
[토요판]	[/SS+토요판/NNG+]/SS
최성진의	최성진/NNP+의/JKG
오프라인	오프라인/NNG
TV	TV/SL


# id : NWRW1800000036.116.3.1
‘다큐2012’ 22~28일 45편 상영

‘다큐2012’	‘/SS+다큐/NNG+2012/SN+’/SS
22~28일	22/SN+~/SO+28/SN+일/NNB
45편	45/SN+편/NNB
상영	상영/NNG


# id : NWRW1800000036.116.4.1
용산참사 특별전…첫 시상식도

용산참사	용산/NNP+참사/NNG
특별전…첫	특별전/NNG+…/SE+첫/MMN
시상식도	시상식/NNG+도/JX


# id : NWRW1800000036.116.5.1
지난 한해 한국 독립다큐멘터리의 주요 흐름과 성과를 짚어볼 수 있는 인디다큐페스티발2012(다큐2012)가 오는 22일부터 28일까지 7일간 서울 롯데시네마 홍대입구관에서 열린다.

지난	지나/VV+ㄴ/ETM
한해	한/MMN+해/NNB
한국	한국/NNP
독립다큐멘터리의	독립/NNG+다큐멘터리/NNG+의/JKG
주요	주요/NNG
흐름과	흐름/NNG+과/JC
성과를	성과/NNG+를/JKO
짚어볼	짚/VV+어/EC+보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인디다큐페스티발2012(다큐2012)가	인디/NNG+다큐/NNG+페스티발/NNG+2012/SN+(/SS+다큐/NNG+2012/SN+)/SS+가/JKS
오는	오/VV+는/ETM
22일부터	22/SN+일/NNB+부터/JX
28일까지	28/SN+일/NNB+까지/JX
7일간	7/SN+일/NNB+간/XSN
서울	서울/NNP
롯데시네마	롯데시네마/NNP
홍대입구관에서	홍대/NNP+입구관/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.116.5.2
올해로 12회째를 맞는 다큐2012에서는 개막작 <아무도 꾸지 않은 꿈>과 극장 개봉작 <두 개의 선> 등 모두 45편의 독립다큐멘터리가 상영된다.

올해로	올해/NNG+로/JKB
12회째를	12/SN+회/NNB+째/XSN+를/JKO
맞는	맞/VV+는/ETM
다큐2012에서는	다큐/NNG+2012/SN+에서/JKB+는/JX
개막작	개막작/NNG
<아무도	</SS+아무/NP+도/JX
꾸지	꾸/VV+지/EC
않은	않/VX+은/ETM
꿈>과	꿈/NNG+>/SS+과/JC
극장	극장/NNG
개봉작	개봉작/NNG
<두	</SS+두/MMN
개의	개/NNB+의/JKG
선>	선/NNG+>/SS
등	등/NNB
모두	모두/MAG
45편의	45/SN+편/NNB+의/JKG
독립다큐멘터리가	독립/NNG+다큐멘터리/NNG+가/JKS
상영된다.	상영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.116.6.1
한국독립영화협회에서 주최하고 인디다큐페스티발 집행위원회에서 주관하는 다큐2012의 메인 구호는 ‘실험! 진보! 대화!’다.

한국독립영화협회에서	한국독립영화협회/NNP+에서/JKB
주최하고	주최/NNG+하/XSV+고/EC
인디다큐페스티발	인디/NNG+다큐/NNG+페스티발/NNG
집행위원회에서	집행/NNG+위원회/NNG+에서/JKB
주관하는	주관/NNG+하/XSV+는/ETM
다큐2012의	다큐/NNG+2012/SN+의/JKG
메인	메인/NNG
구호는	구호/NNG+는/JX
‘실험!	‘/SS+실험/NNG+!/SF
진보!	진보/NNG+!/SF
대화!’다.	대화/NNG+!/SF+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000036.116.6.2
독립다큐멘터리의 실험정신과 진보적 관점을 보여주는 것만이 아니라 작가와 관객의 대화 등 작품을 통한 교감과 의사소통도 강조하겠다는 뜻이다.

독립다큐멘터리의	독립/NNG+다큐멘터리/NNG+의/JKG
실험정신과	실험/NNG+정신/NNG+과/JC
진보적	진보/NNG+적/XSN
관점을	관점/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것만이	것/NNB+만/JX+이/JKC
아니라	아니/VCN+라/EC
작가와	작가/NNG+와/JC
관객의	관객/NNG+의/JKG
대화	대화/NNG
등	등/NNB
작품을	작품/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
교감과	교감/NNG+과/JC
의사소통도	의사소통/NNG+도/JX
강조하겠다는	강조/NNG+하/XSV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


