# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.356
metadata : {}


# id : NWRW1800000052.356.1.1
박지원, 박 대통령에게 “두 1당보다 2당 잘 생각하시라”

박지원,	박지원/NNP+,/SP
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
“두	“/SS+두/MMN
1당보다	1/SN+당/NNG+보다/JKB
2당	2/SN+당/NNG
잘	잘/MAG
생각하시라”	생각/NNG+하/XSV+시/EP+라/EF+”/SS


# id : NWRW1800000052.356.2.1
[한겨레] 13일 박 대통령 20대 국회 개원 연설

[한겨레]	[/SS+한겨레/NNP+]/SS
13일	13/SN+일/NNB
박	박/NNP
대통령	대통령/NNG
20대	20/SN+대/NNB
국회	국회/NNG
개원	개원/NNG
연설	연설/NNG


# id : NWRW1800000052.356.3.1
중앙의석 사수한 새누리당 의원들이 기립 박수로 맞아

중앙의석	중앙/NNG+의석/NNG
사수한	사수/NNG+하/XSV+ㄴ/ETM
새누리당	새누리당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
기립	기립/NNG
박수로	박수/NNG+로/JKB
맞아	맞/VV+아/EF


# id : NWRW1800000052.356.4.1
퇴장할 때 김무성 전 대표에게 먼저 악수 청하기도

퇴장할	퇴장/NNG+하/XSV+ㄹ/ETM
때	때/NNG
김무성	김무성/NNP
전	전/MMD
대표에게	대표/NNG+에게/JKB
먼저	먼저/MAG
악수	악수/NNG
청하기도	청/NNG+하/XSV+기/ETN+도/JX


# id : NWRW1800000052.356.5.1
국회의장단, 여야 3당 지도부 면담에서 협력 강조

국회의장단,	국회/NNG+의장단/NNG+,/SP
여야	여야/NNG
3당	3/SN+당/NNG
지도부	지도부/NNG
면담에서	면담/NNG+에서/JKB
협력	협력/NNG
강조	강조/NNG


# id : NWRW1800000052.356.6.1
13일 국회를 방문한 박근혜 대통령은 20대 국회 개원 연설을 마친 뒤 여야 3당 지도부와 따로 환담을 하며 소통에 애쓰는 모습을 보였다.

13일	13/SN+일/NNB
국회를	국회/NNG+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
20대	20/SN+대/NNB
국회	국회/NNG
개원	개원/NNG
연설을	연설/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
여야	여야/NNG
3당	3/SN+당/NNG
지도부와	지도부/NNG+와/JKB
따로	따로/MAG
환담을	환담/NNG+을/JKO
하며	하/VV+며/EC
소통에	소통/NNG+에/JKB
애쓰는	애쓰/VV+는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.356.6.2
지난달 국회법 개정안에 대해 거부권을 행사한 뒤 첫 만남인데, 덕담을 주고받으며 부드러운 분위기가 이어졌다.

지난달	지난달/NNG
국회법	국회법/NNG
개정안에	개정안/NNG+에/JKB
대해	대하/VV+아/EC
거부권을	거부/NNG+권/XSN+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
첫	첫/MMN
만남인데,	만남/NNG+이/VCP+ㄴ데/EC+,/SP
덕담을	덕담/NNG+을/JKO
주고받으며	주고받/VV+으며/EC
부드러운	부드럽/VA+ㄴ/ETM
분위기가	분위기/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.356.7.1
이날 오전 10시께 박 대통령이 연설을 위해 국회 본회의장에 들어서자, 연단으로 향하는 통로 양쪽에 새누리당 의원들이 늘어서서 박수로 맞았다.

이날	이날/NNG
오전	오전/NNG
10시께	10/SN+시/NNB+께/XSN
박	박/NNP
대통령이	대통령/NNG+이/JKS
연설을	연설/NNG+을/JKO
위해	위하/VV+아/EC
국회	국회/NNG
본회의장에	본회의장/NNG+에/JKB
들어서자,	들어서/VV+자/EC+,/SP
연단으로	연단/NNG+으로/JKB
향하는	향하/VV+는/ETM
통로	통로/NNG
양쪽에	양쪽/NNG+에/JKB
새누리당	새누리당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
늘어서서	늘어서/VV+어서/EC
박수로	박수/NNG+로/JKB
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.356.7.2
국회의장이 된 정세균 의원이 더불어민주당을 자동탈당한 뒤 더민주와 공동 1당(122석)이 된 새누리당이 가까스로 가운데 좌석을 사수했기 때문이다.

국회의장이	국회/NNG+의장/NNG+이/JKS
된	되/VV+ㄴ/ETM
정세균	정세균/NNP
의원이	의원/NNG+이/JKS
더불어민주당을	더불어민주당/NNP+을/JKO
자동탈당한	자동/NNG+탈당/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
더민주와	더민주/NNP+와/JKB
공동	공동/NNG
1당(122석)이	1/SN+당/NNG+(/SS+122/SN+석/NNB+)/SS+이/JKC
새누리당이	새누리당/NNP+이/JKS
가까스로	가까스로/MAG
가운데	가운데/NNG
좌석을	좌석/NNG+을/JKO
사수했기	사수/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.356.7.3
더민주 김종인 비대위 대표와 우상호 원내대표는 자리에서 일어섰지만 박수는 치지 않았다.

더민주	더민주/NNP
김종인	김종인/NNP
비대위	비대위/NNG
