# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.199
metadata : {}


# id : NWRW1800000044.199.1.1
검찰, 유병언 전 회장 계열사 돈 빼돌린 정황 포착

검찰,	검찰/NNG+,/SP
유병언	유병언/NNP
전	전/MMD
회장	회장/NNG
계열사	계열사/NNG
돈	돈/NNG
빼돌린	빼돌리/VV+ㄴ/ETM
정황	정황/NNG
포착	포착/NNG


# id : NWRW1800000044.199.2.1
[한겨레] 부당거래 세탁뒤 비자금 조성 의혹

[한겨레]	[/SS+한겨레/NNP+]/SS
부당거래	부당/NNG+거래/NNG
세탁뒤	세탁/NNG+뒤/NNG
비자금	비자금/NNG
조성	조성/NNG
의혹	의혹/NNG


# id : NWRW1800000044.199.3.1
“청해진 관계자 보복우려 조사 꺼려”

“청해진	“/SS+청해진/NNP
관계자	관계자/NNG
보복우려	보복/NNG+우려/NNG
조사	조사/NNG
꺼려”	꺼리/VV+어/EF+”/SS


# id : NWRW1800000044.199.4.1
세모쪽 “일절 관여 없다” 혐의 부인

세모쪽	세모/NNP+쪽/NNB
“일절	“/SS+일절/MAG
관여	관여/NNG
없다”	없/VA+다/EF+”/SS
혐의	혐의/NNG
부인	부인/NNG


# id : NWRW1800000044.199.5.1
세월호 선사인 청해진해운의 실소유주로 알려진 유병언(73) 전 세모그룹 회장 일가의 비리 의혹을 수사하는 인천지검 특별수사팀(팀장 김회종)은 유 전 회장 자녀와 측근들이 주주로 있는 계열사 사이의 부당거래로 빼돌려진 돈 일부가 유 전 회장 일가 쪽으로 흘러간 정황을 포착한 것으로 27일 알려졌다.

세월호	세월호/NNP
선사인	선사/NNG+이/VCP+ㄴ/ETM
청해진해운의	청해진해운/NNP+의/JKG
실소유주로	실소유주/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
유병언(73)	유병언/NNP+(/SS+73/SN+)/SS
전	전/MMD
세모그룹	세모그룹/NNP
회장	회장/NNG
일가의	일가/NNG+의/JKG
비리	비리/NNG
의혹을	의혹/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
인천지검	인천지검/NNP
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
김회종)은	김회종/NNP+)/SS+은/JX
유	유/NNP
자녀와	자녀/NNG+와/JKB
측근들이	측근/NNG+들/XSN+이/JKS
주주로	주주/NNG+로/JKB
있는	있/VA+는/ETM
계열사	계열사/NNG
사이의	사이/NNG+의/JKG
부당거래로	부당/NNG+거래/NNG+로/JKB
빼돌려진	빼돌리/VV+어/EC+지/VX+ㄴ/ETM
돈	돈/NNG
일부가	일부/NNG+가/JKS
일가	일가/NNG
쪽으로	쪽/NNB+으로/JKB
흘러간	흘러가/VV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
27일	27/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.199.5.2
검찰은 유 전 회장 일가의 자금 상황을 잘 알고 있는 회계사 김아무개씨의 사무실 등을 압수수색한 데 이어 김씨를 조만간 불러 조사할 방침이다.

검찰은	검찰/NNG+은/JX
유	유/NNP
전	전/MMD
회장	회장/NNG
일가의	일가/NNG+의/JKG
자금	자금/NNG
상황을	상황/NNG+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있는	있/VX+는/ETM
회계사	회계사/NNG
김아무개씨의	김/NNP+아무개/NP+씨/NNB+의/JKG
사무실	사무실/NNG
등을	등/NNB+을/JKO
압수수색한	압수/NNG+수색/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
김씨를	김/NNP+씨/NNB+를/JKO
조만간	조만간/MAG
불러	부르/VV+어/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.199.6.1
검찰은 유 전 회장의 두 아들이 대주주로 있는 지주회사 아이원아이홀딩스를 정점으로 지분관계가 거미줄처럼 얽혀 있는 계열사들이 회계상 각종 명목으로 거래를 하며 실제보다 금액을 축소해 기재하는 등의 방법으로 돈을 빼돌린 정황을 파악한 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
유	유/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
두	두/MMN
