# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.309
metadata : {}


# id : NWRW1800000024.309.1.1
“개성공단 경쟁력 회복 발판” 업체 반색

“개성공단	“/SS+개성공단/NNP
경쟁력	경쟁력/NNG
회복	회복/NNG
발판”	발판/NNG+”/SS
업체	업체/NNG
반색	반색/NNG


# id : NWRW1800000024.309.2.1
개성공단 입주기업들은 북쪽 당국이 개성공단 육로통행과 체류인원 제한 조처를 21일부터 해제하기로 했다는 소식을 크게 반겼다.

개성공단	개성공단/NNP
입주기업들은	입주/NNG+기업/NNG+들/XSN+은/JX
북쪽	북쪽/NNG
당국이	당국/NNG+이/JKS
육로통행과	육로/NNG+통행/NNG+과/JC
체류인원	체류/NNG+인원/NNG
제한	제한/NNG
조처를	조처/NNG+를/JKO
21일부터	21/SN+일/NNB+부터/JX
해제하기로	해제/NNG+하/XSV+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
소식을	소식/NNG+을/JKO
크게	크/VA+게/EC
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.309.2.2
남북관계 경색으로 개성공단 생산 물품 주문을 주저했던 바이어들의 신뢰를 회복할 수 있는 계기가 될 것이라는 기대에서다.

남북관계	남북/NNP+관계/NNG
경색으로	경색/NNG+으로/JKB
개성공단	개성공단/NNP
생산	생산/NNG
물품	물품/NNG
주문을	주문/NNG+을/JKO
주저했던	주저/NNG+하/XSV+았/EP+던/ETM
바이어들의	바이어/NNG+들/XSN+의/JKG
신뢰를	신뢰/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대에서다.	기대/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000024.309.3.1
유창근 개성공단기업협의회 부회장은 21일 “12·1 조처 해제가 나오자 입주기업들이 발빠르게 움직이고 있다”며 “육로통행 제한이 풀림에 따라 생산에서 출하까지 기업운영 계획을 다시 바꿔야 할 것 같다”고 말했다.

유창근	유창근/NNP
개성공단기업협의회	개성공단기업협의회/NNP
부회장은	부회장/NNG+은/JX
21일	21/SN+일/NNB
“12·1	“/SS+12/SN+·/SP+1/SN
조처	조처/NNG
해제가	해제/NNG+가/JKS
나오자	나오/VV+자/EC
입주기업들이	입주/NNG+기업/NNG+들/XSN+이/JKS
발빠르게	발/NNG+빠르/VA+게/EC
움직이고	움직이/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“육로통행	“/SS+육로/NNG+통행/NNG
제한이	제한/NNG+이/JKS
풀림에	풀리/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
생산에서	생산/NNG+에서/JKB
출하까지	출하/NNG+까지/JX
기업운영	기업/NNG+운영/NNG
계획을	계획/NNG+을/JKO
다시	다시/MAG
바꿔야	바꾸/VV+어야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.309.3.2
그동안 입주기업들은 매일 오전 9시만 되면 방북 신청을 하려고 인터넷에서 ‘전쟁’을 치러야 했다.

그동안	그동안/NNG
입주기업들은	입주/NNG+기업/NNG+들/XSN+은/JX
매일	매일/MAG
오전	오전/NNG
9시만	9/SN+시/NNB+만/JX
되면	되/VV+면/EC
방북	방북/NNG
신청을	신청/NNG+을/JKO
하려고	하/VV+려고/EC
인터넷에서	인터넷/NNG+에서/JKB
‘전쟁’을	‘/SS+전쟁/NNG+’/SS+을/JKO
치러야	치르/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.309.3.3
북쪽이 지난해 ‘12·1 조처’로 개성공단 통행을 하루 여섯 차례로 줄였고 상주 체류인원도 880명으로 제한했기 때문이다.

북쪽이	북쪽/NNG+이/JKS
지난해	지난해/NNG
‘12·1	‘/SS+12/SN+·/SP+1/SN
조처’로	조처/NNG+’/SS+로/JKB
개성공단	개성공단/NNP
통행을	통행/NNG+을/JKO
하루	하루/NNG
여섯	여섯/NR
차례로	차례/NNG+로/JKB
줄였고	줄이/VV+었/EP+고/EC
상주	상주/NNG
체류인원도	체류/NNG+인원/NNG+도/JX
880명으로	880/SN+명/NNB+으로/JKB
제한했기	제한/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.309.3.4
한 입주기업의 대표는 “비숙련공 교육을 위해 20~30명 정도가 들어가야 하는데 통행 제한으로 기업당 2~3명만 출입이 가능해 애를 먹어왔다”며 “북쪽의 이번 조처가 개성공단의 경쟁력을 다시 끌어올릴 수 있는 발판이 되길 바란다”고 말했다.

한	한/MMN
입주기업의	입주/NNG+기업/NNG+의/JKG
대표는	대표/NNG+는/JX
“비숙련공	“/SS+비/XPN+숙련공/NNG
교육을	교육/NNG+을/JKO
위해	위하/VV+아/EC
20~30명	20/SN+~/SO+30/SN+명/NNB
정도가	정도/NNG+가/JKS
들어가야	들어가/VV+아야/EC
하는데	하/VX+는데/EC
통행	통행/NNG
제한으로	제한/NNG+으로/JKB
기업당	기업/NNG+당/XSN
2~3명만	2/SN+~/SO+3/SN+명/NNB+만/JX
출입이	출입/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
애를	애/NNG+를/JKO
먹어왔다”며	먹/VV+어/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“북쪽의	“/SS+북쪽/NNG+의/JKG
이번	이번/NNG
조처가	조처/NNG+가/JKS
개성공단의	개성공단/NNP+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
다시	다시/MAG
끌어올릴	끌어올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
발판이	발판/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.309.4.1
입주기업들은 또 개성공단 출입 허용 기준을 더 완화하기 위한 후속 논의가 이어져야 한다고 목소리를 높였다.

입주기업들은	입주/NNG+기업/NNG+들/XSN+은/JX
또	또/MAG
개성공단	개성공단/NNP
출입	출입/NNG
허용	허용/NNG
기준을	기준/NNG+을/JKO
더	더/MAG
완화하기	완화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
후속	후속/NNG
논의가	논의/NNG+가/JKS
이어져야	이어지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.309.4.2
유 부회장은 “남북관계가 경색되기 전인 지난해 초에 이뤄졌던 전면적 자율통행을 위한 세부협의가 재개돼야 한다”며 “출경만 허용되는 오전 시간대에도 귀환을 허용하고 ‘3통(통신·통행·통관)’ 문제 개선을 위한 남북 당국자간 협의도 필요하다”고 주문했다.

유	유/NNP
부회장은	부회장/NNG+은/JX
“남북관계가	“/SS+남북/NNP+관계/NNG+가/JKS
경색되기	경색/NNG+되/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
초에	초/NNB+에/JKB
이뤄졌던	이뤄지/VV+었/EP+던/ETM
전면적	전면/NNG+적/XSN
자율통행을	자율/NNG+통행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
세부협의가	세부/NNG+협의/NNG+가/JKS
재개돼야	재개/NNG+되/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“출경만	“/SS+출경/NNG+만/JX
허용되는	허용/NNG+되/XSV+는/ETM
오전	오전/NNG
시간대에도	시간대/NNG+에/JKB+도/JX
귀환을	귀환/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
‘3통(통신·통행·통관)’	‘/SS+3/SN+통/NNG+(/SS+통신/NNG+·/SP+통행/NNG+·/SP+통관/NNG+)/SS+’/SS
문제	문제/NNG
개선을	개선/NNG+을/JKO
남북	남북/NNP
당국자간	당국자/NNG+간/NNB
협의도	협의/NNG+도/JX
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.309.5.1
기숙사 건립과 출퇴근 도로 확충을 위한 남쪽 정부의 후속 작업도 서둘러야 한다고 입주기업들은 강조했다.

기숙사	기숙사/NNG
건립과	건립/NNG+과/JC
출퇴근	출퇴근/NNG
도로	도로/NNG
확충을	확충/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남쪽	남쪽/NNG
정부의	정부/NNG+의/JKG
후속	후속/NNG
작업도	작업/NNG+도/JX
서둘러야	서두르/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
입주기업들은	입주/NNG+기업/NNG+들/XSN+은/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.309.5.2
또 다른 입주기업의 한 임원은 “원활한 인력수급을 위해서는 개성공단에서 멀리 떨어진 지역의 근로자들도 와서 일할 수 있도록 기본적인 인프라가 깔려야 한다”며 “자율통행을 통한 물류 경쟁력 확보와 함께 향후 가장 시급한 과제로 대두할 것”이라고 말했다.

또	또/MAG
다른	다른/MMD
입주기업의	입주/NNG+기업/NNG+의/JKG
한	한/MMN
임원은	임원/NNG+은/JX
“원활한	“/SS+원활/NNG+하/XSA+ㄴ/ETM
인력수급을	인력/NNG+수급/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
개성공단에서	개성공단/NNP+에서/JKB
멀리	멀리/MAG
떨어진	떨어지/VV+ㄴ/ETM
지역의	지역/NNG+의/JKG
근로자들도	근로자/NNG+들/XSN+도/JX
와서	오/VV+아서/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
인프라가	인프라/NNG+가/JKS
깔려야	깔리/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
