# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.95
metadata : {}


# id : NWRW1800000038.95.1.1
삼겹살 미친듯이 먹는 장면, 연기 아닌 식탐이었죠

삼겹살	삼겹살/NNG
미친듯이	미치/VV+ㄴ/ETM+듯이/NNB
먹는	먹/VV+는/ETM
장면,	장면/NNG+,/SP
연기	연기/NNG
아닌	아니/VCN+ㄴ/ETM
식탐이었죠	식탐/NNG+이/VCP+었/EP+죠/EF


# id : NWRW1800000038.95.2.1
영화 '노브레싱'에서 수영선수 원일役 맡은 가수 겸 배우 서인국

영화	영화/NNG
'노브레싱'에서	'/SS+노브레싱/NNP+'/SS+에서/JKB
수영선수	수영/NNG+선수/NNG
원일役	원일/NNP+役/SH
맡은	맡/VV+은/ETM
가수	가수/NNG
겸	겸/NNB
배우	배우/NNG
서인국	서인국/NNP


# id : NWRW1800000038.95.3.1
원일(서인국)이 정은(권유리)에게 연애편지를 쓰고 부끄러움에 혼자 발버둥을 칠 때나 우상(이종석)이 정은의 귀에 대고 "샴푸 바꿨네"라고 속삭일 때 객석의 90% 이상을 장악한 여성 관객들은 "아, 귀여워"를 외쳤다.

원일(서인국)이	원일/NNP+(/SS+서인국/NNP+)/SS+이/JKS
정은(권유리)에게	정은/NNP+(/SS+권유리/NNP+)/SS+에게/JKB
연애편지를	연애편지/NNG+를/JKO
쓰고	쓰/VV+고/EC
부끄러움에	부끄러움/NNG+에/JKB
혼자	혼자/NNG
발버둥을	발버둥/NNG+을/JKO
칠	치/VV+ㄹ/ETM
때나	때/NNG+나/JC
우상(이종석)이	우상/NNP+(/SS+이종석/NNP+)/SS+이/JKS
정은의	정은/NNP+의/JKG
귀에	귀/NNG+에/JKB
대고	대/VV+고/EC
"샴푸	"/SS+샴푸/NNG
바꿨네"라고	바꾸/VV+었/EP+네/EF+"/SS+라고/JKQ
속삭일	속삭이/VV+ㄹ/ETM
때	때/NNG
객석의	객석/NNG+의/JKG
90%	90/SN+%/SW
이상을	이상/NNG+을/JKO
장악한	장악/NNG+하/XSV+ㄴ/ETM
여성	여성/NNG
관객들은	관객/NNG+들/XSN+은/JX
