# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.79
metadata : {}


# id : NWRW1800000032.79.1.1
뒤늦은 한파에 내복시장 ‘후끈’

뒤늦은	뒤늦/VA+은/ETM
한파에	한파/NNG+에/JKB
내복시장	내복/NNG+시장/NNG
‘후끈’	‘/SS+후끈/MAG+’/SS


# id : NWRW1800000032.79.2.1
주문 폭주에 물량 달려…업체들 공장 재가동까지

주문	주문/NNG
폭주에	폭주/NNG+에/JKB
물량	물량/NNG
달려…업체들	달리/VV+어/EC+…/SE+업체/NNG+들/XSN
공장	공장/NNG
재가동까지	재/XPN+가동/NNG+까지/JX


# id : NWRW1800000032.79.3.1
정부 에너지 절감정책으로 실내 온도 낮아진 탓도

정부	정부/NNG
에너지	에너지/NNG
절감정책으로	절감/NNG+정책/NNG+으로/JKB
실내	실내/NNG
온도	온도/NNG
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
탓도	탓/NNG+도/JX


# id : NWRW1800000032.79.4.1
“아이 너무하네.

“아이	“/SS+아이/IC
너무하네.	너무/MAG+하/XSA+네/EF+./SF


# id : NWRW1800000032.79.4.2
50개만 더 줘요!”

50개만	50/SN+개/NNB+만/JX
더	더/MAG
줘요!”	주/VV+어요/EF+!/SF+”/SS


# id : NWRW1800000032.79.5.1
지난 17일 오후, 서울 중구 신당동의 의류도매상가 신안상사엔 내복을 떼러 소매점 주인과 내복을 장만하러 온 손님들로 북적였다.

지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
오후,	오후/NNG+,/SP
서울	서울/NNP
중구	중구/NNP
신당동의	신당동/NNP+의/JKG
의류도매상가	의류/NNG+도매/NNG+상가/NNG
신안상사엔	신안상사/NNP+에/JKB+ㄴ/JX
내복을	내복/NNG+을/JKO
떼러	떼/VV+러/EC
소매점	소매점/NNG
주인과	주인/NNG+과/JC
장만하러	장만/NNG+하/XSV+러/EC
온	오/VV+ㄴ/ETM
손님들로	손/NNG+님/XSN+들/XSN+로/JKB
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.79.5.2
두터운 기모 소재의 남성 내복에 대한 주문이 많았다.

두터운	두텁/VA+ㄴ/ETM
기모	기모/NNG
소재의	소재/NNG+의/JKG
남성	남성/NNG
내복에	내복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주문이	주문/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.79.5.3
일반 손님 중엔 가족들 것까지 서너벌씩 사는 사람들도 많았다.

일반	일반/NNG
손님	손/NNG+님/XSN
중엔	중/NNB+에/JKB+ㄴ/JX
가족들	가족/NNG+들/XSN
것까지	것/NNB+까지/JX
서너벌씩	서너/MMN+벌/NNB+씩/XSN
사는	사/VV+는/ETM
사람들도	사람/NNG+들/XSN+도/JX
