# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.270
metadata : {}


# id : NWRW1800000054.270.1.1
[평창올림픽 D-203] 썰매 金 따려… '헐크'가 된 선수들

[평창올림픽	[/SS+평창/NNP+올림픽/NNG
D-203]	D/SL+-/SO+203/SN+]/SS
썰매	썰매/NNG
金	金/SH
따려…	따/VV+려/EC+…/SE
'헐크'가	'/SS+헐크/NNP+'/SS+가/JKC
된	되/VV+ㄴ/ETM
선수들	선수/NNG+들/XSN


# id : NWRW1800000054.270.2.1
가속도 받아야 하는 봅슬레이, 몸무게 무거울수록 유리… 육상 단거리 출신 여호수아, 74㎏에서 94㎏으로 몸 불려 "하루 5끼 먹어… 토할 것 같아"

가속도	가속도/NNG
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
봅슬레이,	봅슬레이/NNG+,/SP
몸무게	몸무게/NNG
무거울수록	무겁/VA+ㄹ수록/EC
유리…	유리/NNG+…/SE
육상	육상/NNG
단거리	단거리/NNG
출신	출신/NNG
여호수아,	여호수아/NNP+,/SP
74㎏에서	74/SN+㎏/SW+에서/JKB
94㎏으로	94/SN+㎏/SW+으로/JKB
몸	몸/NNG
불려	불리/VV+어/EC
"하루	"/SS+하루/NNG
5끼	5/SN+끼/NNG
먹어…	먹/VV+어/EC+…/SE
토할	토하/VV+ㄹ/ETM
것	것/NNB
같아"	같/VA+아/EF+"/SS


# id : NWRW1800000054.270.3.1
평창 동계올림픽이 203일 앞으로 다가왔다.

평창	평창/NNP
동계올림픽이	동계/NNG+올림픽/NNG+이/JKS
203일	203/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.270.3.2
여름휴가철을 맞아 많은 사람이 다이어트로 '살 빼기'에 들어간 가운데 올림픽에 출전할 동계 스포츠 선수들은 '살 찌우기' 경쟁을 벌이고 있다.

여름휴가철을	여름휴가/NNG+철/NNG+을/JKO
맞아	맞/VV+아/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
다이어트로	다이어트/NNG+로/JKB
'살	'/SS+살/NNG
빼기'에	빼/VV+기/ETN+'/SS+에/JKB
들어간	들어가/VV+ㄴ/ETM
가운데	가운데/NNG
올림픽에	올림픽/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
동계	동계/NNG
스포츠	스포츠/NNG
선수들은	선수/NNG+들/XSN+은/JX
찌우기'	찌우/VV+기/ETN+'/SS
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.270.3.3
이번 올림픽에서 사상 첫 메달을 노리는 한국 썰매 대표팀, 그중에서 봅슬레이 종목 선수들이 그렇다.

이번	이번/NNG
올림픽에서	올림픽/NNG+에서/JKB
사상	사상/NNG
첫	첫/MMN
메달을	메달/NNG+을/JKO
노리는	노리/VV+는/ETM
한국	한국/NNP
썰매	썰매/NNG
대표팀,	대표/NNG+팀/NNG+,/SP
그중에서	그중/NNG+에서/JKB
봅슬레이	봅슬레이/NNG
종목	종목/NNG
선수들이	선수/NNG+들/XSN+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000054.270.4.1
