# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.167
metadata : {}


# id : NWRW1800000046.167.1.1
防産비리 86건 1조원 규모 적발… 장성 10명 포함 63명 재판에

防産비리	防産/SH+비리/NNG
86건	86/SN+건/NNB
1조원	1/SN+조/NR+원/NNB
규모	규모/NNG
적발…	적발/NNG+…/SE
장성	장성/NNG
10명	10/SN+명/NNB
포함	포함/NNG
63명	63/SN+명/NNB
재판에	재판/NNG+에/JKB


# id : NWRW1800000046.167.2.1
합수단 중간수사 발표… 해군이 육·공군의 3배

합수단	합수단/NNG
중간수사	중간/NNG+수사/NNG
발표…	발표/NNG+…/SE
해군이	해군/NNG+이/JKS
육·공군의	육·공군/NNG+의/JKG
3배	3/SN+배/NNG


# id : NWRW1800000046.167.3.1
검찰과 군(軍)의 합동 수사로 지난 7개월 동안 전·현직 장성 10명을 포함, 63명이 재판에 넘겨졌고, 총 86건에 9809억원 규모의 비리가 적발됐다.

검찰과	검찰/NNG+과/JC
군(軍)의	군/NNG+(/SS+軍/SH+)/SS+의/JKG
합동	합동/NNG
수사로	수사/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
7개월	7/SN+개월/NNB
동안	동안/NNG
전·현직	전·현직/NNG
장성	장성/NNG
10명을	10/SN+명/NNB+을/JKO
포함,	포함/NNG+,/SP
63명이	63/SN+명/NNB+이/JKS
재판에	재판/NNG+에/JKB
넘겨졌고,	넘기/VV+어/EC+지/VX+었/EP+고/EC+,/SP
총	총/MMA
86건에	86/SN+건/NNB+에/JKB
9809억원	9809/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
비리가	비리/NNG+가/JKS
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.167.3.2
작년 11월 출범한 방위사업비리 정부합동수사단(단장 김기동)은 15일 중간 수사 결과를 발표하고, 과거부터 수십년간 이어져온 뿌리 깊은 적폐(積弊)를 도려내기 위해 연말까지 합수단을 연장해 운영하겠다고 밝혔다.

작년	작년/NNG
11월	11/SN+월/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
방위사업비리	방위/NNG+사업/NNG+비리/NNG
정부합동수사단(단장	정부/NNG+합동/NNG+수사단/NNG+(/SS+단장/NNG
김기동)은	김기동/NNP+)/SS+은/JX
15일	15/SN+일/NNB
중간	중간/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
과거부터	과거/NNG+부터/JX
수십년간	수십/NR+년/NNB+간/XSN
이어져온	이어지/VV+어/EC+오/VX+ㄴ/ETM
뿌리	뿌리/NNG
깊은	깊/VA+은/ETM
적폐(積弊)를	적폐/NNG+(/SS+積弊/SH+)/SS+를/JKO
도려내기	도려내/VV+기/ETN
위해	위하/VV+아/EC
연말까지	연말/NNG+까지/JX
합수단을	합수단/NNG+을/JKO
연장해	연장/NNG+하/XSV+아/EC
