# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.322
metadata : {}


# id : NWRW1800000033.322.1.1
김정은, ‘제1비서’ 이어 노동당 3권 모두 장악

김정은,	김정은/NNP+,/SP
‘제1비서’	‘/SS+제/XPN+1/SN+비서/NNG+’/SS
이어	잇/VV+어/EC
노동당	노동당/NNP
3권	3권/NNG
모두	모두/MAG
장악	장악/NNG


# id : NWRW1800000033.322.2.1
北, 정치국 위원 추대사실 하루 늦게 공개… 당 규약 ‘김정일주의’ 추가

北,	北/SH+,/SP
정치국	정치국/NNG
위원	위원/NNG
추대사실	추대/NNG+사실/NNG
하루	하루/NNG
늦게	늦/VA+게/EC
공개…	공개/NNG+…/SE
당	당/NNG
규약	규약/NNG
‘김정일주의’	‘/SS+김정일/NNP+주의/NNG+’/SS
추가	추가/NNG


# id : NWRW1800000033.322.3.1
오늘 최고인민회의 개막… 주요기구 인선 결과 주목

오늘	오늘/MAG
최고인민회의	최고인민회의/NNG
개막…	개막/NNG+…/SE
주요기구	주요/NNG+기구/NNG
인선	인선/NNG
결과	결과/NNG
주목	주목/NNG


# id : NWRW1800000033.322.4.1
11일 북한 노동당 대표자회에서 당 제1비서에 오른 김정은이 핵심 당권과 군·보안조직을 모두 장악해 친정체제를 구축했다.

11일	11/SN+일/NNB
북한	북한/NNP
노동당	노동당/NNP
대표자회에서	대표자회/NNG+에서/JKB
당	당/NNG
제1비서에	제/XPN+1/SN+비서/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
김정은이	김정은/NNP+이/JKS
핵심	핵심/NNG
당권과	당권/NNG+과/JC
군·보안조직을	군/NNG+·/SP+보안/NNG+조직/NNG+을/JKO
모두	모두/MAG
장악해	장악/NNG+하/XSV+아/EC
친정체제를	친정/NNG+체제/NNG+를/JKO
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.4.2
하지만 조직 장악을 지나치게 서두르는 인상이어서 취약한 권력기반에 불안감을 느끼는 게 아니냐는 분석도 나온다.

하지만	하지만/MAJ
조직	조직/NNG
장악을	장악/NNG+을/JKO
지나치게	지나치/VA+게/EC
서두르는	서두르/VV+는/ETM
인상이어서	인상/NNG+이/VCP+어서/EC
취약한	취약/NNG+하/XSA+ㄴ/ETM
권력기반에	권력/NNG+기반/NNG+에/JKB
불안감을	불안감/NNG+을/JKO
느끼는	느끼/VV+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.322.5.1
조선중앙방송은 12일 “김정은 동지께서 당 중앙위 정치국 위원, 정치국 상무위원, 중앙군사위원장으로 추대됐다”고 보도했다.

조선중앙방송은	조선중앙방송/NNP+은/JX
12일	12/SN+일/NNB
“김정은	“/SS+김정은/NNP
동지께서	동지/NNG+께서/JKS
당	당/NNG
중앙위	중앙위/NNG
정치국	정치국/NNG
위원,	위원/NNG+,/SP
상무위원,	상무위원/NNG+,/SP
중앙군사위원장으로	중앙/NNG+군사/NNG+위원장/NNG+으로/JKB
추대됐다”고	추대/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.5.2
이로써 당 중앙군사위 부위원장 직함만 갖고 있던 김정은은 당 대표자회를 계기로 정치국과 비서국, 중앙군사위 등 당의 3권을 모두 장악했다.

이로써	이/NP+로써/JKB
당	당/NNG
중앙군사위	중앙군사위/NNP
부위원장	부위원장/NNG
직함만	직함/NNG+만/JX
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
김정은은	김정은/NNP+은/JX
대표자회를	대표자회/NNG+를/JKO
계기로	계기/NNG+로/JKB
정치국과	정치국/NNG+과/JC
비서국,	비서국/NNG+,/SP
등	등/NNB
당의	당/NNG+의/JKG
3권을	3권/NNG+을/JKO
모두	모두/MAG
장악했다.	장악/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.322.6.1
노동당 정치국은 유명무실화된 당 대회와 당 중앙위를 대신해 사실상 당을 이끄는 조직이다.

노동당	노동당/NNP
정치국은	정치국/NNG+은/JX
유명무실화된	유명무실/NNG+화/XSN+되/XSV+ㄴ/ETM
당	당/NNG
대회와	대회/NNG+와/JC
중앙위를	중앙위/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
사실상	사실/NNG+상/XSN
당을	당/NNG+을/JKO
이끄는	이끌/VV+는/ETM
조직이다.	조직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.322.6.2
당 규약에 따르면 당 대회와 중앙위 전원회의가 열리지 않을 때 정치국이 업무를 위임받도록 돼 있다.

당	당/NNG
규약에	규약/NNG+에/JKB
따르면	따르/VV+면/EC
대회와	대회/NNG+와/JC
중앙위	중앙위/NNG
전원회의가	전원회의/NNG+가/JKS
열리지	열리/VV+지/EC
않을	않/VX+을/ETM
때	때/NNG
정치국이	정치국/NNG+이/JKS
업무를	업무/NNG+를/JKO
위임받도록	위임/NNG+받/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.322.6.3
비서국은 제1비서가 된 김정은의 명령을 수행하는 직할부서로 각 부문에서 올라오는 보고를 독점하는 것으로 알려졌다.

비서국은	비서국/NNG+은/JX
제1비서가	제/XPN+1/SN+비서/NNG+가/JKC
된	되/VV+ㄴ/ETM
김정은의	김정은/NNP+의/JKG
명령을	명령/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
직할부서로	직할/NNG+부서/NNG+로/JKB
각	각/MMD
부문에서	부문/NNG+에서/JKB
올라오는	올라오/VV+는/ETM
보고를	보고/NNG+를/JKO
독점하는	독점/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.322.6.4
중앙군사위는 국방위와 더불어 군사 분야와 국방사업 전반을 지도하는 조직이다.

