# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.16
metadata : {}


# id : NWRW1800000025.16.1.1
[건강]오른쪽이 더 예쁜 내 얼굴, 왜?

[건강]오른쪽이	[/SS+건강/NNG+]/SS+오른쪽/NNG+이/JKS
더	더/MAG
예쁜	예쁘/VA+ㄴ/ETM
내	나/NP+의/JKG
얼굴,	얼굴/NNG+,/SP
왜?	왜/MAG+?/SF


# id : NWRW1800000025.16.2.1
“사람들이 보는 위치에 따라 제 얼굴이 다르대요.

“사람들이	“/SS+사람/NNG+들/XSN+이/JKS
보는	보/VV+는/ETM
위치에	위치/NNG+에/JKB
따라	따르/VV+아/EC
제	저/NP+의/JKG
얼굴이	얼굴/NNG+이/JKS
다르대요.	다르/VA+대/EF+요/JX+./SF


# id : NWRW1800000025.16.2.2
‘두 얼굴을 지닌 사람’이란 농담을 들을 때면 솔직히 속상했어요.”

‘두	‘/SS+두/MMN
얼굴을	얼굴/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
사람’이란	사람/NNG+’/SS+이/VCP+란/ETM
농담을	농담/NNG+을/JKO
들을	듣/VV+을/ETM
때면	때/NNG+이/VCP+면/EC
솔직히	솔직히/MAG
속상했어요.”	속상하/VA+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000025.16.3.1
방송작가 박소희 씨(29·여)는 평소 ‘두 얼굴 같다’는 소리를 자주 듣는다.

방송작가	방송/NNG+작가/NNG
박소희	박소희/NNP
씨(29·여)는	씨/NNB+(/SS+29/SN+·/SP+여/NNG+)/SS+는/JX
평소	평소/NNG
‘두	‘/SS+두/MMN
얼굴	얼굴/NNG
같다’는	같/VA+다/EF+’/SS+는/ETM
소리를	소리/NNG+를/JKO
자주	자주/MAG
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000025.16.3.2
오른쪽 얼굴과 왼쪽 얼굴의 분위기가 많이 다르기 때문이다.

오른쪽	오른쪽/NNG
얼굴과	얼굴/NNG+과/JC
왼쪽	왼쪽/NNG
얼굴의	얼굴/NNG+의/JKG
분위기가	분위기/NNG+가/JKS
많이	많이/MAG
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.16.4.1
박 씨의 경우 오른쪽 턱은 갸름한 데 비해 왼쪽 턱은 각이 심하게 져 있다.

박	박/NNP
씨의	씨/NNB+의/JKG
경우	경우/NNG
오른쪽	오른쪽/NNG
