# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.200
metadata : {}


# id : NWRW1800000022.200.1.1
[도서] 동아시아 구법승과 인도의 불교 유적

[도서]	[/SS+도서/NNG+]/SS
동아시아	동아시아/NNP
구법승과	구법승/NNG+과/JC
인도의	인도/NNP+의/JKG
불교	불교/NNG
유적	유적/NNG


# id : NWRW1800000022.200.2.1
◆ 이주형 책임편집|사회평론|585쪽|4만원

◆	◆/SW
이주형	이주형/NNP
책임편집|사회평론|585쪽|4만원	책임/NNG+편집/NNG+|/SW+사회평론/NNP+|/SW+585/SN+쪽/NNG+|/SW+4/SN+만/NR+원/NNB


# id : NWRW1800000022.200.3.1
지금도 인도의 보드가야·사르나트 등 부처님의 성지(聖地)에는 전세계에서 온 순례객들의 발길이 끊이지 않는다.

지금도	지금/NNG+도/JX
인도의	인도/NNP+의/JKG
보드가야·사르나트	보드가야/NNP+·/SP+사르나트/NNP
등	등/NNB
부처님의	부처/NNP+님/XSN+의/JKG
성지(聖地)에는	성지/NNG+(/SS+聖地/SH+)/SS+에/JKB+는/JX
전세계에서	전/MMN+세계/NNG+에서/JKB
온	오/VV+ㄴ/ETM
순례객들의	순례객/NNG+들/XSN+의/JKG
발길이	발길/NNG+이/JKS
끊이지	끊이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.200.3.2
2500년 전 깨달은 이의 발자취를 좇으며 그 느낌을 공유하고 싶어하는 것이다.

2500년	2500/SN+년/NNB
전	전/NNG
깨달은	깨닫/VV+은/ETM
이의	이/NNB+의/JKG
발자취를	발자취/NNG+를/JKO
좇으며	좇/VV+으며/EC
그	그/MMD
느낌을	느낌/NNG+을/JKO
공유하고	공유/NNG+하/XSV+고/EC
싶어하는	싶/VX+어/EC+하/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.200.4.1
1000여 년 전에도 바로 그 같은 이유로 인도 땅을 밟았던 순례자들이 있었다.

1000여	1000/SN+여/XSN
년	년/NNB
전에도	전/NNG+에/JKB+도/JX
바로	바로/MAG
그	그/MMD
같은	같/VA+은/ETM
이유로	이유/NNG+로/JKB
인도	인도/NNP
땅을	땅/NNG+을/JKO
밟았던	밟/VV+았/EP+던/ETM
순례자들이	순례자/NNG+들/XSN+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.200.4.2
'구법(求法)', 즉 부처님의 말씀이 담긴 경전을 얻기 위해 인도의 부처님 유적지를 순례한 중국·한국·일본의 스님들이다.

