# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.384
metadata : {}


# id : NWRW1800000028.384.1.1
10월 끝자락…가을축제로 초대합니다

10월	10/SN+월/NNB
끝자락…가을축제로	끝자락/NNG+…/SE+가을/NNG+축제/NNG+로/JKB
초대합니다	초대/NNG+하/XSV+ㅂ니다/EF


# id : NWRW1800000028.384.2.1
때이른 한파가 지나간 뒤 평년 기온을 회복할 것이라는 예보 속에 수도권의 막바지 가을축제가 10월의 마지막 주말을 달굴 전망이다.

때이른	때/NNG+이르/VA+ㄴ/ETM
한파가	한파/NNG+가/JKS
지나간	지나가/VV+ㄴ/ETM
뒤	뒤/NNG
평년	평년/NNG
기온을	기온/NNG+을/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예보	예보/NNG
속에	속/NNG+에/JKB
수도권의	수도/NNG+권/XSN+의/JKG
막바지	막바지/NNG
가을축제가	가을/NNG+축제/NNG+가/JKS
10월의	10/SN+월/NNB+의/JKG
마지막	마지막/NNG
주말을	주말/NNG+을/JKO
달굴	달구/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.384.3.1
경기도 연천군 전곡리 선사유적지에서는 원시시대로 떠나는 상상체험여행인 ‘연천 전곡리 구석기 축제’가 29일부터 5일간 열린다.

경기도	경기도/NNP
연천군	연천군/NNP
전곡리	전곡리/NNP
선사유적지에서는	선사/NNG+유적지/NNG+에서/JKB+는/JX
원시시대로	원시/NNG+시대/NNG+로/JKB
떠나는	떠나/VV+는/ETM
상상체험여행인	상상/NNG+체험/NNG+여행/NNG+이/VCP+ㄴ/ETM
‘연천	‘/SS+연천/NNP
구석기	구석기/NNG
축제’가	축제/NNG+’/SS+가/JKS
29일부터	29/SN+일/NNB+부터/JX
5일간	5/SN+일/NNB+간/XSN
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.384.3.2
18회째인 올해 구석기 축제는 구석기인의 불 피우기, 움집 만들기, 창던지기, 활쏘기, 주먹도끼로 고기를 잘라 바비큐 만들기 등 다채로운 체험 프로그램이 마련된다.

18회째인	18/SN+회/NNB+째/XSN+이/VCP+ㄴ/ETM
올해	올해/NNG
구석기	구석기/NNG
축제는	축제/NNG+는/JX
구석기인의	구석기인/NNG+의/JKG
불	불/NNG
피우기,	피우/VV+기/ETN+,/SP
움집	움집/NNG
만들기,	만들/VV+기/ETN+,/SP
창던지기,	창던지기/NNG+,/SP
활쏘기,	활쏘기/NNG+,/SP
주먹도끼로	주먹/NNG+도끼/NNG+로/JKB
고기를	고기/NNG+를/JKO
잘라	자르/VV+아/EC
바비큐	바비큐/NNG
만들기	만들/VV+기/ETN
등	등/NNB
다채로운	다채롭/VA+ㄴ/ETM
체험	체험/NNG
프로그램이	프로그램/NNG+이/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.384.3.3
연천군 관계자는 “올해 축제는 관람객들이 직접 보고 느끼고 배울 수 있는 가족참여형 교육축제로 열릴 예정”이라며 “세계 각국과 국내 유명 선사유적지의 선사고고학 체험 프로그램을 고루 맛볼 수 있을 것”이라고 말했다.

연천군	연천군/NNP
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
축제는	축제/NNG+는/JX
관람객들이	관람객/NNG+들/XSN+이/JKS
직접	직접/MAG
보고	보/VV+고/EC
느끼고	느끼/VV+고/EC
배울	배우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가족참여형	가족/NNG+참여/NNG+형/XSN
교육축제로	교육/NNG+축제/NNG+로/JKB
열릴	열리/VV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“세계	“/SS+세계/NNG
각국과	각국/NNG+과/JC
국내	국내/NNG
유명	유명/NNG
선사유적지의	선사/NNG+유적지/NNG+의/JKG
선사고고학	선사/NNG+고고학/NNG
체험	체험/NNG
프로그램을	프로그램/NNG+을/JKO
고루	고루/MAG
맛볼	맛보/VV+ㄹ/ETM
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.384.3.4
30일 오후 5시30분 개막식에서는 티아라, 손담비 등 인기가수들이 총출동한 가운데 불꽃놀이가 가을 밤하늘을 수놓을 예정이다.

30일	30/SN+일/NNB
오후	오후/NNG
5시30분	5/SN+시/NNB+30/SN+분/NNB
개막식에서는	개막식/NNG+에서/JKB+는/JX
티아라,	티아라/NNP+,/SP
손담비	손담비/NNP
등	등/NNB
인기가수들이	인기/NNG+가수/NNG+들/XSN+이/JKS
총출동한	총출동/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
불꽃놀이가	불꽃놀이/NNG+가/JKS
가을	가을/NNG
밤하늘을	밤하늘/NNG+을/JKO
수놓을	수놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.384.3.5
축제장에는 ‘농특산물 큰 장터’가 열려 햇 농특산물을 싼 값에 판매한다.

축제장에는	축제장/NNG+에/JKB+는/JX
‘농특산물	‘/SS+농특산물/NNG
큰	크/VA+ㄴ/ETM
장터’가	장터/NNG+’/SS+가/JKS
열려	열리/VV+어/EC
햇	햇/NA
농특산물을	농특산물/NNG+을/JKO
싼	싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.384.4.1
설악산 단풍을 놓쳐 아쉬워하는 사람은 ‘경기의 소금강’이라 불리는 동두천시 소요산을 찾아볼만하다.

설악산	설악산/NNP
단풍을	단풍/NNG+을/JKO
놓쳐	놓치/VV+어/EC
아쉬워하는	아쉬워하/VV+는/ETM
사람은	사람/NNG+은/JX
‘경기의	‘/SS+경기/NNP+의/JKG
소금강’이라	소금강/NNP+’/SS+이/VCP+라/EC
불리는	불리/VV+는/ETM
동두천시	동두천시/NNP
소요산을	소요산/NNP+을/JKO
찾아볼만하다.	찾/VV+아/EC+보/VX+ㄹ/ETM+만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000028.384.4.2
단풍이 절정을 이루는 30~31일 소요산 야외음악당에서 소요단풍축제와 단풍문화제가 잇따라 열린다.

단풍이	단풍/NNG+이/JKS
절정을	절정/NNG+을/JKO
이루는	이루/VV+는/ETM
30~31일	30/SN+~/SO+31/SN+일/NNB
소요산	소요산/NNP
야외음악당에서	야외/NNG+음악당/NNG+에서/JKB
소요단풍축제와	소요/NNP+단풍/NNG+축제/NNG+와/JC
단풍문화제가	단풍/NNG+문화제/NNG+가/JKS
잇따라	잇따르/VV+아/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.384.4.3
특히 30일 오후 2시부터는 동두천 시내에서 26사단 국악대와 취타대, 시립 풍물단 등 300여명이 참여해 조선 초기 북벌장수였던 어유소 장군의 행차 행렬을 재현하는 행사가 열려 관람객의 흥을 돋울 전망이다.

특히	특히/MAG
30일	30/SN+일/NNB
오후	오후/NNG
