# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.19
metadata : {}


# id : NWRW1800000049.19.1.1
총알배송과 손잡은 로켓배송… 쿠팡에 예스24 입점

총알배송과	총알/NNG+배송/NNG+과/JKB
손잡은	손잡/VV+은/ETM
로켓배송…	로켓/NNG+배송/NNG+…/SE
쿠팡에	쿠팡/NNP+에/JKB
예스24	예스24/NNP
입점	입점/NNG


# id : NWRW1800000049.19.2.1
오픈마켓으로 영역 확장… 자체배송 한계 넘으려 제휴시도

오픈마켓으로	오픈마켓/NNG+으로/JKB
영역	영역/NNG
확장…	확장/NNG+…/SE
자체배송	자체/NNG+배송/NNG
한계	한계/NNG
넘으려	넘/VV+으려/EC
제휴시도	제휴/NNG+시도/NNG


# id : NWRW1800000049.19.3.1
소셜커머스 형태로 출발한 쿠팡이 종합 온라인 쇼핑몰로 진화하고 있다.

소셜커머스	소셜/NNG+커머스/NNG
형태로	형태/NNG+로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
쿠팡이	쿠팡/NNP+이/JKS
종합	종합/NNG
온라인	온라인/NNG
쇼핑몰로	쇼핑몰/NNG+로/JKB
진화하고	진화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.19.3.2
쿠팡은 2010년 출범한 후 한정된 물량의 초저가 상품을 파는 ‘딜’ 형태의 사업을 해왔다.

쿠팡은	쿠팡/NNP+은/JX
2010년	2010/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
후	후/NNG
한정된	한정/NNG+되/XSV+ㄴ/ETM
물량의	물량/NNG+의/JKG
초저가	초/XPN+저가/NNG
상품을	상품/NNG+을/JKO
파는	팔/VV+는/ETM
‘딜’	‘/SS+딜/NNG+’/SS
형태의	형태/NNG+의/JKG
사업을	사업/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.19.3.3
그랬던 쿠팡이 최근에는 업종을 가리지 않고 다수 판매자를 입점시키는 오픈마켓형 사업을 본격화했다.

그랬던	그러/VV+었/EP+던/ETM
쿠팡이	쿠팡/NNP+이/JKS
최근에는	최근/NNG+에/JKB+는/JX
업종을	업종/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
다수	다수/NNG
판매자를	판매자/NNG+를/JKO
입점시키는	입점/NNG+시키/XSV+는/ETM
오픈마켓형	오픈마켓/NNG+형/XSN
사업을	사업/NNG+을/JKO
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.19.4.1
28일 쿠팡은 온라인 서점인 ‘예스24’와 손잡고 도서 판매 서비스를 시작한다고 밝혔다.

28일	28/SN+일/NNB
쿠팡은	쿠팡/NNP+은/JX
온라인	온라인/NNG
서점인	서점/NNG+이/VCP+ㄴ/ETM
‘예스24’와	‘/SS+예스24/NNP+’/SS+와/JKB
손잡고	손잡/VV+고/EC
도서	도서/NNG
판매	판매/NNG
서비스를	서비스/NNG+를/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.19.4.2
온라인 서점 영역까지 서비스를 확대한 것이다.

온라인	온라인/NNG
서점	서점/NNG
영역까지	영역/NNG+까지/JX
서비스를	서비스/NNG+를/JKO
확대한	확대/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.19.4.3
예스24가 쿠팡 내에 입점하는 형태로, 쿠팡에서 주문하면 예스24의 배송 시스템을 통해 제품이 출고된다.

예스24가	예스24/NNP+가/JKS
쿠팡	쿠팡/NNP
내에	내/NNB+에/JKB
입점하는	입점/NNG+하/XSV+는/ETM
형태로,	형태/NNG+로/JKB+,/SP
쿠팡에서	쿠팡/NNP+에서/JKB
주문하면	주문/NNG+하/XSV+면/EC
예스24의	예스24/NNP+의/JKG
배송	배송/NNG
시스템을	시스템/NNG+을/JKO
통해	통하/VV+아/EC
제품이	제품/NNG+이/JKS
출고된다.	출고/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.19.5.1
쿠팡 관계자는 “예스24에는 ‘총알배송’ 시스템이 갖춰져 있어 쿠팡에서 주문하면 하루 만에 책을 받아볼 수 있을 것”이라고 말했다.

쿠팡	쿠팡/NNP
관계자는	관계자/NNG+는/JX
“예스24에는	“/SS+예스24/NNP+에/JKB+는/JX
‘총알배송’	‘/SS+총알/NNG+배송/NNG+’/SS
시스템이	시스템/NNG+이/JKS
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있어	있/VX+어/EC
쿠팡에서	쿠팡/NNP+에서/JKB
주문하면	주문/NNG+하/XSV+면/EC
하루	하루/NNG
만에	만/NNB+에/JKB
책을	책/NNG+을/JKO
받아볼	받/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.19.6.1
이런 변신은 쿠팡의 최고 장점으로 꼽히던 ‘로켓배송’이 가진 한계를 극복하기 위해서라는 분석이 나온다.

이런	이런/MMD
변신은	변신/NNG+은/JX
쿠팡의	쿠팡/NNP+의/JKG
최고	최고/NNG
장점으로	장점/NNG+으로/JKB
꼽히던	꼽히/VV+던/ETM
‘로켓배송’이	‘/SS+로켓/NNG+배송/NNG+’/SS+이/JKS
가진	가지/VV+ㄴ/ETM
한계를	한계/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
위해서라는	위하/VV+아서/EC+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.19.6.2
로켓배송은 쿠팡이 직접 제품을 매입해 물류창고에 보관하다가 주문이 들어오면 자체 배송망을 통해 다음 날 배달하는 시스템이다.

로켓배송은	로켓/NNG+배송/NNG+은/JX
쿠팡이	쿠팡/NNP+이/JKS
직접	직접/MAG
제품을	제품/NNG+을/JKO
매입해	매입/NNG+하/XSV+아/EC
물류창고에	물류/NNG+창고/NNG+에/JKB
보관하다가	보관/NNG+하/XSV+다가/EC
주문이	주문/NNG+이/JKS
들어오면	들어오/VV+면/EC
자체	자체/NNG
배송망을	배송망/NNG+을/JKO
통해	통하/VV+아/EC
다음	다음/NNG
날	날/NNG
배달하는	배달/NNG+하/XSV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.19.6.3
이 시스템은 배송 속도는 빠르지만 재고 부담이 크고 신선 식품 관리가 어려워 품목을 늘리는 데 걸림돌이 돼 왔다.

이	이/MMD
시스템은	시스템/NNG+은/JX
배송	배송/NNG
속도는	속도/NNG+는/JX
빠르지만	빠르/VA+지만/EC
재고	재고/NNG
부담이	부담/NNG+이/JKS
크고	크/VA+고/EC
신선	신선/XR
식품	식품/NNG
관리가	관리/NNG+가/JKS
어려워	어렵/VA+어/EC
품목을	품목/NNG+을/JKO
늘리는	늘리/VV+는/ETM
데	데/NNB
걸림돌이	걸림돌/NNG+이/JKC
돼	되/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.19.6.4
배송 인프라를 갖추는 초기 비용도 많이 들어 쿠팡은 지난해에 5470억 원의 적자를 냈다.

배송	배송/NNG
인프라를	인프라/NNG+를/JKO
갖추는	갖추/VV+는/ETM
초기	초기/NNG
비용도	비용/NNG+도/JX
많이	많이/MAG
들어	들/VV+어/EC
쿠팡은	쿠팡/NNP+은/JX
지난해에	지난해/NNG+에/JKB
5470억	5470/SN+억/NR
원의	원/NNB+의/JKG
적자를	적자/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.19.7.1
이 때문에 쿠팡은 지난달 12일 오픈마켓 판매 시스템인 ‘아이템마켓’을 도입했다.

이	이/MMD
때문에	때문/NNB+에/JKB
쿠팡은	쿠팡/NNP+은/JX
지난달	지난달/NNG
12일	12/SN+일/NNB
오픈마켓	오픈마켓/NNG
판매	판매/NNG
시스템인	시스템/NNG+이/VCP+ㄴ/ETM
‘아이템마켓’을	‘/SS+아이템/NNG+마켓/NNG+’/SS+을/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.19.7.2
11번가나 G마켓처럼 다수의 상품 판매자가 아이템마켓에 입점해 제품을 판매한다.

11번가나	11번가/NNP+나/JC
G마켓처럼	G마켓/NNP+처럼/JKB
다수의	다수/NNG+의/JKG
상품	상품/NNG
판매자가	판매자/NNG+가/JKS
아이템마켓에	아이템/NNG+마켓/NNG+에/JKB
입점해	입점/NNG+하/XSV+아/EC
제품을	제품/NNG+을/JKO
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.19.7.3
로켓배송으로 질 높은 서비스를 유지하면서 취급 품목과 판매액을 늘린다는 의도다.

로켓배송으로	로켓/NNG+배송/NNG+으로/JKB
질	질/NNG
높은	높/VA+은/ETM
서비스를	서비스/NNG+를/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
취급	취급/NNG
품목과	품목/NNG+과/JC
판매액을	판매액/NNG+을/JKO
늘린다는	늘리/VV+ㄴ다는/ETM
의도다.	의도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.19.7.4
쿠팡 관계자는 “로켓배송과 오픈마켓 판매 등 ‘투트랙’ 전략을 통해 종합 이커머스 모델을 만들어 낼 것”이라고 말했다.

쿠팡	쿠팡/NNP
관계자는	관계자/NNG+는/JX
“로켓배송과	“/SS+로켓/NNG+배송/NNG+과/JC
오픈마켓	오픈마켓/NNG
판매	판매/NNG
등	등/NNB
‘투트랙’	‘/SS+투트랙/NNG+’/SS
전략을	전략/NNG+을/JKO
통해	통하/VV+아/EC
종합	종합/NNG
이커머스	이커머스/NNG
모델을	모델/NNG+을/JKO
만들어	만들/VV+어/EC
낼	내/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


