# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.264
metadata : {}


# id : NWRW1800000032.264.1.1
“이태진 국편위원장 발언은 면피성교과서 집필기준 고쳐 재고시해야”

“이태진	“/SS+이태진/NNP
국편위원장	국편위원장/NNG
발언은	발언/NNG+은/JX
면피성교과서	면피/NNG+성/XSN+교과서/NNG
집필기준	집필/NNG+기준/NNG
고쳐	고치/VV+어/EC
재고시해야”	재/XPN+고시/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000032.264.2.1
역사학계 반응

역사학계	역사학/NNG+계/XSN
반응	반응/NNG


# id : NWRW1800000032.264.3.1
11일 이태진 국사편찬위원회(국편) 위원장이 뒤늦게 ‘5·18 민주화 운동’ ‘6월 민주항쟁’ ‘친일파 청산 노력’ 등이 역사 교과서에 반드시 포함돼야 한다고 밝혔지만, 교과서 집필자들과 역사학자들은 교과서 집필기준을 수정해 재고시하지 않는 한 교과서 역사 서술의 보수화를 막을 수 없을 것이라고 지적했다.

11일	11/SN+일/NNB
이태진	이태진/NNP
국사편찬위원회(국편)	국사/NNG+편찬/NNG+위원회/NNG+(/SS+국편/NNG+)/SS
위원장이	위원장/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
‘5·18	‘/SS+5/SN+·/SP+18/SN
민주화	민주/NNG+화/XSN
운동’	운동/NNG+’/SS
‘6월	‘/SS+6/SN+월/NNB
민주항쟁’	민주/NNG+항쟁/NNG+’/SS
‘친일파	‘/SS+친일파/NNG
청산	청산/NNG
노력’	노력/NNG+’/SS
등이	등/NNB+이/JKS
역사	역사/NNG
교과서에	교과서/NNG+에/JKB
반드시	반드시/MAG
포함돼야	포함/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
교과서	교과서/NNG
집필자들과	집필자/NNG+들/XSN+과/JC
역사학자들은	역사학자/NNG+들/XSN+은/JX
집필기준을	집필/NNG+기준/NNG+을/JKO
수정해	수정/NNG+하/XSV+아/EC
재고시하지	재/XPN+고시/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
한	한/NNG
서술의	서술/NNG+의/JKG
보수화를	보수/NNG+화/XSN+를/JKO
막을	막/VV+을/ETM
수	수/NNB
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.264.4.1
이인재 한국역사연구회 회장(연세대 역사문화학과 교수)은 이날 “교과서 집필기준에서 민주화 운동은 물론 이승만·박정희·전두환 정권의 독재에 대한 구체적인 언급을 모두 삭제해 사실상 독재를 미화하고 있는 게 진짜 문제”라며 “단지 ‘5·18 민주화 운동이나 6월 민주항쟁 등을 언급해야 한다’는 위원장의 말만으로는 집필자들이 자유롭게 교과서를 쓸 수 없을 것”이라고 말했다.

이인재	이인재/NNP
한국역사연구회	한국역사연구회/NNP
회장(연세대	회장/NNG+(/SS+연세대/NNP
역사문화학과	역사/NNG+문화학과/NNG
교수)은	교수/NNG+)/SS+은/JX
이날	이날/NNG
“교과서	“/SS+교과서/NNG
집필기준에서	집필/NNG+기준/NNG+에서/JKB
민주화	민주/NNG+화/XSN
운동은	운동/NNG+은/JX
물론	물론/MAG
이승만·박정희·전두환	이승만/NNP+·/SP+박정희/NNP+·/SP+전두환/NNP
정권의	정권/NNG+의/JKG
독재에	독재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
언급을	언급/NNG+을/JKO
모두	모두/MAG
삭제해	삭제/NNG+하/XSV+아/EC
사실상	사실상/MAG
독재를	독재/NNG+를/JKO
미화하고	미화/NNG+하/XSV+고/EC
있는	있/VA+는/ETM
게	거/NNB+이/JKS
진짜	진짜/NNG
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“단지	“/SS+단지/MAG
‘5·18	‘/SS+5/SN+·/SP+18/SN
운동이나	운동/NNG+이나/JC
6월	6/SN+월/NNB
민주항쟁	민주/NNG+항쟁/NNG
등을	등/NNB+을/JKO
언급해야	언급/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
위원장의	위원장/NNG+의/JKG
말만으로는	말/NNG+만/JX+으로/JKB+는/JX
집필자들이	집필자/NNG+들/XSN+이/JKS
자유롭게	자유/NNG+롭/XSA+게/EC
교과서를	교과서/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.264.5.1
교육과학기술부는 내년 4월 이뤄질 교과서 검정에 적용할 ‘검정 심사 기준’을 마련할 때, 삭제된 부분을 반영해 관련 내용이 충분히 기술되도록 한다는 입장이지만, 집필기준 재고시만큼 강제력이 있는 조처가 아니란 점에서 실효성이 없는 ‘면피용’이라는 비판이 나온다.

교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
내년	내년/NNG
4월	4/SN+월/NNB
이뤄질	이뤄지/VV+ㄹ/ETM
교과서	교과서/NNG
검정에	검정/NNG+에/JKB
적용할	적용/NNG+하/XSV+ㄹ/ETM
‘검정	‘/SS+검정/NNG
심사	심사/NNG
기준’을	기준/NNG+’/SS+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
때,	때/NNG+,/SP
삭제된	삭제/NNG+되/XSV+ㄴ/ETM
부분을	부분/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
관련	관련/NNG
내용이	내용/NNG+이/JKS
충분히	충분히/MAG
기술되도록	기술/NNG+되/XSV+도록/EC
한다는	하/VX+ㄴ다는/ETM
입장이지만,	입장/NNG+이/VCP+지만/EC+,/SP
집필기준	집필/NNG+기준/NNG
재고시만큼	재/XPN+고시/NNG+만큼/JKB
강제력이	강제력/NNG+이/JKS
있는	있/VA+는/ETM
조처가	조처/NNG+가/JKC
아니란	아니/VCN+란/ETM
점에서	점/NNG+에서/JKB
실효성이	실효/NNG+성/XSN+이/JKS
없는	없/VA+는/ETM
‘면피용’이라는	‘/SS+면피/NNG+용/XSN+’/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.264.6.1
주진오 한국교과서집필자협의회 회장(상명대 역사콘텐츠학과 교수)은 “역사학자들이 반대한 ‘자유민주주의’나 ‘한반도의 유일한 합법정부’라는 부분은 꼭 써야 한다고 해놓고, 민주화 운동에 대해서는 뒤늦게 문제가 되니까 ‘대강화(요약) 원칙’이라고 핑계를 대고 있다”며 “꼭 들어가야 하는 내용은 국편 위원장이 구두로 할 게 아니라 집필기준에 명시돼야 하기 때문에 재고시가 필요하다”고 지적했다.

주진오	주진오/NNP
한국교과서집필자협의회	한국교과서집필자협의회/NNP
회장(상명대	회장/NNG+(/SS+상명대/NNP
역사콘텐츠학과	역사/NNG+콘텐츠/NNG+학과/NNG
교수)은	교수/NNG+)/SS+은/JX
“역사학자들이	“/SS+역사학자/NNG+들/XSN+이/JKS
반대한	반대/NNG+하/XSV+ㄴ/ETM
‘자유민주주의’나	‘/SS+자유/NNG+민주주의/NNG+’/SS+나/JC
‘한반도의	‘/SS+한반도/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
합법정부’라는	합법/NNG+정부/NNG+’/SS+이/VCP+라는/ETM
부분은	부분/NNG+은/JX
꼭	꼭/MAG
써야	쓰/VV+어야/EC
