# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.376
metadata : {}


# id : NWRW1800000046.376.1.1
롯데 분쟁, 父子(신격호· 신동빈) 정면충돌

롯데	롯데/NNP
분쟁,	분쟁/NNG+,/SP
父子(신격호·	父子/SH+(/SS+신격호/NNP+·/SP
신동빈)	신동빈/NNP+)/SS
정면충돌	정면충돌/NNG


# id : NWRW1800000046.376.2.1
신격호 "한국롯데회장에 신동주 임명" 7월 17일 自筆 서명… 次男측 "차단된 가운데 만들어져 의혹, 법적 효력도 없다"

신격호	신격호/NNP
"한국롯데회장에	"/SS+한국/NNP+롯데/NNP+회장/NNG+에/JKB
신동주	신동주/NNP
임명"	임명/NNG+"/SS
7월	7/SN+월/NNB
17일	17/SN+일/NNB
自筆	自筆/SH
서명…	서명/NNG+…/SE
次男측	次男/SH+측/NNB
"차단된	"/SS+차단/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
만들어져	만들/VV+어/EC+지/VX+어/EC
의혹,	의혹/NNG+,/SP
법적	법/NNG+적/XSN
효력도	효력/NNG+도/JX
없다"	없/VA+다/EF+"/SS


# id : NWRW1800000046.376.3.1
롯데그룹 신격호 총괄회장의 장남(長男)인 신동주 전 일본 롯데홀딩스 부회장 측은 31일 신 총괄회장이 스스로의 뜻으로 차남(次男)인 신동빈 회장을 일본 롯데홀딩스 대표에서 해임했다는 내용이 담긴 육성 녹음 파일을 공개했다.

롯데그룹	롯데그룹/NNP
신격호	신격호/NNP
총괄회장의	총괄/NNG+회장/NNG+의/JKG
장남(長男)인	장남/NNG+(/SS+長男/SH+)/SS+이/VCP+ㄴ/ETM
신동주	신동주/NNP
전	전/MMD
일본	일본/NNP
롯데홀딩스	롯데홀딩스/NNP
부회장	부회장/NNG
측은	측/NNB+은/JX
31일	31/SN+일/NNB
신	신/NNP
총괄회장이	총괄/NNG+회장/NNG+이/JKS
스스로의	스스로/NNG+의/JKG
뜻으로	뜻/NNG+으로/JKB
차남(次男)인	차남/NNG+(/SS+次男/SH+)/SS+이/VCP+ㄴ/ETM
신동빈	신동빈/NNP
회장을	회장/NNG+을/JKO
대표에서	대표/NNG+에서/JKB
해임했다는	해임/NNG+하/XSV+았/EP+다는/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
육성	육성/NNG
녹음	녹음/NNG
파일을	파일/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.3.2
또 신 총괄회장이 장남을 한국 롯데그룹 회장으로 임명했다는 내용의 문서도 함께 내놓았다.

또	또/MAG
신	신/NNP
총괄회장이	총괄/NNG+회장/NNG+이/JKS
장남을	장남/NNG+을/JKO
한국	한국/NNP
롯데그룹	롯데그룹/NNP
회장으로	회장/NNG+으로/JKB
임명했다는	임명/NNG+하/XSV+았/EP+다는/ETM
내용의	내용/NNG+의/JKG
문서도	문서/NNG+도/JX
함께	함께/MAG
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.4.1
이 녹음과 문서가 사실이라면 롯데그룹 경영권 갈등은 형제 차원을 넘어 부자간 갈등으로 비화될 전망이다.

이	이/MMD
녹음과	녹음/NNG+과/JC
문서가	문서/NNG+가/JKS
사실이라면	사실/NNG+이/VCP+라면/EC
롯데그룹	롯데그룹/NNP
경영권	경영/NNG+권/XSN
갈등은	갈등/NNG+은/JX
형제	형제/NNG
차원을	차원/NNG+을/JKO
넘어	넘/VV+어/EC
부자간	부자간/NNG
갈등으로	갈등/NNG+으로/JKB
비화될	비화/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.376.5.1
KBS는 이날 "신 전 부회장 측이 제공한 것"이라며 지난 30일 오후 서울 소공동 롯데호텔 34층 신 총괄회장의 집무실에서 녹음한 신 총괄회장과 신동주 전 부회장 간 대화 내용을 공개했다.

KBS는	KBS/SL+는/JX
이날	이날/NNG
"신	"/SS+신/NNP
전	전/MMD
부회장	부회장/NNG
측이	측/NNB+이/JKS
제공한	제공/NNG+하/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
소공동	소공동/NNP
롯데호텔	롯데호텔/NNP
34층	34/SN+층/NNG
신	신/NNP
총괄회장의	총괄/NNG+회장/NNG+의/JKG
집무실에서	집무실/NNG+에서/JKB
녹음한	녹음/NNG+하/XSV+ㄴ/ETM
총괄회장과	총괄/NNG+회장/NNG+과/JC
신동주	신동주/NNP
간	간/NNB
대화	대화/NNG
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.376.5.2
