# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.364
metadata : {}


# id : NWRW1800000041.364.1.1
“격앙된 정윤회 씨, 법적 대응 통해 역사에 남기겠다고 말해”

“격앙된	“/SS+격앙/NNG+되/XSV+ㄴ/ETM
정윤회	정윤회/NNP
씨,	씨/NNB+,/SP
법적	법/NNG+적/XSN
대응	대응/NNG
통해	통하/VV+아/EC
역사에	역사/NNG+에/JKB
남기겠다고	남기/VV+겠/EP+다고/EC
말해”	말/NNG+하/XSV+아/EF+”/SS


# id : NWRW1800000041.364.2.1
[‘정윤회 국정개입 의혹’ 문건 파문] 정윤회씨 측근 인터뷰

[‘정윤회	[/SS+‘/SS+정윤회/NNP
국정개입	국정/NNG+개입/NNG
의혹’	의혹/NNG+’/SS
문건	문건/NNG
파문]	파문/NNG+]/SS
정윤회씨	정윤회/NNP+씨/NNB
측근	측근/NNG
인터뷰	인터뷰/NNG


# id : NWRW1800000041.364.3.1
청와대 공직기강비서관실의 동향보고서 유출 파문으로 또다시 ‘비선 실세’ 의혹의 중심에 선 정윤회 씨(59)가 청와대 측 인사들과는 별도로 문건 내용을 보도한 세계일보에 민형사상의 법적 대응을 취하겠다는 뜻을 30일 밝혔다.

청와대	청와대/NNP
공직기강비서관실의	공직/NNG+기강/NNG+비서관실/NNG+의/JKG
동향보고서	동향/NNG+보고서/NNG
유출	유출/NNG
파문으로	파문/NNG+으로/JKB
또다시	또다시/MAG
‘비선	‘/SS+비선/NNG
실세’	실세/NNG+’/SS
의혹의	의혹/NNG+의/JKG
중심에	중심/NNG+에/JKB
선	서/VV+ㄴ/ETM
정윤회	정윤회/NNP
씨(59)가	씨/NNB+(/SS+59/SN+)/SS+가/JKS
측	측/NNB
인사들과는	인사/NNG+들/XSN+과/JKB+는/JX
별도로	별도/NNG+로/JKB
문건	문건/NNG
내용을	내용/NNG+을/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
세계일보에	세계일보/NNP+에/JKB
민형사상의	민형사/NNG+상/XSN+의/JKG
법적	법/NNG+적/XSN
대응을	대응/NNG+을/JKO
취하겠다는	취하/VV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.364.4.1
