# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.40
metadata : {}


# id : NWRW1800000037.40.1.1
美 여성 3명 납치-감금 용의자 철면피 행각

美	美/SH
여성	여성/NNG
3명	3/SN+명/NNB
납치-감금	납치/NNG+-/SO+감금/NNG
용의자	용의자/NNG
철면피	철면피/NNG
행각	행각/NNG


# id : NWRW1800000037.40.2.1
실종자 위한 모금연주회 열고 피해자 어머니 찾아 위로까지 피해자 “또 다른 여성 있었다” 증언… 제4의 피해자 있을 가능성도

실종자	실종자/NNG
위한	위하/VV+ㄴ/ETM
모금연주회	모금/NNG+연주회/NNG
열고	열/VV+고/EC
피해자	피해자/NNG
어머니	어머니/NNG
찾아	찾/VV+아/EC
위로까지	위로/NNG+까지/JX
“또	“/SS+또/MAG
다른	다른/MMD
여성	여성/NNG
있었다”	있/VA+었/EP+다/EF+”/SS
증언…	증언/NNG+…/SE
제4의	제/XPN+4/SN+의/JKG
있을	있/VA+을/ETM
가능성도	가능/NNG+성/XSN+도/JX


# id : NWRW1800000037.40.3.1
여성 3명을 무려 10년간 감금하고 성노리개로 삼은 혐의로 체포된 미국 오하이오 주 클리블랜드의 납치 용의자 아리엘 카스트로 씨(52)가 자신이 납치한 여성을 찾으려는 이웃들과 함께 전단을 배포하고 모금을 위한다는 명목으로 악기를 연주하는 등 철면피 행각을 벌인 사실이 뒤늦게 확인됐다.

여성	여성/NNG
3명을	3/SN+명/NNB+을/JKO
무려	무려/MAG
10년간	10/SN+년/NNB+간/XSN
감금하고	감금/NNG+하/XSV+고/EC
성노리개로	성/NNG+노리개/NNG+로/JKB
삼은	삼/VV+은/ETM
혐의로	혐의/NNG+로/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
미국	미국/NNP
오하이오	오하이오/NNP
주	주/NNG
클리블랜드의	클리블랜드/NNP+의/JKG
납치	납치/NNG
용의자	용의자/NNG
아리엘	아리엘/NNP
카스트로	카스트로/NNP
씨(52)가	씨/NNB+(/SS+52/SN+)/SS+가/JKS
자신이	자신/NNG+이/JKS
납치한	납치/NNG+하/XSV+ㄴ/ETM
여성을	여성/NNG+을/JKO
찾으려는	찾/VV+으려는/ETM
이웃들과	이웃/NNG+들/XSN+과/JKB
함께	함께/MAG
전단을	전단/NNG+을/JKO
배포하고	배포/NNG+하/XSV+고/EC
모금을	모금/NNG+을/JKO
위한다는	위하/VV+ㄴ다는/ETM
명목으로	명목/NNG+으로/JKB
악기를	악기/NNG+를/JKO
연주하는	연주/NNG+하/XSV+는/ETM
등	등/NNB
철면피	철면피/NNG
행각을	행각/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.40.3.2
또 피해자 3명 중 한 명은 자신의 딸과 가장 친한 친구였으며, 제4의 피해자가 있을 가능성이 매우 큰 것으로 드러나 그의 폭력성과 야만성에 미국 전역이 몸서리치고 있다.

또	또/MAG
피해자	피해자/NNG
3명	3/SN+명/NNB
중	중/NNB
한	한/MMN
명은	명/NNB+은/JX
자신의	자신/NNG+의/JKG
딸과	딸/NNG+과/JKB
가장	가장/MAG
친한	친하/VA+ㄴ/ETM
친구였으며,	친구/NNG+이/VCP+었/EP+으며/EC+,/SP
제4의	제/XPN+4/SN+의/JKG
피해자가	피해자/NNG+가/JKS
있을	있/VA+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
매우	매우/MAG
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러나	드러나/VV+아/EC
그의	그/NP+의/JKG
폭력성과	폭력/NNG+성/XSN+과/JC
야만성에	야만/NNG+성/XSN+에/JKB
미국	미국/NNP
전역이	전역/NNG+이/JKS
몸서리치고	몸서리치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.40.4.1
카스트로 씨는 피해 여성 중 한 명인 지나 디지저스 씨(23)의 아버지와 친구 사이였으며 그의 부모가 당시 14세이던 디지저스 씨를 찾기 위해 얼굴 사진이 실린 전단을 돌릴 때 도왔다고 AP통신은 전했다.

카스트로	카스트로/NNP
씨는	씨/NNB+는/JX
피해	피해/NNG
여성	여성/NNG
중	중/NNB
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
지나	지나/NNP
디지저스	디지저스/NNP
씨(23)의	씨/NNB+(/SS+23/SN+)/SS+의/JKG
아버지와	아버지/NNG+와/JKB
친구	친구/NNG
사이였으며	사이/NNG+이/VCP+었/EP+으며/EC
그의	그/NP+의/JKG
부모가	부모/NNG+가/JKS
당시	당시/NNG
14세이던	14/SN+세/NNB+이/VCP+던/ETM
씨를	씨/NNB+를/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
얼굴	얼굴/NNG
사진이	사진/NNG+이/JKS
실린	실리/VV+ㄴ/ETM
전단을	전단/NNG+을/JKO
돌릴	돌리/VV+ㄹ/ETM
때	때/NNG
도왔다고	돕/VV+았/EP+다고/EC
AP통신은	AP통신/NNP+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.40.4.2
또 그는 지난해 실종된 디지저스 씨를 기리기 위한 이웃 주민들의 철야 촛불 모임에 참여한 디지저스 씨의 어머니를 찾아가 위로하기까지 했다고 전했다.

또	또/MAG
그는	그/NP+는/JX
지난해	지난해/NNG
실종된	실종/NNG+되/XSV+ㄴ/ETM
디지저스	디지저스/NNP
씨를	씨/NNB+를/JKO
기리기	기리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
이웃	이웃/NNG
주민들의	주민/NNG+들/XSN+의/JKG
철야	철야/NNG
촛불	촛불/NNG
모임에	모임/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
씨의	씨/NNB+의/JKG
어머니를	어머니/NNG+를/JKO
찾아가	찾아가/VV+아/EC
위로하기까지	위로/NNG+하/XSV+기/ETN+까지/JX
했다고	하/VX+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.40.5.1
영국 일간지 데일리메일은 카스트로 씨가 디지저스 씨를 납치한 이유는 그가 자신의 딸 알린과 가장 친한 친구여서 안면이 있었기 때문이라고 7일 보도했다.

영국	영국/NNP
일간지	일간지/NNG
데일리메일은	데일리메일/NNP+은/JX
카스트로	카스트로/NNP
씨가	씨/NNB+가/JKS
디지저스	디지저스/NNP
씨를	씨/NNB+를/JKO
납치한	납치/NNG+하/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
그가	그/NP+가/JKS
자신의	자신/NNG+의/JKG
딸	딸/NNG
