# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.355
metadata : {}


# id : NWRW1800000036.355.1.1
[특파원 칼럼] ‘미얀마의 길’과 북한 개혁 / 박현

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
‘미얀마의	‘/SS+미얀마/NNP+의/JKG
길’과	길/NNG+’/SS+과/JC
북한	북한/NNP
개혁	개혁/NNG
/	//SP
박현	박현/NNP


# id : NWRW1800000036.355.2.1
[한겨레] 버락 오바마 미국 대통령은 19일 미얀마에 6시간밖에 머물지 않았지만 그곳에서 상당히 감명을 받았다고 한다.

[한겨레]	[/SS+한겨레/NNP+]/SS
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
19일	19/SN+일/NNB
미얀마에	미얀마/NNP+에/JKB
6시간밖에	6/SN+시간/NNB+밖에/JX
머물지	머물/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
그곳에서	그곳/NP+에서/JKB
상당히	상당히/MAG
감명을	감명/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.355.2.2
수만 명의 시민·학생들이 연도에 몰려나와 성조기를 흔들며 그를 환영하는 모습은 미처 예상하지 못한 광경이었다는 것이다.

수만	수만/NR
명의	명/NNB+의/JKG
시민·학생들이	시민/NNG+·/SP+학생/NNG+들/XSN+이/JKS
연도에	연도/NNG+에/JKB
몰려나와	몰려나오/VV+아/EC
성조기를	성조기/NNG+를/JKO
흔들며	흔들/VV+며/EC
그를	그/NP+를/JKO
환영하는	환영/NNG+하/XSV+는/ETM
모습은	모습/NNG+은/JX
미처	미처/MAG
예상하지	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
광경이었다는	광경/NNG+이/VCP+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.355.2.3
1970~80년대 군사정권 시절 학창생활을 한 나로서는 상당수가 동원됐을 것이라는 의심을 하지 않을 수 없으나, 어쨌든 오바마 대통령은 그런 감정을 느꼈다고 백악관 관계자들은 전한다.

1970~80년대	1970/SN+~/SO+80/SN+년대/NNB
군사정권	군사/NNG+정권/NNG
시절	시절/NNG
학창생활을	학창/NNG+생활/NNG+을/JKO
한	하/VV+ㄴ/ETM
나로서는	나/NP+로서/JKB+는/JX
상당수가	상당수/NNG+가/JKS
동원됐을	동원/NNG+되/XSV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
의심을	의심/NNG+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없으나,	없/VA+으나/EC+,/SP
어쨌든	어쨌든/MAG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
그런	그런/MMD
감정을	감정/NNG+을/JKO
느꼈다고	느끼/VV+었/EP+다고/EC
백악관	백악관/NNP
