# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.247
metadata : {}


# id : NWRW1800000021.247.1.1
스타벅스, 인스턴트커피 내년 한국출시

스타벅스,	스타벅스/NNP+,/SP
인스턴트커피	인스턴트커피/NNG
내년	내년/NNG
한국출시	한국/NNP+출시/NNG


# id : NWRW1800000021.247.2.1
프리미엄 커피전문점인 스타벅스가 인스턴트커피를 내놓는다.

프리미엄	프리미엄/NNG
커피전문점인	커피/NNG+전문점/NNG+이/VCP+ㄴ/ETM
스타벅스가	스타벅스/NNP+가/JKS
인스턴트커피를	인스턴트커피/NNG+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000021.247.2.2
마틴 콜스 스타벅스 인터내셔널 사장은 28일 스타벅스 한국 진출 10주년을 기념해 서울 서대문구 대현동 이대점에서 열린 기자간담회에서 “올 초 미국 시장에 인스턴트커피 ‘비아(VIA)’를 내놓았다”며 “내년에 일본에 이어 한국 시장에도 판매하겠다”고 밝혔다.

마틴	마틴/NNP
콜스	콜스/NNP
스타벅스	스타벅스/NNP
인터내셔널	인터내셔널/NNP
사장은	사장/NNG+은/JX
28일	28/SN+일/NNB
한국	한국/NNP
진출	진출/NNG
10주년을	10/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
서울	서울/NNP
서대문구	서대문구/NNP
대현동	대현동/NNP
이대점에서	이대점/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“올	“/SS+올/NNG
초	초/NNB
미국	미국/NNP
시장에	시장/NNG+에/JKB
인스턴트커피	인스턴트커피/NNG
‘비아(VIA)’를	‘/SS+비아/NNP+(/SS+VIA/SL+)/SS+’/SS+를/JKO
내놓았다”며	내놓/VV+았/EP+다/EF+”/SS+며/EC
“내년에	“/SS+내년/NNG+에/JKB
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
시장에도	시장/NNG+에/JKB+도/JX
판매하겠다”고	판매/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.247.3.1
비아는 700억 달러(약 86조 원) 규모의 세계 인스턴트커피 시장을 겨냥해 개발됐다.

비아는	비아/NNP+는/JX
700억	700/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
86조	86/SN+조/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
세계	세계/NNG
인스턴트커피	인스턴트커피/NNG
시장을	시장/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.247.3.2
콜스 사장은 “기존 인스턴트커피와 달리 스타벅스가 사용하는 원두를 갈아 만들었다”며 “프리미엄 인스턴트커피 시장을 창출할 것”이라고 설명했다.

콜스	콜스/NNP
사장은	사장/NNG+은/JX
“기존	“/SS+기존/NNG
인스턴트커피와	인스턴트커피/NNG+와/JKB
달리	달리/MAG
스타벅스가	스타벅스/NNP+가/JKS
사용하는	사용/NNG+하/XSV+는/ETM
원두를	원두/NNG+를/JKO
갈아	갈/VV+아/EC
만들었다”며	만들/VV+었/EP+다/EF+”/SS+며/EC
“프리미엄	“/SS+프리미엄/NNG
인스턴트커피	인스턴트커피/NNG
시장을	시장/NNG+을/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.247.3.3
또 “글로벌 경기침체로 인해 저가 커피를 내놓는 것이 아니다”라고 덧붙였다.

또	또/MAG
“글로벌	“/SS+글로벌/NNG
경기침체로	경기/NNG+침체/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
저가	저가/NNG
커피를	커피/NNG+를/JKO
내놓는	내놓/VV+는/ETM
것이	것/NNB+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.247.4.1
세계적으로 20%대의 성장세를 지속하던 스타벅스는 불황 여파로 지난해 10% 성장률을 보이며 주춤했다.

세계적으로	세계/NNG+적/XSN+으로/JKB
20%대의	20/SN+%/SW+대/XSN+의/JKG
성장세를	성장세/NNG+를/JKO
지속하던	지속/NNG+하/XSV+던/ETM
스타벅스는	스타벅스/NNP+는/JX
불황	불황/NNG
여파로	여파/NNG+로/JKB
지난해	지난해/NNG
10%	10/SN+%/SW
성장률을	성장/NNG+률/XSN+을/JKO
보이며	보이/VV+며/EC
주춤했다.	주춤/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.247.4.2
전체 1만8000개 매장 중 700개 매장이 문을 닫기도 했다.

전체	전체/NNG
1만8000개	1/SN+만/NR+8000/SN+개/NNB
매장	매장/NNG
중	중/NNB
700개	700/SN+개/NNB
매장이	매장/NNG+이/JKS
문을	문/NNG+을/JKO
닫기도	닫/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.247.4.3
하지만 한국 시장은 지난해에도 27.2%의 성장률을 보였다.

하지만	하지만/MAJ
한국	한국/NNP
시장은	시장/NNG+은/JX
지난해에도	지난해/NNG+에/JKB+도/JX
27.2%의	27/SN+./SP+2/SN+%/SW+의/JKG
성장률을	성장/NNG+률/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.247.4.4
이날 콜스 사장은 “스타벅스코리아는 10년 만에 35개 도시에서 300개의 직영점을 내는 등 놀라운 성장을 이뤘다”며 “한국은 스타벅스의 주력 시장”이라고 말했다.

이날	이날/NNG
콜스	콜스/NNP
사장은	사장/NNG+은/JX
“스타벅스코리아는	“/SS+스타벅스코리아/NNP+는/JX
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
35개	35/SN+개/NNB
도시에서	도시/NNG+에서/JKB
300개의	300/SN+개/NNB+의/JKG
직영점을	직영점/NNG+을/JKO
내는	내/VV+는/ETM
등	등/NNB
놀라운	놀랍/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
이뤘다”며	이루/VV+었/EP+다/EF+”/SS+며/EC
“한국은	“/SS+한국/NNP+은/JX
스타벅스의	스타벅스/NNP+의/JKG
주력	주력/NNG
시장”이라고	시장/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.247.4.5
스타벅스코리아에 따르면 10년간 국내에서 판매된 스타벅스 커피는 모두 1억7000만 잔이다.

스타벅스코리아에	스타벅스코리아/NNP+에/JKB
따르면	따르/VV+면/EC
10년간	10/SN+년/NNB+간/XSN
국내에서	국내/NNG+에서/JKB
판매된	판매/NNG+되/XSV+ㄴ/ETM
스타벅스	스타벅스/NNP
커피는	커피/NNG+는/JX
모두	모두/MAG
1억7000만	1/SN+억/NR+7000/SN+만/NR
잔이다.	잔/NNG+이/VCP+다/EF+./SF


