# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.182
metadata : {}


# id : NWRW1800000028.182.1.1
‘하토야마 개혁’ 미완의 꿈으로

‘하토야마	‘/SS+하토야마/NNP
개혁’	개혁/NNG+’/SS
미완의	미완/NNG+의/JKG
꿈으로	꿈/NNG+으로/JKB


# id : NWRW1800000028.182.2.1
“후텐마 미군기지를 오키나와현 밖으로 이전하기 위해 노력했지만 해내지 못했습니다.

“후텐마	“/SS+후텐마/NNP
미군기지를	미군/NNG+기지/NNG+를/JKO
오키나와현	오키나와현/NNP
밖으로	밖/NNG+으로/JKB
이전하기	이전/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노력했지만	노력/NNG+하/XSV+았/EP+지만/EC
해내지	해내/VV+지/EC
못했습니다.	못하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000028.182.2.2
일-미 협력관계를 유지하지 않으면 안 됐던 비통한 마음을 여러분이 이해해 주셨으면 합니다.”

일-미	일/NNP+-/SO+미/NNP
협력관계를	협력/NNG+관계/NNG+를/JKO
유지하지	유지/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
됐던	되/VV+었/EP+던/ETM
비통한	비통/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
여러분이	여러분/NP+이/JKS
이해해	이해/NNG+하/XSV+아/EC
주셨으면	주/VX+시/EP+었/EP+으면/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.182.3.1
하토야마 유키오 총리의 2일 연설은 사임연설로선 이례적으로 길었다.

하토야마	하토야마/NNP
유키오	유키오/NNP
총리의	총리/NNG+의/JKG
2일	2/SN+일/NNB
연설은	연설/NNG+은/JX
사임연설로선	사임/NNG+연설/NNG+로서/JKB+ㄴ/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
길었다.	길/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.182.3.2
20분 넘게 이어진 연설 곳곳에서는 이루지 못한 꿈에 대한 아쉬움이 짙게 배어났다.

20분	20/SN+분/NNB
넘게	넘/VV+게/EC
이어진	이어지/VV+ㄴ/ETM
연설	연설/NNG
곳곳에서는	곳곳/NNG+에서/JKB+는/JX
이루지	이루/VV+지/EC
못한	못하/VX+ㄴ/ETM
꿈에	꿈/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
아쉬움이	아쉬움/NNG+이/JKS
짙게	짙/VA+게/EC
배어났다.	배어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.4.1
그는 후텐마 기지 문제와 관련해 “미국에 의존하는 안전보장이 앞으로 50년, 100년 계속될 수 있다고는 생각하지 않는다”며 “일본의 평화를 일본인 자신들이 만들 때를 구하지 않으면 안 된다”고 말했다.

그는	그/NP+는/JX
후텐마	후텐마/NNP
기지	기지/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“미국에	“/SS+미국/NNP+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
안전보장이	안전/NNG+보장/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
50년,	50/SN+년/NNB+,/SP
100년	100/SN+년/NNB
계속될	계속/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다고는	있/VA+다고/EC+는/JX
생각하지	생각/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“일본의	“/SS+일본/NNP+의/JKG
평화를	평화/NNG+를/JKO
일본인	일본인/NNG
자신들이	자신/NNG+들/XSN+이/JKS
만들	만들/VV+ㄹ/ETM
때를	때/NNG+를/JKO
구하지	구하/VV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.4.2
‘대등한 미-일 관계’라는 애초 자신의 뜻이 옳았음을 에둘러 내비친 것이다.

‘대등한	‘/SS+대등/NNG+하/XSA+ㄴ/ETM
미-일	미/NNP+-/SO+일/NNP
관계’라는	관계/NNG+’/SS+이/VCP+라는/ETM
애초	애초/NNG
자신의	자신/NNG+의/JKG
뜻이	뜻/NNG+이/JKS
옳았음을	옳/VA+았/EP+음/ETN+을/JKO
에둘러	에두르/VV+어/EC
내비친	내비치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.182.5.1
동북아 공동체론에 대한 강조도 잊지 않았다.

동북아	동북아/NNP
공동체론에	공동체/NNG+론/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
강조도	강조/NNG+도/JX
잊지	잊/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.182.5.2
그는 “사흘 전 한국의 제주도에 갔을 때 ‘동아시아는 하나’라는 표어를 봤다”며 “지금 당장은 아니지만 언젠가는 반드시 그런 날이 온다”고 말했다.

그는	그/NP+는/JX
“사흘	“/SS+사흘/NNG
전	전/NNG
한국의	한국/NNP+의/JKG
제주도에	제주도/NNP+에/JKB
갔을	가/VV+았/EP+을/ETM
때	때/NNG
‘동아시아는	‘/SS+동아시아/NNP+는/JX
하나’라는	하나/NR+’/SS+이/VCP+라는/ETM
표어를	표어/NNG+를/JKO
봤다”며	보/VV+았/EP+다/EF+”/SS+며/EC
“지금	“/SS+지금/MAG
당장은	당장/NNG+은/JX
아니지만	아니/VCN+지만/EC
언젠가는	언젠가/MAG+는/JX
반드시	반드시/MAG
그런	그런/MMD
날이	날/NNG+이/JKS
온다”고	오/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.6.1
하토야마 총리는 민주당 정권 출범 이래 강조해온 관료정치 개혁이 여전히 필요하다고 강조했다.

하토야마	하토야마/NNP
총리는	총리/NNG+는/JX
민주당	민주당/NNP
정권	정권/NNG
출범	출범/NNG
이래	이래/NNB
강조해온	강조/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
관료정치	관료/NNG+정치/NNG
개혁이	개혁/NNG+이/JKS
여전히	여전히/MAG
필요하다고	필요/NNG+하/XSA+다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.182.6.2
“국가가 위이고 지역이 아래인 것은 이상하다. 지역이 주역이 되는 일본을 만들어야 한다”며 “중앙집권 시대가 아직 끝나지 않았다”고 말했다.

“국가가	“/SS+국가/NNG+가/JKS
위이고	위/NNG+이/VCP+고/EC
지역이	지역/NNG+이/JKS
아래인	아래/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
이상하다.	이상/NNG+하/XSA+다/EF+./SF
주역이	주역/NNG+이/JKC
되는	되/VV+는/ETM
일본을	일본/NNP+을/JKO
만들어야	만들/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“중앙집권	“/SS+중앙/NNG+집권/NNG
시대가	시대/NNG+가/JKS
아직	아직/MAG
