# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.42
metadata : {}


# id : NWRW1800000048.42.1.1
거꾸로 가는 환경정책

거꾸로	거꾸로/MAG
가는	가/VV+는/ETM
환경정책	환경/NNG+정책/NNG


# id : NWRW1800000048.42.2.1
HERI의 눈

HERI의	HERI/SL+의/JKG
눈	눈/NNG


# id : NWRW1800000048.42.3.1
지난 5월 지속가능발전을 위한 도시 연구를 위해 중국과 싱가포르를 방문했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
지속가능발전을	지속/NNG+가능/NNG+발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
도시	도시/NNG
연구를	연구/NNG+를/JKO
위해	위하/VV+아/EC
중국과	중국/NNP+과/JC
싱가포르를	싱가포르/NNP+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.42.3.2
현장에서 만난 공무원들은 우리나라의 ‘쓰레기 종량제’를 폐기물 정책의 모범 사례로 꼽았다.

현장에서	현장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
공무원들은	공무원/NNG+들/XSN+은/JX
우리나라의	우리나라/NNG+의/JKG
‘쓰레기	‘/SS+쓰레기/NNG
종량제’를	종량제/NNG+’/SS+를/JKO
폐기물	폐기물/NNG
정책의	정책/NNG+의/JKG
모범	모범/NNG
사례로	사례/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.42.3.3
20년 전 일본과 스웨덴의 정책을 벤치마킹해 도입한 쓰레기 종량제는 국제적으로도 높게 평가되는 환경 정책 중 하나다.

20년	20/SN+년/NNB
전	전/NNG
일본과	일본/NNP+과/JC
스웨덴의	스웨덴/NNP+의/JKG
정책을	정책/NNG+을/JKO
벤치마킹해	벤치마킹/NNG+하/XSV+아/EC
도입한	도입/NNG+하/XSV+ㄴ/ETM
쓰레기	쓰레기/NNG
종량제는	종량제/NNG+는/JX
국제적으로도	국제/NNG+적/XSN+으로/JKB+도/JX
높게	높/VA+게/EC
평가되는	평가/NNG+되/XSV+는/ETM
환경	환경/NNG
정책	정책/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.3.4
당시 담당부처인 환경처를 환경부로 승격하고, 친환경 폐기물 처리의 필요성을 국민들에게 설득한 정부의 강력한 의지와 실행력이 빚어낸 성과라 할 수 있다.

당시	당시/NNG
담당부처인	담당/NNG+부처/NNG+이/VCP+ㄴ/ETM
환경처를	환경/NNG+처/NNG+를/JKO
환경부로	환경부/NNG+로/JKB
승격하고,	승격/NNG+하/XSV+고/EC+,/SP
친환경	친/XPN+환경/NNG
폐기물	폐기물/NNG
처리의	처리/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
국민들에게	국민/NNG+들/XSN+에게/JKB
설득한	설득/NNG+하/XSV+ㄴ/ETM
정부의	정부/NNG+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
의지와	의지/NNG+와/JC
실행력이	실행력/NNG+이/JKS
빚어낸	빚어내/VV+ㄴ/ETM
성과라	성과/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.42.4.1
하지만 최근 우리 정부의 환경 정책은 20년 전보다 뒤처지는 모양새다.

하지만	하지만/MAJ
최근	최근/MAG
우리	우리/NP
정부의	정부/NNG+의/JKG
환경	환경/NNG
정책은	정책/NNG+은/JX
20년	20/SN+년/NNB
전보다	전/NNG+보다/JKB
뒤처지는	뒤처지/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.4.2
지난 6월 정부는 한시적으로 전기요금 누진율 적용 단계를 낮추는 동시에 기본요금과 단가도 낮추겠다고 발표했다.

지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
정부는	정부/NNG+는/JX
한시적으로	한시/NNG+적/XSN+으로/JKB
전기요금	전기/NNG+요금/NNG
누진율	누진/NNG+율/XSN
적용	적용/NNG
단계를	단계/NNG+를/JKO
낮추는	낮추/VV+는/ETM
동시에	동시/NNG+에/JKB
기본요금과	기본요금/NNG+과/JC
단가도	단가/NNG+도/JX
낮추겠다고	낮추/VV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.42.4.3
현재 일본·독일 등 선진국보다 30% 이상 싼 국내 전기요금이 더 내려간다는 의미다.

현재	현재/MAG
일본·독일	일본/NNP+·/SP+독일/NNP
등	등/NNB
선진국보다	선진국/NNG+보다/JKB
30%	30/SN+%/SW
이상	이상/NNG
싼	싸/VA+ㄴ/ETM
국내	국내/NNG
전기요금이	전기/NNG+요금/NNG+이/JKS
더	더/MAG
내려간다는	내려가/VV+ㄴ다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.4.4
이어 같은 달 말에는 유엔에 온실가스 감축 목표치를 2030년 배출량 전망치 대비 37%(절대량 5억3590만t)로 제출했다.

이어	이어/MAG
같은	같/VA+은/ETM
달	달/NNG
말에는	말/NNB+에/JKB+는/JX
유엔에	유엔/NNP+에/JKB
온실가스	온실가스/NNG
감축	감축/NNG
목표치를	목표/NNG+치/XSN+를/JKO
2030년	2030/SN+년/NNB
배출량	배출량/NNG
전망치	전망/NNG+치/XSN
대비	대비/NNG
37%(절대량	37/SN+%/SW+(/SS+절대량/NNG
5억3590만t)로	5/SN+억/NR+3590/SN+만/NR+t/SW+)/SS+로/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.42.4.5
2009년 이명박 정부가 발표한 2020년까지의 감축 목표치(절대량 5억4300만t)보다 적은 배출량이지만, 장기적 감축 경로로 볼 때 2030년까지 현 정부가 발표한 감축 절대량을 달성하기는 현실적으로 불가능하다고 전문가들은 지적한다.

2009년	2009/SN+년/NNB
이명박	이명박/NNP
정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
2020년까지의	2020/SN+년/NNB+까지/JX+의/JKG
감축	감축/NNG
목표치(절대량	목표/NNG+치/XSN+(/SS+절대량/NNG
5억4300만t)보다	5/SN+억/NR+4300/SN+만/NR+t/SW+)/SS+보다/JKB
적은	적/VA+은/ETM
배출량이지만,	배출량/NNG+이/VCP+지만/EC+,/SP
장기적	장기/NNG+적/XSN
경로로	경로/NNG+로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
2030년까지	2030/SN+년/NNB+까지/JX
현	현/MMD
절대량을	절대량/NNG+을/JKO
달성하기는	달성/NNG+하/XSV+기/ETN+는/JX
현실적으로	현실/NNG+적/XSN+으로/JKB
불가능하다고	불/XPN+가능/NNG+하/XSA+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.42.4.6
전기 소비율을 낮추고 온실가스를 감축하겠다는 국제적 흐름에 뒤처지는 행보라 할 수 있다.

전기	전기/NNG
소비율을	소비/NNG+율/XSN+을/JKO
낮추고	낮추/VV+고/EC
온실가스를	온실가스/NNG+를/JKO
감축하겠다는	감축/NNG+하/XSV+겠/EP+다는/ETM
국제적	국제/NNG+적/XSN
흐름에	흐름/NNG+에/JKB
뒤처지는	뒤처지/VV+는/ETM
행보라	행보/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.42.5.1
환경 문제는 개인이나 일부 환경단체의 활동만으로는 풀기 어려운 문제다.

환경	환경/NNG
문제는	문제/NNG+는/JX
개인이나	개인/NNG+이나/JC
일부	일부/NNG
환경단체의	환경/NNG+단체/NNG+의/JKG
활동만으로는	활동/NNG+만/JX+으로/JKB+는/JX
풀기	풀/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.42.5.2
좀더 많은 사회 구성원들이 환경 보호에 참여하고 시장이 올바른 방향으로 움직일 때 긍정적인 영향력이 나타날 수 있다.

좀더	좀/MAG+더/MAG
많은	많/VA+은/ETM
사회	사회/NNG
구성원들이	구성원/NNG+들/XSN+이/JKS
환경	환경/NNG
보호에	보호/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
시장이	시장/NNG+이/JKS
올바른	올바르/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
움직일	움직이/VV+ㄹ/ETM
때	때/NNG
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향력이	영향력/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.42.5.3
