# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.65
metadata : {}


# id : NWRW1800000025.65.1.1
아카데미, 82년 만에 女감독 품안에

아카데미,	아카데미/NNG+,/SP
82년	82/SN+년/NNB
만에	만/NNB+에/JKB
女감독	女/SH+감독/NNG
품안에	품/NNG+안/NNG+에/JKB


# id : NWRW1800000025.65.2.1
미국 최대의 영화 시상식인 아카데미가 82년 역사상 처음으로 여성 감독에게 작품상과 감독상을 수여했다.

미국	미국/NNP
최대의	최대/NNG+의/JKG
영화	영화/NNG
시상식인	시상식/NNG+이/VCP+ㄴ/ETM
아카데미가	아카데미/NNG+가/JKS
82년	82/SN+년/NNB
역사상	역사/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
여성	여성/NNG
감독에게	감독/NNG+에게/JKB
작품상과	작품상/NNG+과/JC
감독상을	감독상/NNG+을/JKO
수여했다.	수여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.65.2.2
▶A26면에 관련기사

▶A26면에	▶/SW+A/SL+26/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000025.65.3.1
7일 미국 로스앤젤레스 코닥 극장에서 열린 제82회 아카데미상 시상식에서 캐스린 비글로 감독(59)의 ‘허트 로커(The Hurt Locker·고통을 주는 사람)’가 작품 감독 각본 편집 음향편집 음향효과 등 6개 부문을 수상했다.

7일	7/SN+일/NNB
미국	미국/NNP
로스앤젤레스	로스앤젤레스/NNP
코닥	코닥/NNP
극장에서	극장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
제82회	제/XPN+82/SN+회/NNB
아카데미상	아카데미상/NNG
시상식에서	시상식/NNG+에서/JKB
캐스린	캐스린/NNP
비글로	비글로/NNP
감독(59)의	감독/NNG+(/SS+59/SN+)/SS+의/JKG
‘허트	‘/SS+허트/NNP
로커(The	로커/NNP+(/SS+The/SL
Hurt	Hurt/SL
Locker·고통을	Locker/SL+·/SP+고통/NNG+을/JKO
주는	주/VV+는/ETM
사람)’가	사람/NNG+)/SS+’/SS+가/JKS
작품	작품/NNG
감독	감독/NNG
각본	각본/NNG
편집	편집/NNG
음향편집	음향/NNG+편집/NNG
음향효과	음향/NNG+효과/NNG
등	등/NNB
6개	6/SN+개/NNB
부문을	부문/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.65.3.2
비글로 감독은 ‘블루 스틸’ ‘폭풍 속으로’ ‘K-19 위도우메이커’ 등 액션영화를 많이 연출해 할리우드에서 ‘여장부’로 불린다.

비글로	비글로/NNP
감독은	감독/NNG+은/JX
‘블루	‘/SS+블루/NNP
스틸’	스틸/NNP+’/SS
‘폭풍	‘/SS+폭풍/NNG
속으로’	속/NNG+으로/JKB+’/SS
‘K-19	‘/SS+K/SL+-/SO+19/SN
위도우메이커’	위도우메이커/NNP+’/SS
등	등/NNB
액션영화를	액션/NNG+영화/NNG+를/JKO
많이	많이/MAG
연출해	연출/NNG+하/XSV+아/EC
할리우드에서	할리우드/NNP+에서/JKB
‘여장부’로	‘/SS+여장부/NNG+’/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.65.3.3
‘아바타’의 제임스 캐머런 감독(56)과 1989년 결혼했다가 2년 만에 이혼했다.

‘아바타’의	‘/SS+아바타/NNP+’/SS+의/JKG
제임스	제임스/NNP
캐머런	캐머런/NNP
감독(56)과	감독/NNG+(/SS+56/SN+)/SS+과/JKB
1989년	1989/SN+년/NNB
결혼했다가	결혼/NNG+하/XSV+았/EP+다가/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
이혼했다.	이혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.65.3.4
캐머런 감독은 7개 부문에서 전처(前妻)와 맞대결을 펼쳤으나 촬영 미술 시각효과 등 3개 부문을 받는 데 그쳤다.

캐머런	캐머런/NNP
감독은	감독/NNG+은/JX
7개	7/SN+개/NNB
부문에서	부문/NNG+에서/JKB
전처(前妻)와	전처/NNG+(/SS+前妻/SH+)/SS+와/JKB
맞대결을	맞대결/NNG+을/JKO
펼쳤으나	펼치/VV+었/EP+으나/EC
촬영	촬영/NNG
미술	미술/NNG
시각효과	시각/NNG+효과/NNG
등	등/NNB
3개	3/SN+개/NNB
부문을	부문/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.65.3.5
두 영화는 각각 9개 부문 후보에 올랐다.

두	두/MMN
영화는	영화/NNG+는/JX
각각	각각/MAG
9개	9/SN+개/NNB
부문	부문/NNG
후보에	후보/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.65.4.1
‘허트 로커’는 이라크 바그다드를 배경으로 미군 폭발물 제거 부대의 이야기를 그린 영화다.

‘허트	‘/SS+허트/NNP
로커’는	로커/NNP+’/SS+는/JX
이라크	이라크/NNP
바그다드를	바그다드/NNP+를/JKO
배경으로	배경/NNG+으로/JKB
미군	미군/NNG
폭발물	폭발물/NNG
제거	제거/NNG
부대의	부대/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
영화다.	영화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.65.4.2
한국에서는 4월 개봉 예정이다.

한국에서는	한국/NNP+에서/JKB+는/JX
4월	4/SN+월/NNB
개봉	개봉/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


