# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.384
metadata : {}


# id : NWRW1800000041.384.1.1
[수도권]박홍섭 서울 마포구청장… “마포, 교육문화 중심지로 거듭나게 할것”

[수도권]박홍섭	[/SS+수도/NNG+권/XSN+]/SS+박홍섭/NNP
서울	서울/NNP
마포구청장…	마포구청장/NNG+…/SE
“마포,	“/SS+마포/NNP+,/SP
교육문화	교육/NNG+문화/NNG
중심지로	중심지/NNG+로/JKB
거듭나게	거듭나/VV+게/EC
할것”	하/VX+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000041.384.2.1
[기초단체장에게 듣는다]

[기초단체장에게	[/SS+기초/NNG+단체장/NNG+에게/JKB
듣는다]	듣/VV+는다/EF+]/SS


# id : NWRW1800000041.384.3.1
6·4지방선거에서 3선에 성공한 박홍섭 마포구청장(72·사진)은 마포구에서 태어나 평생을 살아온 ‘마포 토박이’다.

6·4지방선거에서	6/SN+·/SP+4/SN+지방/NNG+선거/NNG+에서/JKB
3선에	3/SN+선/NNB+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
박홍섭	박홍섭/NNP
마포구청장(72·사진)은	마포구청장/NNG+(/SS+72/SN+·/SP+사진/NNG+)/SS+은/JX
마포구에서	마포구/NNP+에서/JKB
태어나	태어나/VV+아/EC
평생을	평생/NNG+을/JKO
살아온	살아오/VV+ㄴ/ETM
‘마포	‘/SS+마포/NNP
토박이’다.	토박이/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.384.4.1
“마포에 내 발길 안 닿은 곳이 없을 듯해요.

“마포에	“/SS+마포/NNP+에/JKB
내	나/NP+의/JKG
발길	발길/NNG
안	안/MAG
닿은	닿/VV+은/ETM
곳이	곳/NNG+이/JKS
없을	없/VA+을/ETM
듯해요.	듯/NNB+하/XSA+아요/EF+./SF


# id : NWRW1800000041.384.4.2
발길마다 신뢰를 심어왔기 때문에 다시 일할 기회를 얻은 것 같아요.

