# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.14
metadata : {}


# id : NWRW1800000048.14.1.1
“AIIB, 아시아 인프라사업에 큰 기회”

“AIIB,	“/SS+AIIB/SL+,/SP
아시아	아시아/NNP
인프라사업에	인프라/NNG+사업/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기회”	기회/NNG+”/SS


# id : NWRW1800000048.14.2.1
업계·연구기관들 “경제 실익 높다”

업계·연구기관들	업계/NNG+·/SP+연구/NNG+기관/NNG+들/XSN
“경제	“/SS+경제/NNG
실익	실익/NNG
높다”	높/VA+다/EF+”/SS


# id : NWRW1800000048.14.3.1
건설·토목에서 전력·통신까지 망라

건설·토목에서	건설/NNG+·/SP+토목/NNG+에서/JKB
전력·통신까지	전력/NNG+·/SP+통신/NNG+까지/JX
망라	망라/NNG


# id : NWRW1800000048.14.4.1
중국 ‘실크로드’ 구축에 주로 쓰일 듯

중국	중국/NNP
‘실크로드’	‘/SS+실크로드/NNP+’/SS
구축에	구축/NNG+에/JKB
주로	주로/MAG
쓰일	쓰이/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000048.14.5.1
지분율 따라 사업참여 기회 주어져

지분율	지분/NNG+율/XSN
따라	따르/VV+아/EC
사업참여	사업/NNG+참여/NNG
기회	기회/NNG
주어져	주어지/VV+어/EC


# id : NWRW1800000048.14.6.1
업계, 더 많은 지분 확보 요청키로

업계,	업계/NNG+,/SP
더	더/MAG
많은	많/VA+은/ETM
지분	지분/NNG
확보	확보/NNG
요청키로	요청/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000048.14.7.1
중국이 주도하는 아시아인프라투자은행(AIIB) 창립회원국 가입신청 마감이 이달 말로 다가온 가운데 이 은행이 인프라건설뿐 아니라 전력·통신 등 여러 부문에 걸쳐 우리 기업에 막대한 사업기회를 제공할 것이라는 전망이 나오고 있다.

중국이	중국/NNP+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
아시아인프라투자은행(AIIB)	아시아인프라투자은행/NNP+(/SS+AIIB/SL+)/SS
창립회원국	창립/NNG+회원국/NNG
가입신청	가입/NNG+신청/NNG
마감이	마감/NNG+이/JKS
이달	이달/NNG
말로	말/NNB+로/JKB
다가온	다가오/VV+ㄴ/ETM
가운데	가운데/NNG
이	이/MMD
은행이	은행/NNG+이/JKS
인프라건설뿐	인프라/NNG+건설/NNG+뿐/JX
아니라	아니/VCN+라/EC
전력·통신	전력/NNG+·/SP+통신/NNG
등	등/NNB
여러	여러/MMN
부문에	부문/NNG+에/JKB
걸쳐	걸치/VV+어/EC
우리	우리/NP
기업에	기업/NNG+에/JKB
막대한	막대하/VA+ㄴ/ETM
사업기회를	사업/NNG+기회/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.14.7.2
미국과 중국 사이의 정치외교적 고려뿐 아니라 우리 기업의 경제적 실익을 한복판에 놓고 참여 및 출자지분 확보를 적극 검토해야 한다는 목소리가 업계 안팎에서 커지고 있다.

미국과	미국/NNP+과/JC
중국	중국/NNP
사이의	사이/NNG+의/JKG
정치외교적	정치/NNG+외교/NNG+적/XSN
고려뿐	고려/NNG+뿐/JX
아니라	아니/VCN+라/EC
우리	우리/NP
기업의	기업/NNG+의/JKG
경제적	경제/NNG+적/XSN
실익을	실익/NNG+을/JKO
한복판에	한/XPN+복판/NNG+에/JKB
놓고	놓/VV+고/EC
참여	참여/NNG
및	및/MAG
출자지분	출자/NNG+지분/NNG
확보를	확보/NNG+를/JKO
적극	적극/NNG
검토해야	검토/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
업계	업계/NNG
안팎에서	안팎/NNG+에서/JKB
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.14.8.1
업계 및 국책·민간경제연구기관의 말을 종합하면, AIIB는 통합적인 지역개발을 지향한다.

업계	업계/NNG
및	및/MAG
국책·민간경제연구기관의	국책/NNG+·/SP+민간/NNG+경제/NNG+연구/NNG+기관/NNG+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
AIIB는	AIIB/SL+는/JX
통합적인	통합/NNG+적/XSN+이/VCP+ㄴ/ETM
지역개발을	지역/NNG+개발/NNG+을/JKO
지향한다.	지향/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.14.8.2
따라서 건설·토목 인프라뿐 아니라 전력·상하수도·통신 등 생활에 필요한 거의 모든 인프라 건설자금 공급에 나설 것으로 전망된다.

따라서	따라서/MAJ
건설·토목	건설/NNG+·/SP+토목/NNG
인프라뿐	인프라/NNG+뿐/JX
아니라	아니/VCN+라/EC
전력·상하수도·통신	전력/NNG+·/SP+상하수도/NNG+·/SP+통신/NNG
등	등/NNB
생활에	생활/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
거의	거의/MAG
모든	모든/MMN
인프라	인프라/NNG
건설자금	건설/NNG+자금/NNG
공급에	공급/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.14.8.3
이 은행의 재원은 시진핑 중국 주석이 표방한 ‘일대일로’(육상 및 해상을 잇는 아시아 실크로드 인프라투자) 전략에 주로 사용될 예정이다.

이	이/MMD
은행의	은행/NNG+의/JKG
재원은	재원/NNG+은/JX
시진핑	시진핑/NNP
중국	중국/NNP
주석이	주석/NNG+이/JKS
표방한	표방/NNG+하/XSV+ㄴ/ETM
‘일대일로’(육상	‘/SS+일대일로/NNG+’/SS+(/SS+육상/NNG
및	및/MAG
해상을	해상/NNG+을/JKO
잇는	잇/VV+는/ETM
아시아	아시아/NNP
실크로드	실크로드/NNP
인프라투자)	인프라/NNG+투자/NNG+)/SS
전략에	전략/NNG+에/JKB
주로	주로/MAG
사용될	사용/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.14.8.4
중국 국제금융유한공사에 따르면 중국 중앙정부는 이 ‘일대일로’에 향후 10년간 1조6천억 달러를 투자할 것으로 추산된다.

중국	중국/NNP
국제금융유한공사에	국제/NNG+금융/NNG+유한/NNG+공사/NNG+에/JKB
따르면	따르/VV+면/EC
중앙정부는	중앙/NNG+정부/NNG+는/JX
이	이/MMD
‘일대일로’에	‘/SS+일대일로/NNG+’/SS+에/JKB
향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
1조6천억	1/SN+조/NR+6/SN+천억/NR
달러를	달러/NNB+를/JKO
투자할	투자/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.14.9.1
임호열 대외경제정책연구원 국제협력정책실장은 “AIIB 재원의 사용처가 도로건설·교통인프라 구축뿐 아니라 주택·전기·통신시설까지 포괄하고 있어 우리 관련 기업마다 상당한 관심을 가질 수밖에 없다”며 “국내 건설경기가 좋지 않은 상황에서 건설강국인 우리나라 기업들이 장비와 시설을 ‘일대일로’ 같은 수익성 높은 사업에 진출할 좋은 기회”라고 말했다.

임호열	임호열/NNP
대외경제정책연구원	대외/NNG+경제/NNG+정책/NNG+연구원/NNG
국제협력정책실장은	국제/NNG+협력/NNG+정책실장/NNG+은/JX
“AIIB	“/SS+AIIB/SL
재원의	재원/NNG+의/JKG
사용처가	사용처/NNG+가/JKS
도로건설·교통인프라	도로/NNG+건설/NNG+·/SP+교통/NNG+인프라/NNG
구축뿐	구축/NNG+뿐/JX
아니라	아니/VCN+라/EC
주택·전기·통신시설까지	주택/NNG+·/SP+전기/NNG+·/SP+통신/NNG+시설/NNG+까지/JX
포괄하고	포괄/NNG+하/XSV+고/EC
있어	있/VX+어/EC
우리	우리/NP
관련	관련/NNG
기업마다	기업/NNG+마다/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“국내	“/SS+국내/NNG
건설경기가	건설/NNG+경기/NNG+가/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
건설강국인	건설/NNG+강국/NNG+이/VCP+ㄴ/ETM
우리나라	우리나라/NNG
기업들이	기업/NNG+들/XSN+이/JKS
장비와	장비/NNG+와/JC
시설을	시설/NNG+을/JKO
‘일대일로’	‘/SS+일대일로/NNG+’/SS
같은	같/VA+은/ETM
수익성	수익/NNG+성/XSN
높은	높/VA+은/ETM
사업에	사업/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
좋은	좋/VA+은/ETM
기회”라고	기회/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.14.9.2
일본이 최근 이 은행 출자국 참여를 적극 재검토하는 쪽으로 태도를 바꿨고, 미국의 동맹국인 영국·뉴질랜드가 참여하기로 한 것도 자국 기업의 막대한 경제적 이익을 고려했기 때문이란 분석이 나온다.

일본이	일본/NNP+이/JKS
최근	최근/MAG
이	이/MMD
은행	은행/NNG
출자국	출자국/NNG
참여를	참여/NNG+를/JKO
적극	적극/NNG
재검토하는	재/XPN+검토/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
태도를	태도/NNG+를/JKO
바꿨고,	바꾸/VV+었/EP+고/EC+,/SP
미국의	미국/NNP+의/JKG
동맹국인	동맹국/NNG+이/VCP+ㄴ/ETM
영국·뉴질랜드가	영국/NNP+·/SP+뉴질랜드/NNP+가/JKS
참여하기로	참여/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
자국	자국/NNG
기업의	기업/NNG+의/JKG
막대한	막대하/VA+ㄴ/ETM
경제적	경제/NNG+적/XSN
이익을	이익/NNG+을/JKO
