# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.206
metadata : {}


# id : NWRW1800000021.206.1.1
“한국식 거리응원 도입, 남아공 화합 축제로”

“한국식	“/SS+한국식/NNG
거리응원	거리/NNG+응원/NNG
도입,	도입/NNG+,/SP
남아공	남아공/NNP
화합	화합/NNG
축제로”	축제/NNG+로/JKB+”/SS


# id : NWRW1800000021.206.2.1
축구는 스포츠 이상이다.

축구는	축구/NNG+는/JX
스포츠	스포츠/NNG
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.206.2.2
국민을 하나로 묶고 정치가 해결할 수 없는 일을 해낸다.

국민을	국민/NNG+을/JKO
하나로	하나/NR+로/JKB
묶고	묶/VV+고/EC
정치가	정치/NNG+가/JKS
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일을	일/NNG+을/JKO
해낸다.	해내/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.206.2.3
사상 처음 아프리카대륙에서 열리는 2010년 남아프리카공화국 월드컵도 축구 이상의 큰 의미를 담고 있다.

사상	사상/NNG
처음	처음/NNG
아프리카대륙에서	아프리카/NNP+대륙/NNG+에서/JKB
열리는	열리/VV+는/ETM
2010년	2010/SN+년/NNB
남아프리카공화국	남아프리카공화국/NNP
월드컵도	월드컵/NNG+도/JX
축구	축구/NNG
이상의	이상/NNG+의/JKG
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.206.2.4
대니 조든 남아공월드컵조직위원회(SALOC) 사무총장(57)은 “내년 월드컵은 남아공을 하나로 묶어 인종 차별의 잔재를 없앨 것이며 세계 평화에도 기여할 것”이라고 말했다.

대니	대니/NNP
조든	조든/NNP
남아공월드컵조직위원회(SALOC)	남아공월드컵조직위원회/NNP+(/SS+SALOC/SL+)/SS
사무총장(57)은	사무총장/NNG+(/SS+57/SN+)/SS+은/JX
“내년	“/SS+내년/NNG
월드컵은	월드컵/NNG+은/JX
남아공을	남아공/NNP+을/JKO
하나로	하나/NR+로/JKB
묶어	묶/VV+어/EC
인종	인종/NNG
차별의	차별/NNG+의/JKG
잔재를	잔재/NNG+를/JKO
없앨	없애/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
세계	세계/NNG
평화에도	평화/NNG+에/JKB+도/JX
기여할	기여/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.2.5
SALOC의 최고경영자로 월드컵의 모든 것을 관장하는 그를 29일 남아공 요하네스버그 샌턴의 미켈란젤로호텔에서 만났다.

SALOC의	SALOC/SL+의/JKG
최고경영자로	최고/NNG+경영자/NNG+로/JKB
월드컵의	월드컵/NNG+의/JKG
모든	모든/MMN
것을	것/NNB+을/JKO
관장하는	관장/NNG+하/XSV+는/ETM
그를	그/NP+를/JKO
29일	29/SN+일/NNB
남아공	남아공/NNP
요하네스버그	요하네스버그/NNP
샌턴의	샌턴/NNP+의/JKG
미켈란젤로호텔에서	미켈란젤로호텔/NNP+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.206.2.6
그동안 일부 국내 언론과 짧은 소감 인터뷰는 있었지만 장시간에 걸쳐 월드컵 청사진을 제시한 것은 이번이 처음이다.

그동안	그동안/NNG
일부	일부/NNG
국내	국내/NNG
언론과	언론/NNG+과/JKB
짧은	짧/VA+은/ETM
소감	소감/NNG
인터뷰는	인터뷰/NNG+는/JX
있었지만	있/VA+었/EP+지만/EC
장시간에	장시간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
월드컵	월드컵/NNG
청사진을	청사진/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


