# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.342
metadata : {}


# id : NWRW1800000046.342.1.1
朴대통령, '成 리스트' 침묵… 이틀째 외교일정만

朴대통령,	朴/SH+대통령/NNG+,/SP
'成	'/SS+成/SH
리스트'	리스트/NNG+'/SS
침묵…	침묵/NNG+…/SE
이틀째	이틀/NNG+째/XSN
외교일정만	외교/NNG+일정/NNG+만/JX


# id : NWRW1800000046.342.2.1
남미 순방 출국 前까지 입장 발표 불투명

남미	남미/NNP
순방	순방/NNG
출국	출국/NNG
前까지	前/SH+까지/JX
입장	입장/NNG
발표	발표/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000046.342.3.1
청와대 관계자는 "최근 잇따르고 있는 '성완종 메모' 의혹에 대해 박근혜 대통령이 상당히 기분이 좋지 않다"며 "측근들이 이런 구설에 오른다는 자체에 마음이 상한 것 같다"고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"최근	"/SS+최근/NNG
잇따르고	잇따르/VV+고/EC
있는	있/VX+는/ETM
'성완종	'/SS+성완종/NNP
메모'	메모/NNG+'/SS
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
상당히	상당히/MAG
기분이	기분/NNG+이/JKS
좋지	좋/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
"측근들이	"/SS+측근/NNG+들/XSN+이/JKS
이런	이런/MMD
구설에	구설/NNG+에/JKB
오른다는	오르/VV+ㄴ다는/ETM
자체에	자체/NNG+에/JKB
마음이	마음/NNG+이/JKS
상한	상하/VV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.4.1
박 대통령은 14일 헝가리·에티오피아 대통령과 각각 정상회담을 갖는 등 이틀째 외교 일정만 소화했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
14일	14/SN+일/NNB
헝가리·에티오피아	헝가리/NNP+·/SP+에티오피아/NNP
대통령과	대통령/NNG+과/JKB
각각	각각/MAG
정상회담을	정상/NNG+회담/NNG+을/JKO
갖는	갖/VV+는/ETM
등	등/NNB
이틀째	이틀/NNG+째/XSN
외교	외교/NNG
일정만	일정/NNG+만/JX
소화했다.	소화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.342.4.2
16일에는 세월호 추모 일정을 가진 뒤 남미 4개국 순방을 위해 콜롬비아로 출국한다.

16일에는	16/SN+일/NNB+에/JKB+는/JX
세월호	세월호/NNP
추모	추모/NNG
일정을	일정/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
뒤	뒤/NNG
남미	남미/NNP
4개국	4/SN+개국/NNB
순방을	순방/NNG+을/JKO
위해	위하/VV+아/EC
콜롬비아로	콜롬비아/NNP+로/JKB
출국한다.	출국/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.342.5.1
박 대통령은 지난 12일 '성완종 리스트'와 관련해 "검찰의 성역 없는 엄정 대처"를 언급한 이후 침묵을 유지하고 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
