# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.266
metadata : {}


# id : NWRW1800000021.266.1.1
北 개성관광만 빼고 ‘12·1조치’ 모두 철회

北	北/SH
개성관광만	개성/NNP+관광/NNG+만/JX
빼고	빼/VV+고/EC
‘12·1조치’	‘/SS+12/SN+·/SP+1/SN+조치/NNG+’/SS
모두	모두/MAG
철회	철회/NNG


# id : NWRW1800000021.266.2.1
북한이 지난해 12월 1일 단행한 군사분계선 육로 통행 및 개성공단 등 체류 제한 조치를 21일자로 해제한다.

북한이	북한/NNP+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
1일	1/SN+일/NNB
단행한	단행/NNG+하/XSV+ㄴ/ETM
군사분계선	군사/NNG+분계선/NNG
육로	육로/NNG
통행	통행/NNG
및	및/MAG
개성공단	개성공단/NNP
등	등/NNB
체류	체류/NNG
제한	제한/NNG
조치를	조치/NNG+를/JKO
21일자로	21/SN+일/NNB+자/NNG+로/JKB
해제한다.	해제/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.266.2.2
또 판문역과 파주역을 오가는 남북 화물열차 운행을 재개하고 개성공단 내 남북 경제협력협의사무소를 다시 열기로 했다.

또	또/MAG
판문역과	판문역/NNP+과/JC
파주역을	파주역/NNP+을/JKO
오가는	오가/VV+는/ETM
남북	남북/NNP
화물열차	화물/NNG+열차/NNG
운행을	운행/NNG+을/JKO
재개하고	재개/NNG+하/XSV+고/EC
개성공단	개성공단/NNP
내	내/NNB
경제협력협의사무소를	경제협력협의사무소/NNP+를/JKO
다시	다시/MAG
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.266.2.3
북한은 이로써 개성관광 중단을 제외한 ‘12·1조치’를 약 9개월 만에 모두 해제하는 셈이다.

북한은	북한/NNP+은/JX
이로써	이/NP+로써/JKB
개성관광	개성/NNP+관광/NNG
중단을	중단/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
‘12·1조치’를	‘/SS+12/SN+·/SP+1/SN+조치/NNG+’/SS+를/JKO
약	약/MMA
9개월	9/SN+개월/NNB
만에	만/NNB+에/JKB
모두	모두/MAG
해제하는	해제/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.266.2.4
▶A3면에 관련기사

▶A3면에	▶/SW+A/SL+3/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000021.266.3.1
