# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.47
metadata : {}


# id : NWRW1800000026.47.1.1
[수도권Ⅱ] 의정부 '그린대학' 모집

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
의정부	의정부/NNP
'그린대학'	'/SS+그린/NNG+대학/NNG+'/SS
모집	모집/NNG


# id : NWRW1800000026.47.2.1
의정부시 농업기술센터는 3월부터 12월까지 '그린대학'을 운영한다.

의정부시	의정부시/NNP
농업기술센터는	농업/NNG+기술/NNG+센터/NNG+는/JX
3월부터	3/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
'그린대학'을	'/SS+그린/NNG+대학/NNG+'/SS+을/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.47.2.2
자격증을 취득하기 위한 화훼장식 자격증반(25명), 난·분재·야생화 등을 배우는 시티파머반(30명), 실내원예와 테라리움·허브 등 실내정원반(25명) 등 3개 과정으로 운영된다.

자격증을	자격증/NNG+을/JKO
취득하기	취득/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
화훼장식	화훼/NNG+장식/NNG
자격증반(25명),	자격증반/NNG+(/SS+25/SN+명/NNB+)/SS+,/SP
난·분재·야생화	난/NNG+·/SP+분재/NNG+·/SP+야생화/NNG
등을	등/NNB+을/JKO
배우는	배우/VV+는/ETM
시티파머반(30명),	시티파머/NNG+반/NNG+(/SS+30/SN+명/NNB+)/SS+,/SP
실내원예와	실내/NNG+원예/NNG+와/JC
테라리움·허브	테라리움/NNG+·/SP+허브/NNG
등	등/NNB
실내정원반(25명)	실내/NNG+정원/NNG+반/NNG+(/SS+25/SN+명/NNB+)/SS
3개	3/SN+개/NNB
과정으로	과정/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.47.2.3
2주에 한번씩 모두 20회를 교육하게 된다.

2주에	2/SN+주/NNB+에/JKB
한번씩	한/MMN+번/NNB+씩/XSN
모두	모두/MAG
20회를	20/SN+회/NNB+를/JKO
교육하게	교육/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.47.2.4
수강을 원하는 시민들은 19일까지 신분증을 갖고 방문하거나 시청 홈페이지(www.ui4u.net )에서 회원 가입 후 '주민학습'에서 신청하면 된다.

수강을	수강/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
시민들은	시민/NNG+들/XSN+은/JX
19일까지	19/SN+일/NNB+까지/JX
신분증을	신분증/NNG+을/JKO
갖고	갖/VV+고/EC
방문하거나	방문/NNG+하/XSV+거나/EC
시청	시청/NNG
홈페이지(www.ui4u.net	홈페이지/NNG+(/SS+www/SL+./SP+ui/SL+4/SN+u/SL+./SP+net/SL
)에서	)/SS+에서/JKB
회원	회원/NNG
가입	가입/NNG
후	후/NNG
'주민학습'에서	'/SS+주민/NNG+학습/NNG+'/SS+에서/JKB
신청하면	신청/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.47.2.5
선착순 마감하며 수강료는 무료이다.

선착순	선착순/NNG
마감하며	마감/NNG+하/XSV+며/EC
수강료는	수강료/NNG+는/JX
무료이다.	무료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.47.2.6
농업기술센터 ☎(031)828-4577

농업기술센터	농업/NNG+기술/NNG+센터/NNG
☎(031)828-4577	☎/SW+(/SS+031/SN+)/SS+828/SN+-/SO+4577/SN


