# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.104
metadata : {}


# id : NWRW1800000026.104.1.1
"교황 또 '사제 性추문' 은폐 의혹";당시 美신부의 아동 성추행 추기경때 아무 조치 안취해

"교황	"/SS+교황/NNG
또	또/MAG
'사제	'/SS+사제/NNG
性추문'	性/SH+추문/NNG+'/SS
은폐	은폐/NNG
의혹";당시	의혹/NNG+"/SS+;/SW+당시/NNG
美신부의	美/SH+신부/NNG+의/JKG
아동	아동/NNG
성추행	성추행/NNG
추기경때	추기경/NNG+때/NNG
아무	아무/MMD
조치	조치/NNG
안취해	안/MAG+취하/VV+아/EF


# id : NWRW1800000026.104.2.1
교황 베네딕토 16세가 또다시 가톨릭 사제의 성추문 은폐 의혹에 휩싸였다.

교황	교황/NNG
베네딕토	베네딕토/NNP
16세가	16/SN+세/NNB+가/JKS
또다시	또다시/MAG
가톨릭	가톨릭/NNG
사제의	사제/NNG+의/JKG
성추문	성/NNG+추문/NNG
은폐	은폐/NNG
의혹에	의혹/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.104.2.2
교황은 과거 추기경으로 재임하던 시절, 미국인 신부가 수많은 소년들과 동침하면서 성추행을 일삼았다는 보고를 받고도 아무 조치도 취하지 않았다고 뉴욕타임스(NYT)가 24일 보도했다.

교황은	교황/NNG+은/JX
과거	과거/NNG
추기경으로	추기경/NNG+으로/JKB
재임하던	재임/NNG+하/XSV+던/ETM
시절,	시절/NNG+,/SP
미국인	미국인/NNG
신부가	신부/NNG+가/JKS
수많은	수많/VA+은/ETM
소년들과	소년/NNG+들/XSN+과/JKB
동침하면서	동침/NNG+하/XSV+면서/EC
성추행을	성추행/NNG+을/JKO
일삼았다는	일삼/VV+았/EP+다는/ETM
보고를	보고/NNG+를/JKO
받고도	받/VV+고/EC+도/JX
아무	아무/MMD
조치도	조치/NNG+도/JX
취하지	취하/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
24일	24/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.2.3
당시 해당 신부의 성직자 신분을 박탈해야 한다는 내부 논의가 있었음에도 불구하고 교회의 명예실추가 두려워 성범죄를 은폐해줬다는 비판이다.

당시	당시/NNG
해당	해당/NNG
신부의	신부/NNG+의/JKG
성직자	성직자/NNG
신분을	신분/NNG+을/JKO
박탈해야	박탈/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
내부	내부/NNG
논의가	논의/NNG+가/JKS
있었음에도	있/VA+었/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
교회의	교회/NNG+의/JKG
명예실추가	명예/NNG+실추/NNG+가/JKS
두려워	두렵/VA+어/EC
성범죄를	성범죄/NNG+를/JKO
은폐해줬다는	은폐/NNG+하/XSV+아/EC+주/VX+었/EP+다는/ETM
비판이다.	비판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.104.3.1
NYT에 따르면, 1996년 당시 바티칸 신앙교리성 장관이던 요제프 라칭어(Ratzinger·교황의 본명)는 미국 밀워키의 로렌스 머피(Murphy·1926~1998) 신부가 농아 학교에서 1950~1974년 청각장애 소년 200여명을 성추행했다는 밀워키 대주교의 직속 보고를 받고도 이를 묵과했다.

NYT에	NYT/SL+에/JKB
따르면,	따르/VV+면/EC+,/SP
1996년	1996/SN+년/NNB
당시	당시/NNG
바티칸	바티칸/NNP
신앙교리성	신앙/NNG+교리성/NNG
장관이던	장관/NNG+이/VCP+던/ETM
요제프	요제프/NNP
라칭어(Ratzinger·교황의	라칭어/NNP+(/SS+Ratzinger/SL+·/SP+교황/NNG+의/JKG
본명)는	본명/NNG+)/SS+는/JX
미국	미국/NNP
밀워키의	밀워키/NNP+의/JKG
로렌스	로렌스/NNP
머피(Murphy·1926~1998)	머피/NNP+(/SS+Murphy/SL+·/SP+1926/SN+~/SO+1998/SN+)/SS
신부가	신부/NNG+가/JKS
농아	농아/NNG
학교에서	학교/NNG+에서/JKB
1950~1974년	1950/SN+~/SO+1974/SN+년/NNB
청각장애	청각/NNG+장애/NNG
소년	소년/NNG
200여명을	200/SN+여/XSN+명/NNB+을/JKO
성추행했다는	성추행/NNG+하/XSV+았/EP+다는/ETM
밀워키	밀워키/NNP
대주교의	대/XPN+주교/NNG+의/JKG
직속	직속/NNG
보고를	보고/NNG+를/JKO
받고도	받/VV+고/EC+도/JX
이를	이/NP+를/JKO
묵과했다.	묵과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.104.3.2
신앙교리성은 바티칸의 검찰청 같은 곳으로, 신앙·윤리를 위반한 성직자의 범죄를 재단하고 처벌하는 기관이다.

신앙교리성은	신앙/NNG+교리성/NNG+은/JX
바티칸의	바티칸/NNP+의/JKG
검찰청	검찰청/NNG
같은	같/VA+은/ETM
곳으로,	곳/NNG+으로/JKB+,/SP
신앙·윤리를	신앙/NNG+·/SP+윤리/NNG+를/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
성직자의	성직자/NNG+의/JKG
범죄를	범죄/NNG+를/JKO
재단하고	재단/NNG+하/XSV+고/EC
처벌하는	처벌/NNG+하/XSV+는/ETM
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.104.3.3
NYT는 당시 교리성 차관이 머피를 교회법에 따라 재판하라고 밀워키 교구에 지시했으나 라칭어 장관이 말렸다며, 이는 머피가 라칭어 장관에게 직접 탄원서를 썼기 때문이라고 보도했다.

NYT는	NYT/SL+는/JX
당시	당시/NNG
교리성	교리성/NNG
차관이	차관/NNG+이/JKS
머피를	머피/NNP+를/JKO
교회법에	교회법/NNG+에/JKB
따라	따르/VV+아/EC
재판하라고	재판/NNG+하/XSV+라고/EC
밀워키	밀워키/NNP
교구에	교구/NNG+에/JKB
지시했으나	지시/NNG+하/XSV+았/EP+으나/EC
라칭어	라칭어/NNP
장관이	장관/NNG+이/JKS
말렸다며,	말리/VV+었/EP+다며/EC+,/SP
이는	이/NP+는/JX
