# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.357
metadata : {}


# id : NWRW1800000037.357.1.1
[남북대화 급물살]출구 찾는 北, 현충일에 대화의 손 내밀다

[남북대화	[/SS+남북/NNP+대화/NNG
급물살]출구	급물살/NNG+]/SS+출구/NNG
찾는	찾/VV+는/ETM
北,	北/SH+,/SP
현충일에	현충일/NNG+에/JKB
대화의	대화/NNG+의/JKG
손	손/NNG
내밀다	내밀/VV+다/EF


# id : NWRW1800000037.357.2.1
“개성공단-금강산관광 논의” 제안에… 南 “12일 서울서 장관급회담 열자” 北, 美中정상회담 하루전 유화 카드… ‘비핵화’ 언급 안해 남북대화 변수로

“개성공단-금강산관광	“/SS+개성공단/NNP+-/SO+금강산/NNP+관광/NNG
논의”	논의/NNG+”/SS
제안에…	제안/NNG+에/JKB+…/SE
南	南/SH
“12일	“/SS+12/SN+일/NNB
서울서	서울/NNP+서/JKB
장관급회담	장관급/NNG+회담/NNG
열자”	열/VV+자/EF+”/SS
北,	北/SH+,/SP
美中정상회담	美中/SH+정상/NNG+회담/NNG
하루전	하루/NNG+전/NNG
유화	유화/NNG
카드…	카드/NNG+…/SE
‘비핵화’	‘/SS+비핵/NNG+화/XSN+’/SS
언급	언급/NNG
안해	안/MAG+하/VV+아/EC
남북대화	남북/NNP+대화/NNG
변수로	변수/NNG+로/JKB


# id : NWRW1800000037.357.3.1
북한이 미중 정상회담을 하루 앞둔 6일 남북 당국 간 대화를 제의했다.

북한이	북한/NNP+이/JKS
미중	미/NNP+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
6일	6/SN+일/NNB
남북	남북/NNP
당국	당국/NNG
간	간/NNB
대화를	대화/NNG+를/JKO
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.357.3.2
박근혜정부 출범 이후 처음이다.

박근혜정부	박근혜/NNP+정부/NNG
출범	출범/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.357.3.3
한미중 3각 공조를 바탕으로 한 국제사회의 대북제재로 궁지에 몰린 북한이 ‘출구전략’으로 남북 대화 카드를 꺼내 든 것이라는 관측을 낳고 있다.

한미중	한미/NNP+중/NNP
3각	3/SN+각/NNG
공조를	공조/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
대북제재로	대북/NNG+제재/NNG+로/JKB
궁지에	궁지/NNG+에/JKB
몰린	몰리/VV+ㄴ/ETM
북한이	북한/NNP+이/JKS
‘출구전략’으로	‘/SS+출구/NNG+전략/NNG+’/SS+으로/JKB
남북	남북/NNP
대화	대화/NNG
카드를	카드/NNG+를/JKO
꺼내	꺼내/VV+어/EC
든	들/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측을	관측/NNG+을/JKO
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.357.4.1
북한의 대남기구인 조국평화통일위원회(조평통)는 이날 ‘특별담화’에서 “6·15를 계기로 개성공업지구 정상화와 금강산관광 재개를 위한 북남 당국 사이의 회담을 가질 것을 제의한다”고 밝혔다.

북한의	북한/NNP+의/JKG
대남기구인	대남/NNG+기구/NNG+이/VCP+ㄴ/ETM
조국평화통일위원회(조평통)는	조국/NNG+평화/NNG+통일/NNG+위원회/NNG+(/SS+조평통/NNG+)/SS+는/JX
이날	이날/NNG
‘특별담화’에서	‘/SS+특별/NNG+담화/NNG+’/SS+에서/JKB
“6·15를	“/SS+6/SN+·/SP+15/SN+를/JKO
계기로	계기/NNG+로/JKB
개성공업지구	개성공업지구/NNP
정상화와	정상/NNG+화/XSN+와/JKB
금강산관광	금강산/NNP+관광/NNG
재개를	재개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
북남	북남/NNP
당국	당국/NNG
사이의	사이/NNG+의/JKG
회담을	회담/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
제의한다”고	제의/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.357.4.2
또 “회담에서 필요하다면 흩어진 가족, 친척 상봉을 비롯한 인도주의 문제도 협의할 수 있을 것”이라고 말해 이산가족 상봉도 논의할 수 있음을 시사했다.

또	또/MAG
“회담에서	“/SS+회담/NNG+에서/JKB
필요하다면	필요/NNG+하/XSA+다면/EC
흩어진	흩어지/VV+ㄴ/ETM
가족,	가족/NNG+,/SP
친척	친척/NNG
상봉을	상봉/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
인도주의	인도주의/NNG
문제도	문제/NNG+도/JX
협의할	협의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
이산가족	이산가족/NNG
상봉도	상봉/NNG+도/JX
논의할	논의/NNG+하/XSV+ㄹ/ETM
있음을	있/VA+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.357.5.1
조평통은 아울러 “6·15공동선언 발표 13돌 민족 공동행사를 실현시키며 아울러 7·4공동성명 발표 41돌을 북남 당국의 참가하에 공동으로 기념할 것을 제의한다”고 말했다.

조평통은	조평통/NNG+은/JX
아울러	아울러/MAG
“6·15공동선언	“/SS+6/SN+·/SP+15/SN+공동/NNG+선언/NNG
발표	발표/NNG
13돌	13/SN+돌/NNB
민족	민족/NNG
공동행사를	공동/NNG+행사/NNG+를/JKO
실현시키며	실현/NNG+시키/XSV+며/EC
7·4공동성명	7/SN+·/SP+4/SN+공동/NNG+성명/NNG
41돌을	41/SN+돌/NNB+을/JKO
북남	북남/NNP
당국의	당국/NNG+의/JKG
참가하에	참가/NNG+하/XSN+에/JKB
공동으로	공동/NNG+으로/JKB
기념할	기념/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제의한다”고	제의/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.357.5.2
북한이 1972년 박정희정부에서 채택한 7·4남북공동성명 기념행사를 갖자고 남측에 제의한 것은 처음이다.

북한이	북한/NNP+이/JKS
1972년	1972/SN+년/NNB
박정희정부에서	박정희/NNP+정부/NNG+에서/JKB
채택한	채택/NNG+하/XSV+ㄴ/ETM
7·4남북공동성명	7/SN+·/SP+4/SN+남북/NNP+공동/NNG+성명/NNG
기념행사를	기념행사/NNG+를/JKO
갖자고	갖/VV+자고/EC
남측에	남측/NNG+에/JKB
제의한	제의/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.357.6.1
류길재 통일부 장관은 이에 대해 “6월 12일 서울에서 남북 장관급 회담을 열자.

류길재	류길재/NNP
통일부	통일부/NNG
장관은	장관/NNG+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“6월	“/SS+6/SN+월/NNB
12일	12/SN+일/NNB
서울에서	서울/NNP+에서/JKB
남북	남북/NNP
장관급	장관급/NNG
회담을	회담/NNG+을/JKO
열자.	열/VV+자/EF+./SF


# id : NWRW1800000037.357.6.2
7일부터 판문점 연락사무소 등 남북 연락채널을 재개하기 바란다”고 수정 제의했다.

7일부터	7/SN+일/NNB+부터/JX
판문점	판문점/NNP
연락사무소	연락/NNG+사무소/NNG
등	등/NNB
남북	남북/NNP
연락채널을	연락/NNG+채널/NNG+을/JKO
재개하기	재개/NNG+하/XSV+기/ETN
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
수정	수정/NNG
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.357.6.3
2007년 5월 이후 6년 만에 남북 고위 당국자 간 대화가 성사될 가능성이 높아진 셈이다.

2007년	2007/SN+년/NNB
5월	5/SN+월/NNB
이후	이후/NNG
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
남북	남북/NNP
고위	고위/NNG
당국자	당국자/NNG
간	간/NNB
대화가	대화/NNG+가/JKS
성사될	성사/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아진	높아지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.357.7.1
정부는 7, 8일 버락 오바마 미국 대통령과 시진핑(習近平) 중국 국가주석의 미중 정상회담을 하루 앞두고 북한이 남북 대화를 전격 제의하고 나선 배경에 주목하고 있다.

정부는	정부/NNG+는/JX
7,	7/SN+,/SP
8일	8/SN+일/NNB
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석의	국가주석/NNG+의/JKG
미중	미/NNP+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
북한이	북한/NNP+이/JKS
남북	남북/NNP
대화를	대화/NNG+를/JKO
전격	전격/NNG
제의하고	제의/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
배경에	배경/NNG+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


