# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.192
metadata : {}


# id : NWRW1800000045.192.1.1
실직 분풀이?… 방화 용의자는 협력업체 직원

실직	실직/NNG
분풀이?…	분풀이/NNG+?/SF+…/SE
방화	방화/NNG
용의자는	용의자/NNG+는/JX
협력업체	협력/NNG+업체/NNG
직원	직원/NNG


# id : NWRW1800000045.192.2.1
최근 회사도산으로 일자리 잃어… 경찰, 50대 남성 소재 추적 물류센터 “배송직원이라 제지안해”

최근	최근/MAG
회사도산으로	회사/NNG+도산/NNG+으로/JKB
일자리	일자리/NNG
잃어…	잃/VV+어/EF+…/SE
경찰,	경찰/NNG+,/SP
50대	50/SN+대/NNB
남성	남성/NNG
소재	소재/NNG
추적	추적/NNG
물류센터	물류/NNG+센터/NNG
“배송직원이라	“/SS+배송/NNG+직원/NNG+이/VCP+라/EC
제지안해”	제지/NNG+안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000045.192.3.1
경기 김포시 고촌읍 제일모직 김포물류센터 화재사고를 수사 중인 경기 김포경찰서는 26일 유력한 방화 용의자의 신원을 파악해 추적하고 있다고 밝혔다.

경기	경기/NNP
김포시	김포시/NNP
고촌읍	고촌읍/NNP
제일모직	제일모직/NNP
김포물류센터	김포/NNP+물류/NNG+센터/NNG
화재사고를	화재/NNG+사고/NNG+를/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김포경찰서는	김포경찰서/NNP+는/JX
26일	26/SN+일/NNB
유력한	유력/NNG+하/XSA+ㄴ/ETM
방화	방화/NNG
용의자의	용의자/NNG+의/JKG
신원을	신원/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
추적하고	추적/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.192.4.1
경찰은 “화재 현장 폐쇄회로(CC)TV에 찍힌 50대 남성의 신원을 파악했으며, 유력한 용의자로 보고 뒤를 쫓고 있다”며 “소재는 아직 파악되지 않았다”고 말했다.

경찰은	경찰/NNG+은/JX
“화재	“/SS+화재/NNG
현장	현장/NNG
폐쇄회로(CC)TV에	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+에/JKB
찍힌	찍히/VV+ㄴ/ETM
50대	50/SN+대/NNB
남성의	남성/NNG+의/JKG
신원을	신원/NNG+을/JKO
파악했으며,	파악/NNG+하/XSV+았/EP+으며/EC+,/SP
유력한	유력/NNG+하/XSA+ㄴ/ETM
용의자로	용의자/NNG+로/JKB
보고	보/VV+고/EC
뒤를	뒤/NNG+를/JKO
쫓고	쫓/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“소재는	“/SS+소재/NNG+는/JX
아직	아직/MAG
파악되지	파악/NNG+되/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.192.4.2
이 용의자는 제일모직 물류센터와 거래하는 배송업체 6곳 중 한 곳의 직원으로 최근 회사가 도산하면서 일자리를 잃은 것으로 알려졌다.

이	이/MMD
용의자는	용의자/NNG+는/JX
제일모직	제일모직/NNP
물류센터와	물류/NNG+센터/NNG+와/JKB
거래하는	거래/NNG+하/XSV+는/ETM
배송업체	배송/NNG+업체/NNG
6곳	6/SN+곳/NNG
중	중/NNB
한	한/MMN
곳의	곳/NNG+의/JKG
