# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.8
metadata : {}


# id : NWRW1800000054.8.1.1
파리바게뜨, '제빵기사 직접 고용' 시한 다가오자 처분 취소 소송

파리바게뜨,	파리바게뜨/NNP+,/SP
'제빵기사	'/SS+제빵/NNG+기사/NNG
직접	직접/NNG
고용'	고용/NNG+'/SS
시한	시한/NNG
다가오자	다가오/VV+자/EC
처분	처분/NNG
취소	취소/NNG
소송	소송/NNG


# id : NWRW1800000054.8.2.1
고용부의 시정 명령, 집행 연장 안될 경우 대비

고용부의	고용부/NNG+의/JKG
시정	시정/NNG
명령,	명령/NNG+,/SP
집행	집행/NNG
연장	연장/NNG
안될	안/MAG+되/XSV+ㄹ/ETM
경우	경우/NNG
대비	대비/NNG


# id : NWRW1800000054.8.3.1
고용노동부로부터 불법 파견 고용 판정을 받은 제빵기사 5309명을 직접 고용하라는 시정 명령을 받은 파리바게뜨가 정부를 상대로 행정소송을 냈다.

고용노동부로부터	고용/NNG+노동부/NNG+로부터/JKB
불법	불법/NNG
파견	파견/NNG
고용	고용/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
제빵기사	제빵/NNG+기사/NNG
5309명을	5309/SN+명/NNB+을/JKO
직접	직접/MAG
고용하라는	고용/NNG+하/XSV+라는/ETM
시정	시정/NNG
명령을	명령/NNG+을/JKO
파리바게뜨가	파리바게뜨/NNP+가/JKS
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
행정소송을	행정/NNG+소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.8.3.2
직접 고용하지 않으면 검찰 고발과 더불어 과태료 부과 처분을 받아야 하는 상황에서 오는 9일 시정 명령 시한을 앞두고 고용부 처분을 취소해달라는 소송을 낸 것이다.

직접	직접/MAG
고용하지	고용/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
검찰	검찰/NNG
고발과	고발/NNG+과/JKB
더불어	더불/VV+어/EC
과태료	과태료/NNG
부과	부과/NNG
처분을	처분/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황에서	상황/NNG+에서/JKB
오는	오/VV+는/ETM
9일	9/SN+일/NNB
시정	시정/NNG
명령	명령/NNG
시한을	시한/NNG+을/JKO
앞두고	앞두/VV+고/EC
고용부	고용부/NNG
취소해달라는	취소/NNG+하/XSV+아/EC+달/VX+라는/ETM
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.8.4.1
SPC그룹은 "파리바게뜨가 지난달 31일 정부를 상대로 직접고용 시정 지시 처분 취소와 집행정지 신청 소송을 제기했다"고 3일 밝혔다.

SPC그룹은	SPC/SL+그룹/NNG+은/JX
"파리바게뜨가	"/SS+파리바게뜨/NNP+가/JKS
지난달	지난달/NNG
31일	31/SN+일/NNB
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
직접고용	직접/NNG+고용/NNG
시정	시정/NNG
지시	지시/NNG
처분	처분/NNG
취소와	취소/NNG+와/JC
집행정지	집행/NNG+정지/NNG
신청	신청/NNG
소송을	소송/NNG+을/JKO
제기했다"고	제기/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.8.4.2
SPC그룹 담당자는 "보통 가처분 신청 접수 이후 일주일 이내에 재판 날짜가 지정되기 때문에 시정 명령 시한인 11월 9일을 넘지 않도록 소송을 제기했다"고 말했다.

SPC그룹	SPC/SL+그룹/NNG
담당자는	담당자/NNG+는/JX
"보통	"/SS+보통/MAG
가처분	가/XPN+처분/NNG
신청	신청/NNG
접수	접수/NNG
이후	이후/NNG
일주일	일주일/NNG
이내에	이내/NNG+에/JKB
재판	재판/NNG
날짜가	날짜/NNG+가/JKS
지정되기	지정/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
시정	시정/NNG
명령	명령/NNG
시한인	시한/NNG+이/VCP+ㄴ/ETM
11월	11/SN+월/NNB
9일을	9/SN+일/NNB+을/JKO
넘지	넘/VV+지/EC
않도록	않/VX+도록/EC
소송을	소송/NNG+을/JKO
제기했다"고	제기/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.8.4.3
시정 명령 집행을 연장해 달라고 고용부에 요청하고 있지만, 연장이 안 될 경우를 대비해 소송을 냈다는 설명이다.

시정	시정/NNG
명령	명령/NNG
집행을	집행/NNG+을/JKO
연장해	연장/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
고용부에	고용부/NNG+에/JKB
요청하고	요청/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
연장이	연장/NNG+이/JKS
