# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.275
metadata : {}


# id : NWRW1800000044.275.1.1
경기는 졌지만…오초아, 네가 최고였어

경기는	경기/NNG+는/JX
졌지만…오초아,	지/VV+었/EP+지만/EC+…/SE+오초아/NNP+,/SP
네가	네/NP+가/JKS
최고였어	최고/NNG+이/VCP+었/EP+어/EF


# id : NWRW1800000044.275.2.1
[한겨레] 멕시코 문지기 신들린 선방에도

[한겨레]	[/SS+한겨레/NNP+]/SS
멕시코	멕시코/NNP
문지기	문지기/NNG
신들린	신들리/VV+ㄴ/ETM
선방에도	선방/NNG+에/JKB+도/JX


# id : NWRW1800000044.275.3.1
네덜란드전 막판 PK 내줘 패배

네덜란드전	네덜란드전/NNG
막판	막판/NNG
PK	PK/SL
내줘	내주/VV+어/EC
패배	패배/NNG


# id : NWRW1800000044.275.4.1
코스타리카 나바스는 승부차기서

코스타리카	코스타리카/NNP
나바스는	나바스/NNP+는/JX
승부차기서	승부차기/NNG+서/JKB


# id : NWRW1800000044.275.5.1
그리스 게카스 슛 막고 8강 진출

그리스	그리스/NNP
게카스	게카스/NNP
슛	슛/NNG
막고	막/VV+고/EC
8강	8/SN+강/NNB
진출	진출/NNG


# id : NWRW1800000044.275.6.1
극적인 동점골을 넣은 베슬레이 스네이더르(갈라타사라이)도, 결승골로 이어진 페널티킥을 유도한 아리언 로번(바이에른 뮌헨)도 아니었다.

극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
동점골을	동점/NNG+골/NNG+을/JKO
넣은	넣/VV+은/ETM
베슬레이	베슬레이/NNP
스네이더르(갈라타사라이)도,	스네이더르/NNP+(/SS+갈라타사라이/NNP+)/SS+도/JX+,/SP
결승골로	결승/NNG+골/NNG+로/JKB
이어진	이어지/VV+ㄴ/ETM
페널티킥을	페널티/NNG+킥/NNG+을/JKO
유도한	유도/NNG+하/XSV+ㄴ/ETM
아리언	아리언/NNP
로번(바이에른	로번/NNP+(/SS+바이에른/NNP
뮌헨)도	뮌헨/NNP+)/SS+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000044.275.6.2
네덜란드가 멕시코에 2-1 역전승을 거두고 8강에 진출했지만, 경기 최우수선수는 이번 브라질월드컵에서 최고의 수문장으로 떠오른 기예르모 오초아(29·AC아작시오)였다.

네덜란드가	네덜란드/NNP+가/JKS
멕시코에	멕시코/NNP+에/JKB
2-1	2/SN+-/SO+1/SN
역전승을	역전승/NNG+을/JKO
거두고	거두/VV+고/EC
8강에	8/SN+강/NNB+에/JKB
진출했지만,	진출/NNG+하/XSV+았/EP+지만/EC+,/SP
경기	경기/NNG
최우수선수는	최/XPN+우수/NNG+선수/NNG+는/JX
이번	이번/NNG
브라질월드컵에서	브라질/NNP+월드컵/NNG+에서/JKB
최고의	최고/NNG+의/JKG
수문장으로	수문장/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
기예르모	기예르모/NNP
오초아(29·AC아작시오)였다.	오초아/NNP+(/SS+29/SN+·/SP+AC아작시오/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.275.7.1
