# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.274
metadata : {}


# id : NWRW1800000054.274.1.1
여기는 맨유 아닌 미국 축구장… MLS(Major League Soccer), 美스포츠 뒤흔들다

여기는	여기/NP+는/JX
맨유	맨유/NNP
아닌	아니/VCN+ㄴ/ETM
미국	미국/NNP
축구장…	축구장/NNG+…/SE
MLS(Major	MLS/SL+(/SS+Major/SL
League	League/SL
Soccer),	Soccer/SL+)/SS+,/SP
美스포츠	美/SH+스포츠/NNG
뒤흔들다	뒤흔들/VV+다/EF


# id : NWRW1800000054.274.2.1
유럽 퇴물들의 말년 무대였지만 과학적 마케팅·데이터 분석으로 젊은층 눈길 붙잡는데 성공

유럽	유럽/NNP
퇴물들의	퇴물/NNG+들/XSN+의/JKG
말년	말년/NNG
무대였지만	무대/NNG+이/VCP+었/EP+지만/EC
과학적	과학/NNG+적/XSN
마케팅·데이터	마케팅/NNG+·/SP+데이터/NNG
분석으로	분석/NNG+으로/JKB
젊은층	젊/VA+은/ETM+층/NNG
눈길	눈길/NNG
붙잡는데	붙잡/VV+는데/EC
성공	성공/NNG


# id : NWRW1800000054.274.3.1
프로 스포츠의 천국인 미국에서도 축구는 마이너 종목이었다.

프로	프로/NNG
스포츠의	스포츠/NNG+의/JKG
천국인	천국/NNG+이/VCP+ㄴ/ETM
미국에서도	미국/NNP+에서/JKB+도/JX
축구는	축구/NNG+는/JX
마이너	마이너/NNG
종목이었다.	종목/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.274.3.2
풋볼(미식축구)·야구·농구·아이스하키라는 4대 종목의 위상이 굳건한 가운데 그동안 미국 프로축구 MLS(메이저리그 사커)는 전성기 지난 유럽 스타들이 '말년'이나 보내는 곳이란 인식이 강했다.

풋볼(미식축구)·야구·농구·아이스하키라는	풋볼/NNG+(/SS+미식축구/NNG+)/SS+·/SP+야구/NNG+·/SP+농구/NNG+·/SP+아이스하키/NNG+이/VCP+라는/ETM
4대	4/SN+대/NNG
종목의	종목/NNG+의/JKG
위상이	위상/NNG+이/JKS
굳건한	굳건하/VA+ㄴ/ETM
가운데	가운데/NNG
그동안	그동안/NNG
미국	미국/NNP
프로축구	프로/NNG+축구/NNG
MLS(메이저리그	MLS/SL+(/SS+메이저리그/NNG
사커)는	사커/NNG+)/SS+는/JX
전성기	전성기/NNG
지난	지나/VV+ㄴ/ETM
유럽	유럽/NNP
스타들이	스타/NNG+들/XSN+이/JKS
'말년'이나	'/SS+말년/NNG+'/SS+이나/JX
보내는	보내/VV+는/ETM
곳이란	곳/NNG+이/VCP+란/ETM
인식이	인식/NNG+이/JKS
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.274.3.3
이런 MLS가 폭발적인 관중 증가를 보이면서 미국 프로 스포츠에도 지각 변동이 일어나고 있다.

이런	이런/MMD
MLS가	MLS/SL+가/JKS
폭발적인	폭발/NNG+적/XSN+이/VCP+ㄴ/ETM
관중	관중/NNG
증가를	증가/NNG+를/JKO
보이면서	보이/VV+면서/EC
미국	미국/NNP
프로	프로/NNG
스포츠에도	스포츠/NNG+에/JKB+도/JX
지각	지각/NNG
변동이	변동/NNG+이/JKS
일어나고	일어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.274.3.4
재작년 평균 관중 2만명을 돌파한 MLS는 올 시즌에도 평균 관중 2만1708명(19일 현재)을 동원하고 있다.

재작년	재/XPN+작년/NNG
평균	평균/NNG
관중	관중/NNG
2만명을	2/SN+만/NR+명/NNB+을/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
MLS는	MLS/SL+는/JX
올	올/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
