# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.103
metadata : {}


# id : NWRW1800000049.103.1.1
[김지영 기자의 문학뜨락]인터넷세대 당기는 복간본 시집의 마력

[김지영	[/SS+김지영/NNP
기자의	기자/NNG+의/JKG
문학뜨락]인터넷세대	문학/NNG+뜨락/NNG+]/SS+인터넷/NNG+세대/NNG
당기는	당기/VV+는/ETM
복간본	복간본/NNG
시집의	시집/NNG+의/JKG
마력	마력/NNG


# id : NWRW1800000049.103.2.1
시인 백석(1912∼1996)의 시집 ‘사슴’ 초판본 복간본이 이달 말 출간된다.

시인	시인/NNG
백석(1912∼1996)의	백석/NNP+(/SS+1912/SN+∼/SO+1996/SN+)/SS+의/JKG
시집	시집/NNG
‘사슴’	‘/SS+사슴/NNP+’/SS
초판본	초판본/NNG
복간본이	복간본/NNG+이/JKS
이달	이달/NNG
말	말/NNB
출간된다.	출간/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.103.2.2
1936년 나왔을 때도 100부 한정판으로 만든 시집이다.

1936년	1936/SN+년/NNB
나왔을	나오/VV+았/EP+을/ETM
때도	때/NNG+도/JX
100부	100/SN+부/NNB
한정판으로	한정판/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
시집이다.	시집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.103.2.3
인터넷서점 알라딘에 따르면 예약 판매를 시작한 지 하루 만에 2500부가 팔렸다.

인터넷서점	인터넷/NNG+서점/NNG
알라딘에	알라딘/NNP+에/JKB
따르면	따르/VV+면/EC
예약	예약/NNG
판매를	판매/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
하루	하루/NNG
만에	만/NNB+에/JKB
2500부가	2500/SN+부/NNB+가/JKS
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.103.2.4
웬만한 소설이 초판 2000∼3000부를 소화하기 어렵다는데 하루 만에!

웬만한	웬만하/VA+ㄴ/ETM
소설이	소설/NNG+이/JKS
초판	초판/NNG
2000∼3000부를	2000/SN+∼/SO+3000/SN+부/NNB+를/JKO
소화하기	소화/NNG+하/XSV+기/ETN
어렵다는데	어렵/VA+다는데/EC
하루	하루/NNG
만에!	만/NNB+에/JKB+!/SF


# id : NWRW1800000049.103.3.1
흥미로운 사실이 또 있다.

흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
