# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.135
metadata : {}


# id : NWRW1800000024.135.1.1
“족벌신문·재벌 혼맥 이중삼중 연결 /조중동 방송허용=대기업 방송진출”

“족벌신문·재벌	“/SS+족벌/NNG+신문/NNG+·/SP+재벌/NNG
혼맥	혼맥/NNG
이중삼중	이중/NNG+삼중/NNG
연결	연결/NNG
/조중동	//SP+조중동/NNP
방송허용=대기업	방송/NNG+허용/NNG+=/SW+대/XPN+기업/NNG
방송진출”	방송/NNG+진출/NNG+”/SS


# id : NWRW1800000024.135.2.1
한나라당 쪽에서 지난 2월 ‘입법전쟁’ 기간 내놓은 ‘대기업 지상파 진출 불허’ 카드는 ‘조중동 방송’만 허용되면 ‘대기업 지상파방송’도 우회적으로 달성 가능하다는 판단에 따른 것이란 지적이 나왔다.

한나라당	한나라당/NNP
쪽에서	쪽/NNB+에서/JKB
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
‘입법전쟁’	‘/SS+입법/NNG+전쟁/NNG+’/SS
기간	기간/NNG
내놓은	내놓/VV+은/ETM
‘대기업	‘/SS+대/XPN+기업/NNG
지상파	지상파/NNG
진출	진출/NNG
불허’	불허/NNG+’/SS
카드는	카드/NNG+는/JX
‘조중동	‘/SS+조중동/NNP
방송’만	방송/NNG+’/SS+만/JX
허용되면	허용/NNG+되/XSV+면/EC
지상파방송’도	지상파/NNG+방송/NNG+’/SS+도/JX
우회적으로	우회/NNG+적/XSN+으로/JKB
달성	달성/NNG
가능하다는	가능/NNG+하/XSA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
지적이	지적/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.135.3.1
20일 서울 정동 프란치스코교육회관에서 열린 ‘언론악법과 조중동 방송 왜 안 되나’ 토론회에서 발제자인 신학림 신문발전위원회 위원(전 미디어행동 집행위원장)은 “홍준표 한나라당 원내대표가 ‘대기업의 지상파방송 진출을 금지할 수 있다’는 협상용 발언을 했지만, 조중동과 한국 재벌은 혼맥으로 이중삼중 연결돼 있어 본질적으론 허용하는 것이나 마찬가지”라고 말했다.

20일	20/SN+일/NNB
서울	서울/NNP
정동	정동/NNP
프란치스코교육회관에서	프란치스코교육회관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘언론악법과	‘/SS+언론/NNG+악법/NNG+과/JC
조중동	조중동/NNP
방송	방송/NNG
왜	왜/MAG
안	안/MAG
되나’	되/VV+나/EF+’/SS
토론회에서	토론회/NNG+에서/JKB
발제자인	발제자/NNG+이/VCP+ㄴ/ETM
신학림	신학림/NNP
신문발전위원회	신문/NNG+발전/NNG+위원회/NNG
위원(전	위원/NNG+(/SS+전/MMD
미디어행동	미디어/NNG+행동/NNG
집행위원장)은	집행/NNG+위원장/NNG+)/SS+은/JX
“홍준표	“/SS+홍준표/NNP
한나라당	한나라당/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
‘대기업의	‘/SS+대/XPN+기업/NNG+의/JKG
지상파방송	지상파/NNG+방송/NNG
진출을	진출/NNG+을/JKO
금지할	금지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
협상용	협상/NNG+용/XSN
발언을	발언/NNG+을/JKO
했지만,	하/VV+았/EP+지만/EC+,/SP
조중동과	조중동/NNP+과/JC
한국	한국/NNP
재벌은	재벌/NNG+은/JX
혼맥으로	혼맥/NNG+으로/JKB
이중삼중	이중/NNG+삼중/NNG
연결돼	연결/NNG+되/XSV+어/EC
있어	있/VX+어/EC
본질적으론	본질/NNG+적/XSN+으로/JKB+ㄴ/JX
허용하는	허용/NNG+하/XSV+는/ETM
것이나	것/NNB+이나/JX
마찬가지”라고	마찬가지/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.135.3.2
재벌 및 족벌신문이 혼맥 등으로 결합한 ‘복합체 구조’ 아래에서 조중동이 지상파방송을 갖는 것은 곧 대기업의 지상파 진출 허용을 뜻한다는 주장이다.

재벌	재벌/NNG
및	및/MAG
족벌신문이	족벌/NNG+신문/NNG+이/JKS
혼맥	혼맥/NNG
등으로	등/NNB+으로/JKB
결합한	결합/NNG+하/XSV+ㄴ/ETM
‘복합체	‘/SS+복합체/NNG
구조’	구조/NNG+’/SS
아래에서	아래/NNG+에서/JKB
조중동이	조중동/NNP+이/JKS
지상파방송을	지상파/NNG+방송/NNG+을/JKO
갖는	갖/VV+는/ETM
것은	것/NNB+은/JX
곧	곧/MAG
대기업의	대/XPN+기업/NNG+의/JKG
지상파	지상파/NNG
진출	진출/NNG
허용을	허용/NNG+을/JKO
뜻한다는	뜻/NNG+하/XSV+ㄴ다는/ETM
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.135.4.1
중앙은 삼성뿐 아니라 이건희 회장의 조카인 이재현씨가 회장으로 있는 씨제이(CJ)와도 연결돼 있다.

중앙은	중앙/NNP+은/JX
삼성뿐	삼성/NNP+뿐/JX
아니라	아니/VCN+라/EC
이건희	이건희/NNP
회장의	회장/NNG+의/JKG
조카인	조카/NNG+이/VCP+ㄴ/ETM
이재현씨가	이재현/NNP+씨/NNB+가/JKS
회장으로	회장/NNG+으로/JKB
있는	있/VA+는/ETM
씨제이(CJ)와도	씨제이/NNP+(/SS+CJ/SL+)/SS+와/JKB+도/JX
연결돼	연결/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.135.4.2
씨제이는 현재 종합편성채널 진출 준비가 가장 잘된 기업으로 꼽힌다.

씨제이는	씨제이/NNP+는/JX
현재	현재/MAG
종합편성채널	종합/NNG+편성/NNG+채널/NNG
진출	진출/NNG
준비가	준비/NNG+가/JKS
가장	가장/MAG
잘된	잘/MAG+되/XSV+ㄴ/ETM
기업으로	기업/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.135.4.3
<조선일보> 방상훈 사장의 장남 준오씨는 허광수 삼양인터내셔널 회장 딸의 남편이다.

<조선일보>	</SS+조선일보/NNP+>/SS
방상훈	방상훈/NNP
사장의	사장/NNG+의/JKG
장남	장남/NNG
준오씨는	준오/NNP+씨/NNB+는/JX
허광수	허광수/NNP
삼양인터내셔널	삼양인터내셔널/NNP
회장	회장/NNG
딸의	딸/NNG+의/JKG
남편이다.	남편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.135.4.4
허 회장의 아들은 <중앙일보> 홍석현 회장의 딸 정현씨의 남편이기도 하다.

허	허/NNP
회장의	회장/NNG+의/JKG
아들은	아들/NNG+은/JX
<중앙일보>	</SS+중앙일보/NNP+>/SS
홍석현	홍석현/NNP
딸	딸/NNG
정현씨의	정현/NNP+씨/NNB+의/JKG
남편이기도	남편/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000024.135.4.5
김재호 <동아일보> 사장의 동생 재열씨는 이건희 회장의 둘째 사위로 제일모직 상무로 일하고 있다.

김재호	김재호/NNP
<동아일보>	</SS+동아일보/NNP+>/SS
사장의	사장/NNG+의/JKG
동생	동생/NNG
재열씨는	재열/NNP+씨/NNB+는/JX
이건희	이건희/NNP
회장의	회장/NNG+의/JKG
둘째	둘째/NR
사위로	사위/NNG+로/JKB
제일모직	제일모직/NNP
상무로	상무/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.135.5.1
신 위원은 “족벌신문이 방송까지 장악하면 광고주이자 사업 파트너인 재벌을 무조건 옹호하는 대신 사회적 약자의 목소리는 외면할 가능성이 크다”고 우려했다.

신	신/NNP
위원은	위원/NNG+은/JX
“족벌신문이	“/SS+족벌/NNG+신문/NNG+이/JKS
방송까지	방송/NNG+까지/JX
장악하면	장악/NNG+하/XSV+면/EC
광고주이자	광고주/NNG+이/VCP+자/EC
사업	사업/NNG
파트너인	파트너/NNG+이/VCP+ㄴ/ETM
재벌을	재벌/NNG+을/JKO
무조건	무/XPN+조건/NNG
옹호하는	옹호/NNG+하/XSV+는/ETM
대신	대신/NNG
사회적	사회/NNG+적/XSN
약자의	약자/NNG+의/JKG
목소리는	목소리/NNG+는/JX
외면할	외면/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.135.5.2
그는 또 “한나라당은 1997년과 2002년 대선을 방송 때문에 졌다고 말해 왔고, 신뢰도 하락과 구독·발행부수 감소에 직면한 조중동에게 방송 진출은 선택의 여지가 없다”고 밝혔다.

그는	그/NP+는/JX
또	또/MAG
“한나라당은	“/SS+한나라당/NNP+은/JX
1997년과	1997/SN+년/NNB+과/JC
2002년	2002/SN+년/NNB
대선을	대선/NNG+을/JKO
방송	방송/NNG
때문에	때문/NNB+에/JKB
졌다고	지/VV+었/EP+다고/EC
말해	말/NNG+하/XSV+아/EC
왔고,	오/VX+았/EP+고/EC+,/SP
신뢰도	신뢰도/NNG
하락과	하락/NNG+과/JC
구독·발행부수	구독/NNG+·/SP+발행/NNG+부수/NNG
감소에	감소/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
조중동에게	조중동/NNP+에게/JKB
진출은	진출/NNG+은/JX
선택의	선택/NNG+의/JKG
여지가	여지/NNB+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.135.6.1
토론자로 참석한 원용진 서강대 교수는 신문·방송 겸영의 폐해를 일본 사례를 빌려 설명했다.

토론자로	토론자/NNG+로/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
원용진	원용진/NNP
서강대	서강대/NNP
교수는	교수/NNG+는/JX
신문·방송	신문/NNG+·/SP+방송/NNG
겸영의	겸영/NNG+의/JKG
폐해를	폐해/NNG+를/JKO
일본	일본/NNP
사례를	사례/NNG+를/JKO
빌려	빌리/VV+어/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.135.6.2
원 교수는 “일본 신문이 방송을 접수한 1950년대 중반 이후 방송은 시사 보도에 관심을 보이지 않고 있다”며 “보수신문이 여론을 주도하고 방송이 뒤따르면서 자민당과 신문·재벌이 결합한 삼각동맹이 일본 우경화를 이끌어 왔다”고 강조했다.

원	원/NNP
교수는	교수/NNG+는/JX
“일본	“/SS+일본/NNP
신문이	신문/NNG+이/JKS
방송을	방송/NNG+을/JKO
접수한	접수/NNG+하/XSV+ㄴ/ETM
1950년대	1950/SN+년대/NNB
중반	중반/NNG
이후	이후/NNG
방송은	방송/NNG+은/JX
시사	시사/NNG
보도에	보도/NNG+에/JKB
관심을	관심/NNG+을/JKO
보이지	보이/VV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“보수신문이	“/SS+보수/NNG+신문/NNG+이/JKS
여론을	여론/NNG+을/JKO
주도하고	주도/NNG+하/XSV+고/EC
방송이	방송/NNG+이/JKS
뒤따르면서	뒤따르/VV+면서/EC
자민당과	자민당/NNP+과/JKB
신문·재벌이	신문/NNG+·/SP+재벌/NNG+이/JKS
결합한	결합/NNG+하/XSV+ㄴ/ETM
삼각동맹이	삼각/NNG+동맹/NNG+이/JKS
일본	일본/NNP
우경화를	우경/NNG+화/XSN+를/JKO
이끌어	이끌/VV+어/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.135.7.1
이해승 지역방송협의회 사무국장(청주 문화방송 기자)은 “조중동 종합편성채널이 등장할 경우 가장 따내기 쉬운 지역방송 몫의 광고를 우선적으로 빼오면서 생존 기반을 놓으려 할 것”이라며 “결과적으로 지역언론이 가장 먼저 죽어나갈 수밖에 없다”고 우려했다.

이해승	이해승/NNP
지역방송협의회	지역/NNG+방송/NNG+협의회/NNG
사무국장(청주	사무국장/NNG+(/SS+청주/NNP
문화방송	문화방송/NNP
기자)은	기자/NNG+)/SS+은/JX
“조중동	“/SS+조중동/NNP
종합편성채널이	종합/NNG+편성/NNG+채널/NNG+이/JKS
등장할	등장/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
가장	가장/MAG
따내기	따내/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
지역방송	지역/NNG+방송/NNG
몫의	몫/NNG+의/JKG
광고를	광고/NNG+를/JKO
우선적으로	우선/NNG+적/XSN+으로/JKB
빼오면서	빼/VV+어/EC+오/VX+면서/EC
생존	생존/NNG
기반을	기반/NNG+을/JKO
놓으려	놓/VV+으려/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“결과적으로	“/SS+결과/NNG+적/XSN+으로/JKB
지역언론이	지역/NNG+언론/NNG+이/JKS
먼저	먼저/MAG
죽어나갈	죽/VV+어/EC+나가/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


