# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.162
metadata : {}


# id : NWRW1800000021.162.1.1
고고한?

고고한?	고고하/VA+ㄴ/ETM+?/SF


# id : NWRW1800000021.162.1.2
우아한?… “악녀 맡고 ‘30년 이미지’ 망가졌죠”

우아한?…	우아하/VA+ㄴ/ETM+?/SF+…/SE
“악녀	“/SS+악녀/NNG
맡고	맡/VV+고/EC
‘30년	‘/SS+30/SN+년/NNB
이미지’	이미지/NNG+’/SS
망가졌죠”	망가지/VV+었/EP+죠/EF+”/SS


# id : NWRW1800000021.162.2.1
《“당신 심장을 팔아서라도 부도 막아!” SBS 주말드라마 ‘찬란한 유산’(토, 일 오후 10시)에 나오는 아내 백성희의 독설이다.

《“당신	《/SS+“/SS+당신/NP
심장을	심장/NNG+을/JKO
팔아서라도	팔/VV+아서/EC+라도/JX
부도	부도/NNG
막아!”	막/VV+아/EF+!/SF+”/SS
SBS	SBS/SL
주말드라마	주말/NNG+드라마/NNG
‘찬란한	‘/SS+찬란하/VA+ㄴ/ETM
유산’(토,	유산/NNG+’/SS+(/SS+토/NNG+,/SP
일	일/NNG
오후	오후/NNG
10시)에	10/SN+시/NNB+)/SS+에/JKB
나오는	나오/VV+는/ETM
아내	아내/NNG
백성희의	백성희/NNP+의/JKG
독설이다.	독설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.162.2.2
재혼한 남편의 사업이 위기에 처하자 위로는커녕 앙칼진 요구를 해댄다.

재혼한	재혼/NNG+하/XSV+ㄴ/ETM
남편의	남편/NNG+의/JKG
사업이	사업/NNG+이/JKS
위기에	위기/NNG+에/JKB
처하자	처하/VV+자/EC
위로는커녕	위로/NNG+는커녕/JX
앙칼진	앙칼지/VA+ㄴ/ETM
요구를	요구/NNG+를/JKO
해댄다.	하/VV+아/EC+대/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.162.2.3
이 여자는 남편이 숨진 것으로 알려져 사망보험금이 나오자 독차지하고 남편의 자식들을 거리로 내쫓는다.

이	이/MMD
여자는	여자/NNG+는/JX
남편이	남편/NNG+이/JKS
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
사망보험금이	사망/NNG+보험금/NNG+이/JKS
나오자	나오/VV+자/EC
독차지하고	독차지/NNG+하/XSV+고/EC
남편의	남편/NNG+의/JKG
자식들을	자식/NNG+들/XSN+을/JKO
거리로	거리/NNG+로/JKB
내쫓는다.	내쫓/VV+는다/EF+./SF


# id : NWRW1800000021.162.2.4
그 남편이 살아 돌아오자 “당신이 평생 돈 걱정 안하고 살게 해준다는 약속을 어기고 날 이 꼴로 만들었다”며 등을 돌리고 ‘물주’가 될 새 남자를 유혹한다.

그	그/MMD
남편이	남편/NNG+이/JKS
살아	살/VV+아/EC
돌아오자	돌아오/VV+자/EC
“당신이	“/SS+당신/NP+이/JKS
평생	평생/NNG
돈	돈/NNG
걱정	걱정/NNG
안하고	안/MAG+하/VV+고/EC
살게	살/VV+게/EC
해준다는	하/VX+아/EC+주/VX+ㄴ다는/ETM
약속을	약속/NNG+을/JKO
