# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.110
metadata : {}


# id : NWRW1800000041.110.1.1
태아 장기 형성되는 4개월간 파마 금물… 임신 초기 산모 ‘필수 건강지침’

태아	태아/NNG
장기	장기/NNG
형성되는	형성/NNG+되/XSV+는/ETM
4개월간	4/SN+개월/NNB+간/XSN
파마	파마/NNG
금물…	금물/NNG+…/SE
임신	임신/NNG
초기	초기/NNG
산모	산모/NNG
‘필수	‘/SS+필수/NNG
건강지침’	건강/NNG+지침/NNG+’/SS


# id : NWRW1800000041.110.2.1
“임신 초기 간접흡연, 커피 조심하세요.”

“임신	“/SS+임신/NNG
초기	초기/NNG
간접흡연,	간접흡연/NNG+,/SP
커피	커피/NNG
조심하세요.”	조심/NNG+하/XSV+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000041.110.3.1
한국보건사회연구원이 최근 3년 이내에 아기를 낳은 여성 1549명을 면접 조사한 결과 임신 3개월 이내에 하루에 2잔 이상 커피를 마셨다는 비율은 28.5%였다.

한국보건사회연구원이	한국보건사회연구원/NNP+이/JKS
최근	최근/NNG
3년	3/SN+년/NNB
이내에	이내/NNG+에/JKB
아기를	아기/NNG+를/JKO
낳은	낳/VV+은/ETM
여성	여성/NNG
1549명을	1549/SN+명/NNB+을/JKO
면접	면접/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
임신	임신/NNG
3개월	3/SN+개월/NNB
하루에	하루/NNG+에/JKB
2잔	2/SN+잔/NNG
이상	이상/NNG
커피를	커피/NNG+를/JKO
마셨다는	마시/VV+었/EP+다는/ETM
비율은	비율/NNG+은/JX
28.5%였다.	28/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.110.3.2
또 간접흡연에 노출됐다는 비율도 25.2%로 4명 중 1명꼴.

또	또/MAG
간접흡연에	간접흡연/NNG+에/JKB
노출됐다는	노출/NNG+되/XSV+었/EP+다는/ETM
비율도	비율/NNG+도/JX
25.2%로	25/SN+./SP+2/SN+%/SW+로/JKB
4명	4/SN+명/NNB
중	중/NNB
1명꼴.	1/SN+명/NNB+꼴/XSN+./SF


# id : NWRW1800000041.110.3.3
높은 스트레스(14.3%), 과로(13.4%), 음주(11.6%)에도 빈번하게 노출됐다.

높은	높/VA+은/ETM
스트레스(14.3%),	스트레스/NNG+(/SS+14/SN+./SP+3/SN+%/SW+)/SS+,/SP
과로(13.4%),	과로/NNG+(/SS+13/SN+./SP+4/SN+%/SW+)/SS+,/SP
음주(11.6%)에도	음주/NNG+(/SS+11/SN+./SP+6/SN+%/SW+)/SS+에/JKB+도/JX
빈번하게	빈번하/VA+게/EC
노출됐다.	노출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.110.4.1
이들 중 7.8%는 조산을 했고, 6.7%는 저체중아를 출산했으며 7.1%는 신생아에게 기타 이상 징후가 나타났다고 답했다.

이들	이/NP+들/XSN
중	중/NNB
7.8%는	7/SN+./SP+8/SN+%/SW+는/JX
조산을	조산/NNG+을/JKO
했고,	하/VV+았/EP+고/EC+,/SP
6.7%는	6/SN+./SP+7/SN+%/SW+는/JX
저체중아를	저체중아/NNG+를/JKO
출산했으며	출산/NNG+하/XSV+았/EP+으며/EC
7.1%는	7/SN+./SP+1/SN+%/SW+는/JX
신생아에게	신생아/NNG+에게/JKB
기타	기타/NNG
이상	이상/NNG
징후가	징후/NNG+가/JKS
나타났다고	나타나/VV+았/EP+다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.110.4.2
물론 특정 위험요소가 저체중아 출산을 유발한다고 단정 짓긴 어렵지만 저체중아를 낳은 여성들은 위의 위험요소에 노출됐다고 응답한 비율이 더 높았다.

물론	물론/MAG
특정	특정/NNG
위험요소가	위험/NNG+요소/NNG+가/JKS
저체중아	저체중아/NNG
출산을	출산/NNG+을/JKO
