# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.163
metadata : {}


# id : NWRW1800000026.163.1.1
교통 나아지면 집값도 나아질까;새 도로·철도 생기면 인근지역 부동산엔 호재

교통	교통/NNG
나아지면	나아지/VV+면/EC
집값도	집값/NNG+도/JX
나아질까;새	나아지/VV+ㄹ까/EF+;/SP+새/MMA
도로·철도	도로/NNG+·/SP+철도/NNG
생기면	생기/VV+면/EC
인근지역	인근/NNG+지역/NNG
부동산엔	부동산/NNG+에/JKB+ㄴ/JX
호재	호재/NNG


# id : NWRW1800000026.163.2.1
새로운 도로나 철도 개통은 인근 지역 집값 상승의 호재(好材)가 된다.

새로운	새롭/VA+ㄴ/ETM
도로나	도로/NNG+나/JC
철도	철도/NNG
개통은	개통/NNG+은/JX
인근	인근/NNG
지역	지역/NNG
집값	집값/NNG
상승의	상승/NNG+의/JKG
호재(好材)가	호재/NNG+(/SS+好材/SH+)/SS+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.2.2
실제로 지난해 부동산 시장 침체에도 불구하고 지하철 개통과 같은 교통호재가 있었던 인근 지역 집값은 상승세를 보였다.

실제로	실제로/MAG
지난해	지난해/NNG
부동산	부동산/NNG
시장	시장/NNG
침체에도	침체/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
지하철	지하철/NNG
개통과	개통/NNG+과/JKB
같은	같/VA+은/ETM
교통호재가	교통/NNG+호재/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
인근	인근/NNG
지역	지역/NNG
집값은	집값/NNG+은/JX
상승세를	상승세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.163.3.1
부동산정보업체 '닥터아파트'에 따르면 서울지하철 9호선 인근 지역은 지난해 6월 개통하고 나서 주변 아파트값이 11.54% 상승했다.

부동산정보업체	부동산/NNG+정보업체/NNG
'닥터아파트'에	'/SS+닥터아파트/NNP+'/SS+에/JKB
따르면	따르/VV+면/EC
서울지하철	서울지하철/NNP
9호선	9/SN+호선/NNB
인근	인근/NNG
지역은	지역/NNG+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
개통하고	개통/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
주변	주변/NNG
아파트값이	아파트값/NNG+이/JKS
11.54%	11/SN+./SP+54/SN+%/SW
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.163.3.2
서울∼춘천 간 고속도로 인근 지역은 2.21%, 용인∼서울 간 고속도로 역시 1.36% 올랐다.

서울∼춘천	서울/NNP+∼/SO+춘천/NNP
간	간/NNB
고속도로	고속/NNG+도로/NNG
인근	인근/NNG
지역은	지역/NNG+은/JX
2.21%,	2/SN+./SP+21/SN+%/SW+,/SP
용인∼서울	용인/NNP+∼/SO+서울/NNP
역시	역시/MAG
1.36%	1/SN+./SP+36/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.163.3.3
이는 새로운 도로·철도가 개통될 경우 서울 강남권 등 도심 접근성이 향상돼 도로·철도가 지나는 인근 지역의 주택 수요가 늘어나기 때문이다.

이는	이/NP+는/JX
새로운	새롭/VA+ㄴ/ETM
도로·철도가	도로/NNG+·/SP+철도/NNG+가/JKS
개통될	개통/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
서울	서울/NNP
강남권	강남/NNP+권/XSN
등	등/NNB
도심	도심/NNG
접근성이	접근/NNG+성/XSN+이/JKS
향상돼	향상/NNG+되/XSV+어/EC
지나는	지나/VV+는/ETM
인근	인근/NNG
지역의	지역/NNG+의/JKG
주택	주택/NNG
수요가	수요/NNG+가/JKS
늘어나기	늘어나/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.4.1
지난해와 마찬가지로 올해도 제2자유로, 용인 경전철 등 지역 교통여건을 크게 개선시켜줄 도로 및 철도가 개통을 기다리고 있다.

지난해와	지난해/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
올해도	올해/NNG+도/JX
제2자유로,	제2자유로/NNP+,/SP
용인	용인/NNP
경전철	경전철/NNG
등	등/NNB
지역	지역/NNG
교통여건을	교통/NNG+여건/NNG+을/JKO
크게	크/VA+게/EC
개선시켜줄	개선/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
도로	도로/NNG
및	및/MAG
철도가	철도/NNG+가/JKS
개통을	개통/NNG+을/JKO
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.163.5.1
◆용인 경전철… 용인 주택시장에 '훈풍' 되나

◆용인	◆/SW+용인/NNP
경전철…	경전철/NNG+…/SE
용인	용인/NNP
주택시장에	주택/NNG+시장/NNG+에/JKB
'훈풍'	'/SS+훈풍/NNG+'/SS
되나	되/VV+나/EF


# id : NWRW1800000026.163.6.1
오는 7월 개통예정인 용인 경전철은 분당선 연장선과 환승할 수 있는 용인 구갈역에서부터 구갈3지구와 동백지구를 거쳐 용인 에버랜드까지 이어진다.

오는	오/VV+는/ETM
7월	7/SN+월/NNB
개통예정인	개통/NNG+예정/NNG+이/VCP+ㄴ/ETM
용인	용인/NNP
경전철은	경전철/NNG+은/JX
분당선	분당선/NNP
연장선과	연장선/NNG+과/JKB
환승할	환승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구갈역에서부터	구갈역/NNP+에서부터/JKB
구갈3지구와	구갈3지구/NNP+와/JC
동백지구를	동백지구/NNP+를/JKO
거쳐	거치/VV+어/EC
에버랜드까지	에버랜드/NNP+까지/JX
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.6.2
현재로서는 처인구와 기흥구 사이만 운행하지만, 분당선 연장선이 개통돼 환승이 가능해지면 서울 강남과의 접근성이 크게 개선될 전망이다.

현재로서는	현재/NNG+로서/JKB+는/JX
처인구와	처인구/NNP+와/JC
기흥구	기흥구/NNP
사이만	사이/NNG+만/JX
운행하지만,	운행/NNG+하/XSV+지만/EC+,/SP
분당선	분당선/NNP
연장선이	연장선/NNG+이/JKS
개통돼	개통/NNG+되/XSV+어/EC
환승이	환승/NNG+이/JKS
가능해지면	가능/NNG+하/XSA+아/EC+지/VX+면/EC
서울	서울/NNP
강남과의	강남/NNP+과/JKB+의/JKG
접근성이	접근/NNG+성/XSN+이/JKS
크게	크/VA+게/EC
개선될	개선/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.7.1
이달 말 한화건설은 경기도 용인 보정역 인근에서 '한화 꿈에그린' 분양을 시작한다.

이달	이달/NNG
말	말/NNB
한화건설은	한화건설/NNP+은/JX
경기도	경기도/NNP
용인	용인/NNP
보정역	보정역/NNP
인근에서	인근/NNG+에서/JKB
'한화	'/SS+한화/NNP
꿈에그린'	꿈에그린/NNP+'/SS
분양을	분양/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.7.2
지상 20층 아파트 6개 동 총 379가구가 분양된다.

지상	지상/NNG
20층	20/SN+층/NNG
아파트	아파트/NNG
6개	6/SN+개/NNB
동	동/NNB
총	총/MMA
379가구가	379/SN+가구/NNG+가/JKS
분양된다.	분양/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.7.3
이외에도 두산중공업은 이달 중 용인시 처인구 삼가동에서 두산위브 1293가구를, 우남건설도 내달 중으로 '역북 우남 퍼스트빌' 919가구를 공급할 예정이다.

이외에도	이외/NNG+에/JKB+도/JX
두산중공업은	두산중공업/NNP+은/JX
이달	이달/NNG
중	중/NNB
용인시	용인시/NNP
처인구	처인구/NNP
삼가동에서	삼가동/NNP+에서/JKB
두산위브	두산위브/NNG
1293가구를,	1293/SN+가구/NNG+를/JKO+,/SP
우남건설도	우남건설/NNP+도/JX
내달	내달/NNG
중으로	중/NNB+으로/JKB
'역북	'/SS+역북/NNP
우남	우남/NNP
퍼스트빌'	퍼스트빌/NNG+'/SS
919가구를	919/SN+가구/NNG+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.163.8.1
인천국제공항철도 2단계 구간(서울역~김포공항)도 올해 하반기 중 완공된다.

인천국제공항철도	인천국제공항철도/NNP
2단계	2/SN+단계/NNG
구간(서울역~김포공항)도	구간/NNG+(/SS+서울역/NNP+~/SO+김포공항/NNP+)/SS+도/JX
올해	올해/NNG
하반기	하반기/NNG
중	중/NNB
완공된다.	완공/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.8.2
인천공항철도 2단계 구간은 서울 도심을 연결하는 노선으로 이미 운행 중인 1차 구간 인근 지역, 특히 청라 및 영종경제자유구역 등이 교통개선의 수혜를 입을 것으로 예상된다.

인천공항철도	인천공항철도/NNP
2단계	2/SN+단계/NNG
구간은	구간/NNG+은/JX
서울	서울/NNP
도심을	도심/NNG+을/JKO
연결하는	연결/NNG+하/XSV+는/ETM
노선으로	노선/NNG+으로/JKB
이미	이미/MAG
운행	운행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
1차	1/SN+차/NNB
구간	구간/NNG
인근	인근/NNG
지역,	지역/NNG+,/SP
특히	특히/MAG
청라	청라/NNP
및	및/MAG
영종경제자유구역	영종/NNP+경제/NNG+자유/NNG+구역/NNG
등이	등/NNB+이/JKS
교통개선의	교통/NNG+개선/NNG+의/JKG
수혜를	수혜/NNG+를/JKO
입을	입/VV+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.163.8.3
올해 청라지구에서는 인천도시개발공사가 아파트 1220가구를 분양할 예정이며 영종 지구에서는 올해 말까지 4700여 가구가 공급될 전망이다.

올해	올해/NNG
청라지구에서는	청라지구/NNP+에서/JKB+는/JX
