# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.237
metadata : {}


# id : NWRW1800000028.237.1.1
‘민간사찰’ 이인규, 형사처벌 가닥

‘민간사찰’	‘/SS+민간/NNG+사찰/NNG+’/SS
이인규,	이인규/NNP+,/SP
형사처벌	형사/NNG+처벌/NNG
가닥	가닥/NNG


# id : NWRW1800000028.237.2.1
국무총리실 산하 공직윤리지원관실의 ‘민간인 불법사찰’ 의혹 사건을 수사하고 있는 서울중앙지검 특별수사팀(팀장 오정돈 형사1부장)은 이르면 15일 사찰 행위의 핵심인 이인규(54) 지원관을 불러 조사할 예정이다.

국무총리실	국무총리실/NNG
산하	산하/NNG
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
‘민간인	‘/SS+민간인/NNG
불법사찰’	불법/NNG+사찰/NNG+’/SS
의혹	의혹/NNG
사건을	사건/NNG+을/JKO
수사하고	수사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
서울중앙지검	서울중앙지검/NNP
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
오정돈	오정돈/NNP
형사1부장)은	형사/NNG+1/SN+부장/NNG+)/SS+은/JX
이르면	이르/VA+면/EC
15일	15/SN+일/NNB
사찰	사찰/NNG
행위의	행위/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
이인규(54)	이인규/NNP+(/SS+54/SN+)/SS
지원관을	지원관/NNG+을/JKO
불러	부르/VV+어/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.237.2.2
검찰은 이 지원관 등을 형사 처벌하는 쪽으로 가닥을 잡고, 14일 민간 사찰을 직접 담당했던 조사관과 국민은행 직원을 대질하는 등 불법 활동의 배경과 범위를 확정하는 데 집중했다.

검찰은	검찰/NNG+은/JX
이	이/NNP
지원관	지원관/NNG
등을	등/NNB+을/JKO
형사	형사/NNG
처벌하는	처벌/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡고,	잡/VV+고/EC+,/SP
14일	14/SN+일/NNB
민간	민간/NNG
사찰을	사찰/NNG+을/JKO
직접	직접/MAG
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
조사관과	조사관/NNG+과/JC
국민은행	국민은행/NNP
직원을	직원/NNG+을/JKO
대질하는	대질/NNG+하/XSV+는/ETM
등	등/NNB
불법	불법/NNG
활동의	활동/NNG+의/JKG
배경과	배경/NNG+과/JC
범위를	범위/NNG+를/JKO
확정하는	확정/NNG+하/XSV+는/ETM
데	데/NNB
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.237.3.1
검찰은 앞서 조사했던 지원관실 원아무개 조사관과 국민은행 노무팀장 원아무개씨를 이날 다시 불러 대질한 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
앞서	앞서/MAG
조사했던	조사/NNG+하/XSV+았/EP+던/ETM
지원관실	지원관실/NNG
원아무개	원/NNP+아무개/NP
조사관과	조사관/NNG+과/JC
국민은행	국민은행/NNP
노무팀장	노무/NNG+팀장/NNG
원아무개씨를	원/NNP+아무개/NP+씨/NNB+를/JKO
이날	이날/NNG
다시	다시/MAG
불러	부르/VV+어/EC
대질한	대질/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


